,country,participant,result,olympic_game,discipline,event
0,NOR,knut johannesen,00:15:46.600,Squaw Valley 1960,Speed skating,10000m men
1,URS,viktor kosichkin,00:15:49.200,Squaw Valley 1960,Speed skating,10000m men
2,SWE,kjell bäckman,00:16:14.200,Squaw Valley 1960,Speed skating,10000m men
3,SWE,ivar nilsson,00:16:26.000,Squaw Valley 1960,Speed skating,10000m men
4,GBR,terence monaghan,00:16:31.600,Squaw Valley 1960,Speed skating,10000m men
5,NOR,torstein seiersten,00:16:33.400,Squaw Valley 1960,Speed skating,10000m men
6,SWE,sven olof dahlberg,00:16:34.600,Squaw Valley 1960,Speed skating,10000m men
7,FIN,juhani jouko järvinen,00:16:35.400,Squaw Valley 1960,Speed skating,10000m men
8,FIN,keijo tapiovaara,00:16:37.200,Squaw Valley 1960,Speed skating,10000m men
9,USA,ross b. zucco,00:16:37.600,Squaw Valley 1960,Speed skating,10000m men
10,FRA,andré kouprianoff,00:16:39.100,Squaw Valley 1960,Speed skating,10000m men
11,NED,janis pesman,00:16:41.000,Squaw Valley 1960,Speed skating,10000m men
12,GER,helmut kuhnert,00:16:43.400,Squaw Valley 1960,Speed skating,10000m men
13,ITA,renato de riva,00:16:45.700,Squaw Valley 1960,Speed skating,10000m men
14,USA,arnold h. uhrlass,00:16:49.300,Squaw Valley 1960,Speed skating,10000m men
15,NED,cornelis broekman,00:16:59.900,Squaw Valley 1960,Speed skating,10000m men
16,DEN,kurt r. stille,00:17:00.000,Squaw Valley 1960,Speed skating,10000m men
17,ITA,mario gios,00:17:06.300,Squaw Valley 1960,Speed skating,10000m men
18,AUT,hermann strutz,00:17:06.500,Squaw Valley 1960,Speed skating,10000m men
19,URS,vladimir shilykovsky,00:17:13.900,Squaw Valley 1960,Speed skating,10000m men
20,JPN,shuji kobayashi,00:17:20.800,Squaw Valley 1960,Speed skating,10000m men
21,NED,jeen van den berg,00:17:23.500,Squaw Valley 1960,Speed skating,10000m men
22,NOR,roald aas,00:17:26.800,Squaw Valley 1960,Speed skating,10000m men
23,FIN,leo tynkkynen,00:17:33.600,Squaw Valley 1960,Speed skating,10000m men
24,JPN,takeo mizoo,00:17:42.000,Squaw Valley 1960,Speed skating,10000m men
25,KOR,in-won jang,00:17:45.700,Squaw Valley 1960,Speed skating,10000m men
26,CAN,ralf olin,00:17:50.900,Squaw Valley 1960,Speed skating,10000m men
