,country,participant,result,olympic_game,discipline,event
0,USA,harry j. hebner,00:01:21.200,Stockholm 1912,Swimming,100m backstroke men
1,GER,otto fahr,00:01:22.400,Stockholm 1912,Swimming,100m backstroke men
2,GER,paul kellner,00:01:24.000,Stockholm 1912,Swimming,100m backstroke men
3,HUN,andrás baronyi,00:01:25.200,Stockholm 1912,Swimming,100m backstroke men
4,GER,otto gross,00:01:25.800,Stockholm 1912,Swimming,100m backstroke men
5,GER,oscar schiele,Disqualified,Stockholm 1912,Swimming,100m backstroke men
6,HUN,jános wenk,Disqualified,Stockholm 1912,Swimming,100m backstroke men
7,BEL,oscar gregoire,Disqualified,Stockholm 1912,Swimming,100m backstroke men
8,FRA,daniel lehu,Did not start,Stockholm 1912,Swimming,100m backstroke men
9,FRA,émile bangerter,Did not start,Stockholm 1912,Swimming,100m backstroke men
10,FRA,henri dubois,Did not start,Stockholm 1912,Swimming,100m backstroke men
11,FRA,victor pierre eggman,Did not start,Stockholm 1912,Swimming,100m backstroke men
12,FRA,maurice quintard,Did not start,Stockholm 1912,Swimming,100m backstroke men
13,GBR,james slane,Did not start,Stockholm 1912,Swimming,100m backstroke men
14,GRE,andreas assimakopoulos,Did not start,Stockholm 1912,Swimming,100m backstroke men
15,GRE,paudely psycha,Did not start,Stockholm 1912,Swimming,100m backstroke men
16,HUN,nikolaus bartkó,Did not start,Stockholm 1912,Swimming,100m backstroke men
17,HUN,ivan géczy,Did not start,Stockholm 1912,Swimming,100m backstroke men
18,HUN,josef selmeczi,Did not start,Stockholm 1912,Swimming,100m backstroke men
19,HUN,istván wendelin,Did not start,Stockholm 1912,Swimming,100m backstroke men
20,ITA,david baiardo,Did not start,Stockholm 1912,Swimming,100m backstroke men
21,ITA,mario massa,Did not start,Stockholm 1912,Swimming,100m backstroke men
22,ITA,virgilio bellazza,Did not start,Stockholm 1912,Swimming,100m backstroke men
23,ITA,aldo cigheri,Did not start,Stockholm 1912,Swimming,100m backstroke men
24,ITA,mario portolongo,Did not start,Stockholm 1912,Swimming,100m backstroke men
