,country,participant,result,olympic_game,discipline,event
0,FRA,miguel martinez,02:09:02.500,Sydney 2000,Cycling Mountain Bike,cross-country men
1,BEL,filip meirhaeghe,,Sydney 2000,Cycling Mountain Bike,cross-country men
2,SUI,christoph sauser,,Sydney 2000,Cycling Mountain Bike,cross-country men
3,ESP,jose antonio hermida ramos,,Sydney 2000,Cycling Mountain Bike,cross-country men
4,GER,lado fumic,,Sydney 2000,Cycling Mountain Bike,cross-country men
5,SUI,thomas frischknecht,,Sydney 2000,Cycling Mountain Bike,cross-country men
6,AUS,cadel evans,,Sydney 2000,Cycling Mountain Bike,cross-country men
7,GER,carsten bresser,,Sydney 2000,Cycling Mountain Bike,cross-country men
8,CAN,geoff kabush,,Sydney 2000,Cycling Mountain Bike,cross-country men
9,AUS,paul rowney,,Sydney 2000,Cycling Mountain Bike,cross-country men
10,NED,bas van dooren,,Sydney 2000,Cycling Mountain Bike,cross-country men
11,NED,bart brentjens,,Sydney 2000,Cycling Mountain Bike,cross-country men
12,AUS,robert woods,,Sydney 2000,Cycling Mountain Bike,cross-country men
13,CAN,roland green,,Sydney 2000,Cycling Mountain Bike,cross-country men
14,ESP,roberto lezaun,,Sydney 2000,Cycling Mountain Bike,cross-country men
15,ITA,marco bui,,Sydney 2000,Cycling Mountain Bike,cross-country men
16,NZL,kashi leuchs,,Sydney 2000,Cycling Mountain Bike,cross-country men
17,FRA,ludovic dubau,,Sydney 2000,Cycling Mountain Bike,cross-country men
18,BEL,roel paulissen,,Sydney 2000,Cycling Mountain Bike,cross-country men
19,RUS,pavel tcherkassov,,Sydney 2000,Cycling Mountain Bike,cross-country men
20,POL,marek galinski,,Sydney 2000,Cycling Mountain Bike,cross-country men
21,DEN,michael rasmussen,,Sydney 2000,Cycling Mountain Bike,cross-country men
22,GBR,oliver beckingsale,,Sydney 2000,Cycling Mountain Bike,cross-country men
23,MEX,ziranda madrigal alvarez-ugena,,Sydney 2000,Cycling Mountain Bike,cross-country men
24,GBR,nick craig,,Sydney 2000,Cycling Mountain Bike,cross-country men
25,NAM,mannie heymans,,Sydney 2000,Cycling Mountain Bike,cross-country men
26,UKR,sergiy rysenko,,Sydney 2000,Cycling Mountain Bike,cross-country men
27,IRL,robin seymour,,Sydney 2000,Cycling Mountain Bike,cross-country men
28,CZE,radim korinek,,Sydney 2000,Cycling Mountain Bike,cross-country men
29,USA,david juarez,,Sydney 2000,Cycling Mountain Bike,cross-country men
30,ITA,hubert pallhuber,,Sydney 2000,Cycling Mountain Bike,cross-country men
31,USA,travis brown,,Sydney 2000,Cycling Mountain Bike,cross-country men
32,CRC,jose adrian bonilla bonilla,,Sydney 2000,Cycling Mountain Bike,cross-country men
33,JPN,raita suzuki,,Sydney 2000,Cycling Mountain Bike,cross-country men
34,NOR,tom larsen,,Sydney 2000,Cycling Mountain Bike,cross-country men
35,DEN,jesper agergaard,,Sydney 2000,Cycling Mountain Bike,cross-country men
36,SLO,primoz strancar,,Sydney 2000,Cycling Mountain Bike,cross-country men
37,KOR,dong-u gang,,Sydney 2000,Cycling Mountain Bike,cross-country men
38,KEN,samuel kenneth muhindi,,Sydney 2000,Cycling Mountain Bike,cross-country men
39,FRA,christophe dupouey,(lap 6),Sydney 2000,Cycling Mountain Bike,cross-country men
40,BRA,renato seabra,(lap 6),Sydney 2000,Cycling Mountain Bike,cross-country men
41,COL,diego garavito,(lap 5),Sydney 2000,Cycling Mountain Bike,cross-country men
42,BEL,peter van den abeele,(lap 4),Sydney 2000,Cycling Mountain Bike,cross-country men
43,ARG,ignacio ariel gili,(lap 4),Sydney 2000,Cycling Mountain Bike,cross-country men
44,NED,patrick tolhoek,(lap 3),Sydney 2000,Cycling Mountain Bike,cross-country men
45,SLO,rok drasler,(lap 3),Sydney 2000,Cycling Mountain Bike,cross-country men
46,SUI,thomas hochstrasser,(lap 2),Sydney 2000,Cycling Mountain Bike,cross-country men
47,GUM,derek horton,(lap 2),Sydney 2000,Cycling Mountain Bike,cross-country men
48,NOR,rune hoydahl,(lap 1),Sydney 2000,Cycling Mountain Bike,cross-country men
0,ITA,paola pezzo,01:49:24.380,Sydney 2000,Cycling Mountain Bike,cross-country women
1,SUI,barbara blatter,,Sydney 2000,Cycling Mountain Bike,cross-country women
2,ESP,margarita fullana,,Sydney 2000,Cycling Mountain Bike,cross-country women
3,RUS,alla yepifanova,,Sydney 2000,Cycling Mountain Bike,cross-country women
4,CAN,alison sydor,,Sydney 2000,Cycling Mountain Bike,cross-country women
5,AUS,mary grigson,,Sydney 2000,Cycling Mountain Bike,cross-country women
6,USA,allison dunlap,,Sydney 2000,Cycling Mountain Bike,cross-country women
7,CAN,chrissy redden,,Sydney 2000,Cycling Mountain Bike,cross-country women
8,GER,sabine spitz,,Sydney 2000,Cycling Mountain Bike,cross-country women
9,USA,ruth matthes,,Sydney 2000,Cycling Mountain Bike,cross-country women
10,SUI,chantal daucourt,,Sydney 2000,Cycling Mountain Bike,cross-country women
11,GBR,caroline alexander,,Sydney 2000,Cycling Mountain Bike,cross-country women
12,GER,hedda zu putlitz,,Sydney 2000,Cycling Mountain Bike,cross-country women
13,ESP,silvia rovira,,Sydney 2000,Cycling Mountain Bike,cross-country women
14,GBR,louise robinson,,Sydney 2000,Cycling Mountain Bike,cross-country women
15,USA,ann trombley,,Sydney 2000,Cycling Mountain Bike,cross-country women
16,NED,corine dorland,,Sydney 2000,Cycling Mountain Bike,cross-country women
17,FRA,laurence leboucher,,Sydney 2000,Cycling Mountain Bike,cross-country women
18,CAN,lesley tomlinson,,Sydney 2000,Cycling Mountain Bike,cross-country women
19,ARG,jimena florit,,Sydney 2000,Cycling Mountain Bike,cross-country women
20,AUS,anna baylis,,Sydney 2000,Cycling Mountain Bike,cross-country women
21,NOR,ragnhild kostoll,,Sydney 2000,Cycling Mountain Bike,cross-country women
22,FRA,sophie villeneuve,,Sydney 2000,Cycling Mountain Bike,cross-country women
23,COL,flor marina delgadillo,,Sydney 2000,Cycling Mountain Bike,cross-country women
24,RSA,erica lynn green,,Sydney 2000,Cycling Mountain Bike,cross-country women
25,JPN,hiroko nambu,,Sydney 2000,Cycling Mountain Bike,cross-country women
26,HKG,alexandra ka-wah yeung,,Sydney 2000,Cycling Mountain Bike,cross-country women
27,CHN,yanping ma,,Sydney 2000,Cycling Mountain Bike,cross-country women
28,IRL,tarja owens,,Sydney 2000,Cycling Mountain Bike,cross-country women
29,NZL,susy pryde,Did not finish,Sydney 2000,Cycling Mountain Bike,cross-country women
