,country,participant,result,olympic_game,discipline,event
0,GER,jan ullrich,05:29:08.000,Sydney 2000,Cycling Road,individual road race men
1,KAZ,alexandr vinokurov,,Sydney 2000,Cycling Road,individual road race men
2,GER,andreas kloden,,Sydney 2000,Cycling Road,individual road race men
3,ITA,michele bartoli,,Sydney 2000,Cycling Road,individual road race men
4,FRA,laurent jalabert,,Sydney 2000,Cycling Road,individual road race men
5,DEN,frank hoj,,Sydney 2000,Cycling Road,individual road race men
6,POL,piotr wadecki,,Sydney 2000,Cycling Road,individual road race men
7,USA,george hincapie,,Sydney 2000,Cycling Road,individual road race men
8,ITA,paolo bettini,,Sydney 2000,Cycling Road,individual road race men
9,RUS,dmitri konyshev,,Sydney 2000,Cycling Road,individual road race men
10,ITA,danilo di luca,,Sydney 2000,Cycling Road,individual road race men
11,BEL,axel merckx,,Sydney 2000,Cycling Road,individual road race men
12,GER,erik zabel,,Sydney 2000,Cycling Road,individual road race men
13,NED,max van heeswijk,,Sydney 2000,Cycling Road,individual road race men
14,CAN,gordon fraser,,Sydney 2000,Cycling Road,individual road race men
15,ESP,oscar freire gomez,,Sydney 2000,Cycling Road,individual road race men
16,EST,jaan kirsipuu,,Sydney 2000,Cycling Road,individual road race men
17,AUS,robbie mcewen,,Sydney 2000,Cycling Road,individual road race men
18,POL,zbigniew spruch,,Sydney 2000,Cycling Road,individual road race men
19,SUI,markus zberg,,Sydney 2000,Cycling Road,individual road race men
20,LAT,arvis piziks,,Sydney 2000,Cycling Road,individual road race men
21,AUT,peter wrolich,,Sydney 2000,Cycling Road,individual road race men
22,GER,rolf aldag,,Sydney 2000,Cycling Road,individual road race men
23,NED,leon van bon,,Sydney 2000,Cycling Road,individual road race men
24,SLO,andrej hauptman,,Sydney 2000,Cycling Road,individual road race men
25,UKR,vladimir duma,,Sydney 2000,Cycling Road,individual road race men
26,SWE,glenn magnusson,,Sydney 2000,Cycling Road,individual road race men
27,RUS,pavel tonkov,,Sydney 2000,Cycling Road,individual road race men
28,AUS,"henk vogels, jr.",,Sydney 2000,Cycling Road,individual road race men
29,COL,ruber marin,,Sydney 2000,Cycling Road,individual road race men
30,SLO,uros murn,,Sydney 2000,Cycling Road,individual road race men
31,BEL,nico mattan,,Sydney 2000,Cycling Road,individual road race men
32,USA,fred rodriguez,,Sydney 2000,Cycling Road,individual road race men
33,GBR,max sciandri,,Sydney 2000,Cycling Road,individual road race men
34,RUS,sergey ivanov,,Sydney 2000,Cycling Road,individual road race men
35,SUI,oscar camenzind,,Sydney 2000,Cycling Road,individual road race men
36,GBR,john tanner,,Sydney 2000,Cycling Road,individual road race men
37,UKR,serhiy ushakov,,Sydney 2000,Cycling Road,individual road race men
38,DEN,nicki sorensen,,Sydney 2000,Cycling Road,individual road race men
39,AUT,gerrit glomser,,Sydney 2000,Cycling Road,individual road race men
40,UKR,oleksandr fedenko,,Sydney 2000,Cycling Road,individual road race men
41,IRL,david mccann,,Sydney 2000,Cycling Road,individual road race men
42,LTU,raimondas rumsas,,Sydney 2000,Cycling Road,individual road race men
