,country,participant,result,olympic_game,discipline,event
0,RUS,pavel kolobkov,,Sydney 2000,Fencing,épée individual men
1,FRA,hughes obry,,Sydney 2000,Fencing,épée individual men
2,KOR,sang-ki lee,,Sydney 2000,Fencing,épée individual men
3,SUI,marcel fischer,,Sydney 2000,Fencing,épée individual men
4,SWE,peter vanky,,Sydney 2000,Fencing,épée individual men
5,CUB,ivan trevejo,,Sydney 2000,Fencing,épée individual men
6,FRA,eric srecki,,Sydney 2000,Fencing,épée individual men
7,CHN,gang zhao,,Sydney 2000,Fencing,épée individual men
8,GER,arnd rüdiger schmitt,,Sydney 2000,Fencing,épée individual men
9,ITA,alfredo rota,,Sydney 2000,Fencing,épée individual men
10,HUN,attila fekete,,Sydney 2000,Fencing,épée individual men
11,KOR,sang yup lee,,Sydney 2000,Fencing,épée individual men
12,ITA,paolo milanoli,,Sydney 2000,Fencing,épée individual men
13,COL,mauricio rivas nieto,,Sydney 2000,Fencing,épée individual men
14,AUS,gerard adams,,Sydney 2000,Fencing,épée individual men
15,UKR,oleksandr gorbachuk,,Sydney 2000,Fencing,épée individual men
16,EST,kaido kaaberma,,Sydney 2000,Fencing,épée individual men
17,GER,joerg fiedler,,Sydney 2000,Fencing,épée individual men
18,HUN,ivan kovacs,,Sydney 2000,Fencing,épée individual men
19,AUT,oliver kayser,,Sydney 2000,Fencing,épée individual men
20,FRA,jean-françois di martino,,Sydney 2000,Fencing,épée individual men
21,GER,marc steifensand,,Sydney 2000,Fencing,épée individual men
22,ITA,angelo mazzoni,,Sydney 2000,Fencing,épée individual men
23,BLR,vitaliy zakharov,,Sydney 2000,Fencing,épée individual men
24,KOR,roy-sung yang,,Sydney 2000,Fencing,épée individual men
25,AUT,christoph marik,,Sydney 2000,Fencing,épée individual men
26,AUT,michael switak,,Sydney 2000,Fencing,épée individual men
27,CAN,laurie shong,,Sydney 2000,Fencing,épée individual men
28,USA,tamir bloom,,Sydney 2000,Fencing,épée individual men
29,EST,meelis loit,,Sydney 2000,Fencing,épée individual men
30,BLR,vladimir pchenikin,,Sydney 2000,Fencing,épée individual men
31,KGZ,aleksandr poddubny,,Sydney 2000,Fencing,épée individual men
32,EST,andrus kajak,,Sydney 2000,Fencing,épée individual men
33,CUB,carlos pedroso,,Sydney 2000,Fencing,épée individual men
34,CUB,nelson loyola,,Sydney 2000,Fencing,épée individual men
35,PUR,jonathan pena gonzalez,,Sydney 2000,Fencing,épée individual men
36,CHN,weixin wang,,Sydney 2000,Fencing,épée individual men
37,BLR,andrei murashko,,Sydney 2000,Fencing,épée individual men
38,AUS,nick heffernan,,Sydney 2000,Fencing,épée individual men
39,KAZ,sergey shabalin,,Sydney 2000,Fencing,épée individual men
40,AUS,david nathan,,Sydney 2000,Fencing,épée individual men
41,EGY,muhannad saif el-din,,Sydney 2000,Fencing,épée individual men
0,HUN,timea nagy,,Sydney 2000,Fencing,épée individual women
1,SUI,gianna hablützel-bürki,,Sydney 2000,Fencing,épée individual women
2,FRA,laura flessel-colovic,,Sydney 2000,Fencing,épée individual women
3,RUS,tatyana logunova,,Sydney 2000,Fencing,épée individual women
4,FRA,valerie barlois,,Sydney 2000,Fencing,épée individual women
5,CUB,zuleidis ortiz,,Sydney 2000,Fencing,épée individual women
6,ITA,margherita zalaffi,,Sydney 2000,Fencing,épée individual women
7,GER,claudia bokel,,Sydney 2000,Fencing,épée individual women
8,HUN,ildiko mincza-nebald,,Sydney 2000,Fencing,épée individual women
9,GER,imke duplitzer,,Sydney 2000,Fencing,épée individual women
10,RUS,mariya mazina,,Sydney 2000,Fencing,épée individual women
