,country,participant,result,olympic_game,discipline,event
0,AUS,mark turnbull,38.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
1,USA,paul foerster,42.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
2,ARG,javier conte,57.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
3,GBR,joe glanfield,58.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
4,POR,miguel nunes,67.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
5,UKR,evhen braslavets,72.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
6,NZL,simon cooke,76.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
7,GRE,andreas kosmatopoulos,78.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
8,SLO,tomaz copi,78.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
9,ESP,gustavo martinez,81.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
10,RUS,mikhail krutikov,82.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
11,SWE,mattias rahm,96.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
12,ISR,eli zukerman,99.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
13,FRA,tanguy cariou,111.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
14,KOR,daeyoung kim,125.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
15,FIN,petri johannes leskinen,127.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
16,GER,stefan meister,130.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
17,JPN,yuji miyai,133.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
18,ITA,francesco ivaldi,139.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
19,POL,tomasz stanczyk,144.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
20,BLR,igor ivashintsov,153.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
21,EST,toomas toniste,157.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
22,MEX,santiago hernandez,159.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
23,CRO,toni bulaja,162.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
24,JAM,sean nunes,164.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
25,BRA,andre fonseca,171.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
26,SUI,lukas erni,184.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
27,SGP,wearn haw tan,192.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
28,HUN,marcell goszleth,204.0,Sydney 2000,Sailing,470 - Two Person Dinghy men
0,AUS,belinda stowell,33.0,Sydney 2000,Sailing,470 - Two Person Dinghy women
