,country,participant,result,olympic_game,discipline,event
0,KOR,jae-eun jung,,Sydney 2000,Taekwondo,49 - 57 kg women
1,VIE,hieu ngan tran,,Sydney 2000,Taekwondo,49 - 57 kg women
2,TUR,hamide bikcin,,Sydney 2000,Taekwondo,49 - 57 kg women
3,NED,virginia lourens,,Sydney 2000,Taekwondo,49 - 57 kg women
4,ITA,cristiana corsi,,Sydney 2000,Taekwondo,49 - 57 kg women
5,PHI,jasmin strachan,,Sydney 2000,Taekwondo,49 - 57 kg women
6,TTO,cheryl-ann sankar,,Sydney 2000,Taekwondo,49 - 57 kg women
7,GRE,areti athanasopoulou,,Sydney 2000,Taekwondo,49 - 57 kg women
8,TPE,chih-ling hsu,,Sydney 2000,Taekwondo,49 - 57 kg women
9,BRA,carmen silva,,Sydney 2000,Taekwondo,49 - 57 kg women
10,AUS,cynthia cameron,,Sydney 2000,Taekwondo,49 - 57 kg women
11,EGY,shimaa afifi,,Sydney 2000,Taekwondo,49 - 57 kg women
0,AUS,lauren burns,,Sydney 2000,Taekwondo,49 kg women
1,CUB,urbia melendez rodriguez,,Sydney 2000,Taekwondo,49 kg women
2,TPE,shu ju chi,,Sydney 2000,Taekwondo,49 kg women
3,DEN,hanne hoegh poulsen,,Sydney 2000,Taekwondo,49 kg women
4,MEX,agueda perez lopez,,Sydney 2000,Taekwondo,49 kg women
5,TUR,dondu guvenc,,Sydney 2000,Taekwondo,49 kg women
6,LES,alinah likeleli thamae,,Sydney 2000,Taekwondo,49 kg women
7,INA,juana wangsa putri,,Sydney 2000,Taekwondo,49 kg women
8,VIE,xuan mai nguyen thi,,Sydney 2000,Taekwondo,49 kg women
9,PHI,eva marie ditan,,Sydney 2000,Taekwondo,49 kg women
10,GER,fadime helvacioglu,,Sydney 2000,Taekwondo,49 kg women
11,USA,kay poe,,Sydney 2000,Taekwondo,49 kg women
0,KOR,sun-hee lee,,Sydney 2000,Taekwondo,57 - 67 kg women
1,NOR,trude gundersen,,Sydney 2000,Taekwondo,57 - 67 kg women
2,JPN,yoriko okamoto,,Sydney 2000,Taekwondo,57 - 67 kg women
3,GBR,sarah stevenson,,Sydney 2000,Taekwondo,57 - 67 kg women
4,FIN,kirsimarja koskinen,,Sydney 2000,Taekwondo,57 - 67 kg women
5,NED,mirjam mueskens,,Sydney 2000,Taekwondo,57 - 67 kg women
6,USA,barbara kunkel,,Sydney 2000,Taekwondo,57 - 67 kg women
7,CHN,lumin he,,Sydney 2000,Taekwondo,57 - 67 kg women
8,ESP,elena benitez morales,,Sydney 2000,Taekwondo,57 - 67 kg women
9,AUS,lisa o'keefe,,Sydney 2000,Taekwondo,57 - 67 kg women
10,MAR,meriem bidani,,Sydney 2000,Taekwondo,57 - 67 kg women
11,MEX,monica deyhanira del real jaime,,Sydney 2000,Taekwondo,57 - 67 kg women
0,USA,steven lopez,,Sydney 2000,Taekwondo,58 - 68 kg men
1,KOR,joon-sik sin,,Sydney 2000,Taekwondo,58 - 68 kg men
2,IRI,hadi saeibonehkohal,,Sydney 2000,Taekwondo,58 - 68 kg men
3,AUT,tuncay caliskan,,Sydney 2000,Taekwondo,58 - 68 kg men
4,GER,aziz acharki,,Sydney 2000,Taekwondo,58 - 68 kg men
5,AUS,carlo massimino,,Sydney 2000,Taekwondo,58 - 68 kg men
6,RUS,aslanbek dzitiyev,,Sydney 2000,Taekwondo,58 - 68 kg men
7,ITA,claudio nolano,,Sydney 2000,Taekwondo,58 - 68 kg men
8,ARG,alejandro fabian hernando,,Sydney 2000,Taekwondo,58 - 68 kg men
9,MON,olivier bernasconi,,Sydney 2000,Taekwondo,58 - 68 kg men
10,ESP,francisco zas,,Sydney 2000,Taekwondo,58 - 68 kg men
11,TPE,chi-hung hsu,,Sydney 2000,Taekwondo,58 - 68 kg men
12,LBA,nizar mohamed naeeli,,Sydney 2000,Taekwondo,58 - 68 kg men
13,BEN,stanislas ogoudjobi,,Sydney 2000,Taekwondo,58 - 68 kg men
0,GRE,michail mouroutsos,,Sydney 2000,Taekwondo,58 kg men
1,ESP,gabriel esparza,,Sydney 2000,Taekwondo,58 kg men
2,TPE,chih hsiung huang,,Sydney 2000,Taekwondo,58 kg men
3,ARG,gabriel alberto taraburelli,,Sydney 2000,Taekwondo,58 kg men
4,HUN,joseph salim,,Sydney 2000,Taekwondo,58 kg men
5,MAR,younes sekkat,,Sydney 2000,Taekwondo,58 kg men
6,EGY,talaat abada,,Sydney 2000,Taekwondo,58 kg men
7,KUW,naser b t h s buftain,,Sydney 2000,Taekwondo,58 kg men
8,PHI,roberto cruz,,Sydney 2000,Taekwondo,58 kg men
9,GUA,gabriel sagastume,,Sydney 2000,Taekwondo,58 kg men
10,USA,juan moreno,,Sydney 2000,Taekwondo,58 kg men
11,JPN,kiyoteru higuchi,,Sydney 2000,Taekwondo,58 kg men
12,SWZ,mfanukhona sendro dlamini,,Sydney 2000,Taekwondo,58 kg men
13,AUS,paul michael lyons,,Sydney 2000,Taekwondo,58 kg men
0,CHN,zhong chen,,Sydney 2000,Taekwondo,67 kg women
1,RUS,natalia ivanova,,Sydney 2000,Taekwondo,67 kg women
2,CAN,dominique bosshart,,Sydney 2000,Taekwondo,67 kg women
