,country,participant,result,olympic_game,discipline,event
0,,,14,Sydney 2000,Volleyball,volleyball men
1,,,14,Sydney 2000,Volleyball,volleyball men
2,,,15,Sydney 2000,Volleyball,volleyball men
3,,,11,Sydney 2000,Volleyball,volleyball men
4,,,14,Sydney 2000,Volleyball,volleyball men
5,,,14,Sydney 2000,Volleyball,volleyball men
6,,,12,Sydney 2000,Volleyball,volleyball men
7,,,10,Sydney 2000,Volleyball,volleyball men
8,,,6,Sydney 2000,Volleyball,volleyball men
9,,,6,Sydney 2000,Volleyball,volleyball men
10,,,5,Sydney 2000,Volleyball,volleyball men
11,,,5,Sydney 2000,Volleyball,volleyball men
0,,,15,Sydney 2000,Volleyball,volleyball women
1,,,15,Sydney 2000,Volleyball,volleyball women
2,,,15,Sydney 2000,Volleyball,volleyball women
3,,,13,Sydney 2000,Volleyball,volleyball women
4,,,12,Sydney 2000,Volleyball,volleyball women
5,,,11,Sydney 2000,Volleyball,volleyball women
6,,,12,Sydney 2000,Volleyball,volleyball women
7,,,11,Sydney 2000,Volleyball,volleyball women
8,,,6,Sydney 2000,Volleyball,volleyball women
9,,,6,Sydney 2000,Volleyball,volleyball women
10,,,5,Sydney 2000,Volleyball,volleyball women
11,,,5,Sydney 2000,Volleyball,volleyball women
