,country,participant,result,olympic_game,discipline,event
0,AZE,namig abdullayev,,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
1,USA,samuel henson,,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
2,GRE,amiran kardanov,,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
3,BLR,hierman kantoyeu,,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
4,UKR,oleksandr zakharuk,,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
5,KAZ,maulen mamyrov,,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
6,MDA,vitaliy railean,8,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
7,UZB,adkhamdzhon akhilov,4,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
8,PRK,ju dong jin,4,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
9,JPN,chikara tanabe,4,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
10,KGZ,nurdin donbaev,4,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
11,RUS,leonid tchoutchounov,4,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
12,IRI,behnam tayebi kermani,4,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
13,CUB,wilfredo garcia,3,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
14,GER,vasilij zeiher,2,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
15,MGL,züünbayan tümendembereliin,1,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
16,KOR,myeong-sik mun,1,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
17,NZL,martin liddle,0,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
18,BUL,ivan tzonov,0,Sydney 2000,Wrestling,"Bantamweight, Freestyle (≤54 kilograms) Men"
0,KOR,kwon-ho sim,,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
1,CUB,lazaro rivas scull,,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
2,PRK,yong gyun kang,,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
3,UKR,andriy kalashnikov,,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
4,GER,alfred ter-mkrtchyan,,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
5,CHN,hui wang,,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
6,AZE,natig eyvazov,8,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
7,KGZ,uran kalilov,7,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
8,KAZ,rakymzhan assembekov,5,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
9,EGY,mohamed moustafa abou elea,5,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
10,TUR,ercan yildiz,4,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
11,RUS,alexey shevtsov,4,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
12,ROU,marian sandu,4,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
13,IRI,hassan rangraz,4,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
14,GEO,alexander tsertsvadze,3,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
15,CZE,petr svehla,2,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
16,USA,steven mays,1,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
17,FIN,tero katajisto,1,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
18,POL,dariusz jablonski,0,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
19,NZL,jotham pellew,0,Sydney 2000,Wrestling,"Bantamweight, Greco-Roman (≤54 kilograms) Men"
0,IRI,alireza dabir,,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
1,UKR,yevgen buslovych,,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
2,USA,terry brands,,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
3,UZB,damir zakhartdinov,,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
4,GEO,david pogosian,,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
5,ARM,martin berberyan,9,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
6,RUS,murad ramazanov,7,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
7,BLR,aleksandr guzov,5,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
8,AZE,arif abdullayev,5,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
9,GRE,khvitsas polykhronidis,5,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
10,PRK,yong sam ri,4,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
11,MDA,octavian cuciuc,4,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
12,CAN,guivi sissaouri,4,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
13,GER,othmar kuhner,3,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
14,TUR,harun dogan,3,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
15,SVK,andrej fasanek,2,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
16,AUS,cory o'brien,1,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
17,KAZ,abil ibragimov,0,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
18,GBS,talata embalo,0,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
19,MGL,purevbaatar oyunbileg,Disqualified,Sydney 2000,Wrestling,"Featherweight, Freestyle (≤58 kilograms) Men"
0,BUL,armen nazaryan,,Sydney 2000,Wrestling,"Featherweight, Greco-Roman (≤58 kilograms) Men"
1,KOR,in-seop kim,,Sydney 2000,Wrestling,"Featherweight, Greco-Roman (≤58 kilograms) Men"
2,CHN,zetian sheng,,Sydney 2000,Wrestling,"Featherweight, Greco-Roman (≤58 kilograms) Men"
3,GER,rifat yildiz,,Sydney 2000,Wrestling,"Featherweight, Greco-Roman (≤58 kilograms) Men"
4,IRI,ali ashkani aghbolagh,,Sydney 2000,Wrestling,"Featherweight, Greco-Roman (≤58 kilograms) Men"
5,USA,james gruenwald,,Sydney 2000,Wrestling,"Featherweight, Greco-Roman (≤58 kilograms) Men"
6,RUS,valeri nikonorov,8,Sydney 2000,Wrestling,"Featherweight, Greco-Roman (≤58 kilograms) Men"
7,JPN,makoto sasamoto,7,Sydney 2000,Wrestling,"Featherweight, Greco-Roman (≤58 kilograms) Men"
8,ROU,constantin borascu,6,Sydney 2000,Wrestling,"Featherweight, Greco-Roman (≤58 kilograms) Men"
9,TKM,nepes gukulov,6,Sydney 2000,Wrestling,"Featherweight, Greco-Roman (≤58 kilograms) Men"
10,UZB,dilshod aripov,5,Sydney 2000,Wrestling,"Featherweight, Greco-Roman (≤58 kilograms) Men"
11,FRA,djamel ainaoui,3,Sydney 2000,Wrestling,"Featherweight, Greco-Roman (≤58 kilograms) Men"
