,country,participant,result,olympic_game,discipline,event
0,AUS,betty cuthbert,52.000,Tokyo 1964,Athletics,400m women
1,GBR,ann elizabeth packer,52.200,Tokyo 1964,Athletics,400m women
2,AUS,judith florence amoore-pollock,53.400,Tokyo 1964,Athletics,400m women
3,HUN,antonia munkacsi,54.400,Tokyo 1964,Athletics,400m women
4,URS,mariya itkina,54.600,Tokyo 1964,Athletics,400m women
5,NED,mathilda catrina van der made-van der zwaard,55.200,Tokyo 1964,Athletics,400m women
6,GER,gertrud schmidt,55.400,Tokyo 1964,Athletics,400m women
7,FRA,evelyne lebret,55.500,Tokyo 1964,Athletics,400m women
0,,,39.000,Tokyo 1964,Athletics,4x100m relay men
1,,,39.300,Tokyo 1964,Athletics,4x100m relay men
2,,,39.300,Tokyo 1964,Athletics,4x100m relay men
3,,,39.400,Tokyo 1964,Athletics,4x100m relay men
4,,,39.400,Tokyo 1964,Athletics,4x100m relay men
5,,,39.500,Tokyo 1964,Athletics,4x100m relay men
6,,,39.500,Tokyo 1964,Athletics,4x100m relay men
7,,,39.600,Tokyo 1964,Athletics,4x100m relay men
8,,,,Tokyo 1964,Athletics,4x100m relay men
0,,,43.600,Tokyo 1964,Athletics,4x100m relay women
1,,,43.900,Tokyo 1964,Athletics,4x100m relay women
2,,,44.000,Tokyo 1964,Athletics,4x100m relay women
3,,,44.400,Tokyo 1964,Athletics,4x100m relay women
4,,,44.700,Tokyo 1964,Athletics,4x100m relay women
5,,,45.000,Tokyo 1964,Athletics,4x100m relay women
6,,,45.200,Tokyo 1964,Athletics,4x100m relay women
7,,,46.100,Tokyo 1964,Athletics,4x100m relay women
0,,,00:03:00.700,Tokyo 1964,Athletics,4x400m relay men
1,,,00:03:01.600,Tokyo 1964,Athletics,4x400m relay men
2,,,00:03:01.700,Tokyo 1964,Athletics,4x400m relay men
3,,,00:03:02.300,Tokyo 1964,Athletics,4x400m relay men
4,,,00:03:04.300,Tokyo 1964,Athletics,4x400m relay men
5,,,00:03:05.300,Tokyo 1964,Athletics,4x400m relay men
6,,,00:03:05.900,Tokyo 1964,Athletics,4x400m relay men
7,,,00:03:07.400,Tokyo 1964,Athletics,4x400m relay men
8,,,Did not start,Tokyo 1964,Athletics,4x400m relay men
9,,,Did not start,Tokyo 1964,Athletics,4x400m relay men
10,,,Did not start,Tokyo 1964,Athletics,4x400m relay men
0,USA,robert keyser schul,00:13:48.800,Tokyo 1964,Athletics,5000m men
1,GER,harald norpoth,00:13:49.600,Tokyo 1964,Athletics,5000m men
2,USA,william solon dellinger,00:13:49.800,Tokyo 1964,Athletics,5000m men
3,FRA,michel jazy,00:13:49.800,Tokyo 1964,Athletics,5000m men
4,KEN,kipchoge keino,00:13:50.400,Tokyo 1964,Athletics,5000m men
5,NZL,william david baillie,00:13:51.000,Tokyo 1964,Athletics,5000m men
6,URS,nikolay dutov,00:13:53.800,Tokyo 1964,Athletics,5000m men
7,NOR,thorulf helland,00:13:57.000,Tokyo 1964,Athletics,5000m men
8,AUS,ronald clarke,00:13:58.000,Tokyo 1964,Athletics,5000m men
