,country,participant,result,olympic_game,discipline,event
0,URS,boris dubrovsky,,Tokyo 1964,Rowing,double sculls 2x men
1,USA,seymour legrand ii cromwell,,Tokyo 1964,Rowing,double sculls 2x men
2,TCH,pavel hofman,,Tokyo 1964,Rowing,double sculls 2x men
3,SUI,melchior rudolf bürgin,,Tokyo 1964,Rowing,double sculls 2x men
4,GER,josef steffes-mies,,Tokyo 1964,Rowing,double sculls 2x men
5,FRA,rene duhamel,,Tokyo 1964,Rowing,double sculls 2x men
6,GBR,arnold vivian cooke,00:06:44.390,Tokyo 1964,Rowing,double sculls 2x men
7,NED,max bruno alwin,00:06:47.070,Tokyo 1964,Rowing,double sculls 2x men
8,BEL,gerard higny,00:06:49.700,Tokyo 1964,Rowing,double sculls 2x men
9,JPN,yasushi murase,00:07:15.220,Tokyo 1964,Rowing,double sculls 2x men
10,MEX,fernando scheffler,00:07:27.470,Tokyo 1964,Rowing,double sculls 2x men
11,ARG,juan carlos gomez,,Tokyo 1964,Rowing,double sculls 2x men
12,AUS,barclay john wade,,Tokyo 1964,Rowing,double sculls 2x men
0,,,,Tokyo 1964,Rowing,eight with coxswain 8 men
1,,,,Tokyo 1964,Rowing,eight with coxswain 8 men
2,,,,Tokyo 1964,Rowing,eight with coxswain 8 men
3,,,,Tokyo 1964,Rowing,eight with coxswain 8 men
4,,,,Tokyo 1964,Rowing,eight with coxswain 8 men
5,,,,Tokyo 1964,Rowing,eight with coxswain 8 men
6,,,00:05:58.570,Tokyo 1964,Rowing,eight with coxswain 8 men
7,,,00:06:02.210,Tokyo 1964,Rowing,eight with coxswain 8 men
8,,,00:06:02.690,Tokyo 1964,Rowing,eight with coxswain 8 men
9,,,00:06:05.140,Tokyo 1964,Rowing,eight with coxswain 8 men
10,,,00:06:07.590,Tokyo 1964,Rowing,eight with coxswain 8 men
11,,,00:06:31.800,Tokyo 1964,Rowing,eight with coxswain 8 men
0,,,,Tokyo 1964,Rowing,four without coxswain 4 men
1,,,,Tokyo 1964,Rowing,four without coxswain 4 men
2,,,,Tokyo 1964,Rowing,four without coxswain 4 men
3,,,,Tokyo 1964,Rowing,four without coxswain 4 men
4,,,,Tokyo 1964,Rowing,four without coxswain 4 men
5,,,,Tokyo 1964,Rowing,four without coxswain 4 men
6,,,00:06:22.030,Tokyo 1964,Rowing,four without coxswain 4 men
7,,,00:06:24.150,Tokyo 1964,Rowing,four without coxswain 4 men
8,,,00:06:27.280,Tokyo 1964,Rowing,four without coxswain 4 men
9,,,00:06:38.320,Tokyo 1964,Rowing,four without coxswain 4 men
10,,,00:06:45.500,Tokyo 1964,Rowing,four without coxswain 4 men
11,,,00:06:51.600,Tokyo 1964,Rowing,four without coxswain 4 men
0,,,,Tokyo 1964,Rowing,four-oared shell with coxswain men
1,,,,Tokyo 1964,Rowing,four-oared shell with coxswain men
2,,,,Tokyo 1964,Rowing,four-oared shell with coxswain men
3,,,,Tokyo 1964,Rowing,four-oared shell with coxswain men
4,,,,Tokyo 1964,Rowing,four-oared shell with coxswain men
5,,,,Tokyo 1964,Rowing,four-oared shell with coxswain men
6,,,00:06:43.680,Tokyo 1964,Rowing,four-oared shell with coxswain men
7,,,00:06:45.160,Tokyo 1964,Rowing,four-oared shell with coxswain men
8,,,00:06:48.380,Tokyo 1964,Rowing,four-oared shell with coxswain men
9,,,00:06:48.450,Tokyo 1964,Rowing,four-oared shell with coxswain men
10,,,00:06:52.830,Tokyo 1964,Rowing,four-oared shell with coxswain men
0,CAN,roger charles jackson,,Tokyo 1964,Rowing,pair without coxswain 2 men
1,NED,ernest willem veenemans,,Tokyo 1964,Rowing,pair without coxswain 2 men
2,GER,michael schwan,,Tokyo 1964,Rowing,pair without coxswain 2 men
3,GBR,james david lee-nicholson,,Tokyo 1964,Rowing,pair without coxswain 2 men
4,DEN,peter fich christiansen,,Tokyo 1964,Rowing,pair without coxswain 2 men
5,FIN,toimi johannes pitkänen,,Tokyo 1964,Rowing,pair without coxswain 2 men
6,SUI,nicolas noel gobet,00:07:05.710,Tokyo 1964,Rowing,pair without coxswain 2 men
7,POL,alfons slusarski,00:07:08.380,Tokyo 1964,Rowing,pair without coxswain 2 men
8,AUS,robert alan shirlaw,00:07:12.180,Tokyo 1964,Rowing,pair without coxswain 2 men
9,USA,philip anthony johnson,00:07:15.040,Tokyo 1964,Rowing,pair without coxswain 2 men
0,,,,Tokyo 1964,Rowing,pair-oared shell with coxswain men
1,,,,Tokyo 1964,Rowing,pair-oared shell with coxswain men
2,,,,Tokyo 1964,Rowing,pair-oared shell with coxswain men
3,,,,Tokyo 1964,Rowing,pair-oared shell with coxswain men
4,,,,Tokyo 1964,Rowing,pair-oared shell with coxswain men
5,,,,Tokyo 1964,Rowing,pair-oared shell with coxswain men
6,,,00:07:27.980,Tokyo 1964,Rowing,pair-oared shell with coxswain men
7,,,00:07:31.650,Tokyo 1964,Rowing,pair-oared shell with coxswain men
8,,,00:07:32.540,Tokyo 1964,Rowing,pair-oared shell with coxswain men
9,,,00:07:35.740,Tokyo 1964,Rowing,pair-oared shell with coxswain men
10,,,00:07:36.030,Tokyo 1964,Rowing,pair-oared shell with coxswain men
0,URS,vyacheslav ivanov,,Tokyo 1964,Rowing,single sculls 1x men
1,GER,achim hill,,Tokyo 1964,Rowing,single sculls 1x men
2,SUI,gottfried kottmann,,Tokyo 1964,Rowing,single sculls 1x men
3,ARG,alberto demiddi,,Tokyo 1964,Rowing,single sculls 1x men
4,NZL,murray p. watkinson,,Tokyo 1964,Rowing,single sculls 1x men
5,USA,donald m. spero,,Tokyo 1964,Rowing,single sculls 1x men
6,NED,robert jacques groen,00:07:17.500,Tokyo 1964,Rowing,single sculls 1x men
7,CAN,leif gotfredsen,00:07:28.700,Tokyo 1964,Rowing,single sculls 1x men
8,AUS,peter fred edwards,00:07:30.060,Tokyo 1964,Rowing,single sculls 1x men
9,MEX,otto plettner schon,00:07:33.240,Tokyo 1964,Rowing,single sculls 1x men
10,JPN,satoomi kasagi,00:07:37.900,Tokyo 1964,Rowing,single sculls 1x men
11,TCH,vaclav kozak,,Tokyo 1964,Rowing,single sculls 1x men
