,country,participant,result,olympic_game,discipline,event
0,JPN,daiki hashimoto,88.465,Tokyo 2020,Artistic Gymnastics,Men's All-Around
1,CHN,ruoteng xiao,88.065,Tokyo 2020,Artistic Gymnastics,Men's All-Around
2,ROC,nikita nagornyy,88.031,Tokyo 2020,Artistic Gymnastics,Men's All-Around
3,CHN,wei sun,87.798,Tokyo 2020,Artistic Gymnastics,Men's All-Around
4,JPN,takeru kitazono,86.698,Tokyo 2020,Artistic Gymnastics,Men's All-Around
5,ROC,artur dalaloyan,86.248,Tokyo 2020,Artistic Gymnastics,Men's All-Around
6,TPE,chia-hung tang,84.798,Tokyo 2020,Artistic Gymnastics,Men's All-Around
7,GBR,james hall,84.598,Tokyo 2020,Artistic Gymnastics,Men's All-Around
8,GBR,joe fraser,84.499,Tokyo 2020,Artistic Gymnastics,Men's All-Around
9,USA,brody malone,84.465,Tokyo 2020,Artistic Gymnastics,Men's All-Around
10,UKR,illia kovtun,83.797,Tokyo 2020,Artistic Gymnastics,Men's All-Around
11,USA,sam mikulak,83.164,Tokyo 2020,Artistic Gymnastics,Men's All-Around
12,SUI,benjamin gischard,82.732,Tokyo 2020,Artistic Gymnastics,Men's All-Around
13,KAZ,milad karimi,82.530,Tokyo 2020,Artistic Gymnastics,Men's All-Around
14,TUR,adem asil,82.499,Tokyo 2020,Artistic Gymnastics,Men's All-Around
15,SUI,eddy yusof,81.732,Tokyo 2020,Artistic Gymnastics,Men's All-Around
16,BRA,caio souza,81.532,Tokyo 2020,Artistic Gymnastics,Men's All-Around
17,GER,lukas dauser,81.290,Tokyo 2020,Artistic Gymnastics,Men's All-Around
18,UKR,petro pakhnyuk,81.265,Tokyo 2020,Artistic Gymnastics,Men's All-Around
19,BRA,diogo soares,81.198,Tokyo 2020,Artistic Gymnastics,Men's All-Around
20,TPE,chih kai lee,80.699,Tokyo 2020,Artistic Gymnastics,Men's All-Around
21,KOR,junho lee,80.464,Tokyo 2020,Artistic Gymnastics,Men's All-Around
22,GER,philipp herder,78.565,Tokyo 2020,Artistic Gymnastics,Men's All-Around
23,TUR,ahmet onder,Did not finish,Tokyo 2020,Artistic Gymnastics,Men's All-Around
0,ISR,artem dolgopyat,14.933,Tokyo 2020,Artistic Gymnastics,Men's Floor Exercise
1,ESP,rayderley miguel zapata,14.933,Tokyo 2020,Artistic Gymnastics,Men's Floor Exercise
2,CHN,ruoteng xiao,14.766,Tokyo 2020,Artistic Gymnastics,Men's Floor Exercise
3,KOR,sunghyun ryu,14.233,Tokyo 2020,Artistic Gymnastics,Men's Floor Exercise
4,KAZ,milad karimi,14.133,Tokyo 2020,Artistic Gymnastics,Men's Floor Exercise
5,USA,yul moldauer,13.533,Tokyo 2020,Artistic Gymnastics,Men's Floor Exercise
6,ROC,nikita nagornyy,13.066,Tokyo 2020,Artistic Gymnastics,Men's Floor Exercise
7,KOR,hansol kim,13.066,Tokyo 2020,Artistic Gymnastics,Men's Floor Exercise
0,JPN,daiki hashimoto,15.066,Tokyo 2020,Artistic Gymnastics,Men's Horizontal Bar
1,CRO,tin srbic,14.900,Tokyo 2020,Artistic Gymnastics,Men's Horizontal Bar
2,ROC,nikita nagornyy,14.533,Tokyo 2020,Artistic Gymnastics,Men's Horizontal Bar
3,USA,brody malone,14.200,Tokyo 2020,Artistic Gymnastics,Men's Horizontal Bar
4,AUS,tyson bull,12.466,Tokyo 2020,Artistic Gymnastics,Men's Horizontal Bar
5,JPN,takeru kitazono,12.333,Tokyo 2020,Artistic Gymnastics,Men's Horizontal Bar
6,NED,bart deurloo,12.266,Tokyo 2020,Artistic Gymnastics,Men's Horizontal Bar
7,KAZ,milad karimi,11.266,Tokyo 2020,Artistic Gymnastics,Men's Horizontal Bar
0,CHN,jingyuan zou,16.233,Tokyo 2020,Artistic Gymnastics,Men's Parallel Bars
1,GER,lukas dauser,15.700,Tokyo 2020,Artistic Gymnastics,Men's Parallel Bars
2,TUR,ferhat arican,15.633,Tokyo 2020,Artistic Gymnastics,Men's Parallel Bars
3,CHN,hao you,15.466,Tokyo 2020,Artistic Gymnastics,Men's Parallel Bars
4,ROC,david belyavskiy,15.200,Tokyo 2020,Artistic Gymnastics,Men's Parallel Bars
5,USA,sam mikulak,15.000,Tokyo 2020,Artistic Gymnastics,Men's Parallel Bars
6,UKR,petro pakhnyuk,14.533,Tokyo 2020,Artistic Gymnastics,Men's Parallel Bars
7,GBR,joe fraser,14.500,Tokyo 2020,Artistic Gymnastics,Men's Parallel Bars
0,GBR,max whitlock,15.583,Tokyo 2020,Artistic Gymnastics,Men's Pommel Horse
1,TPE,chih kai lee,15.400,Tokyo 2020,Artistic Gymnastics,Men's Pommel Horse
2,JPN,kazuma kaya,14.900,Tokyo 2020,Artistic Gymnastics,Men's Pommel Horse
3,ROC,david belyavskiy,14.833,Tokyo 2020,Artistic Gymnastics,Men's Pommel Horse
4,JPN,kohei kameyama,14.600,Tokyo 2020,Artistic Gymnastics,Men's Pommel Horse
5,USA,alec yoder,14.566,Tokyo 2020,Artistic Gymnastics,Men's Pommel Horse
6,IRL,rhys mc clenaghan,13.100,Tokyo 2020,Artistic Gymnastics,Men's Pommel Horse
7,CHN,wei sun,13.066,Tokyo 2020,Artistic Gymnastics,Men's Pommel Horse
0,CHN,yang liu,15.500,Tokyo 2020,Artistic Gymnastics,Men's Rings
1,CHN,hao you,15.300,Tokyo 2020,Artistic Gymnastics,Men's Rings
