,country,participant,result,olympic_game,discipline,event
0,,,,Tokyo 2020,Hockey,Men
1,,,,Tokyo 2020,Hockey,Men
2,,,,Tokyo 2020,Hockey,Men
3,,,,Tokyo 2020,Hockey,Men
4,,,,Tokyo 2020,Hockey,Men
5,,,,Tokyo 2020,Hockey,Men
6,,,,Tokyo 2020,Hockey,Men
7,,,,Tokyo 2020,Hockey,Men
8,,,,Tokyo 2020,Hockey,Men
9,,,,Tokyo 2020,Hockey,Men
10,,,,Tokyo 2020,Hockey,Men
11,,,,Tokyo 2020,Hockey,Men
0,,,,Tokyo 2020,Hockey,Women
1,,,,Tokyo 2020,Hockey,Women
2,,,,Tokyo 2020,Hockey,Women
3,,,,Tokyo 2020,Hockey,Women
4,,,,Tokyo 2020,Hockey,Women
5,,,,Tokyo 2020,Hockey,Women
6,,,,Tokyo 2020,Hockey,Women
7,,,,Tokyo 2020,Hockey,Women
8,,,,Tokyo 2020,Hockey,Women
9,,,,Tokyo 2020,Hockey,Women
10,,,,Tokyo 2020,Hockey,Women
11,,,,Tokyo 2020,Hockey,Women
