,country,participant,result,olympic_game,discipline,event
0,CHN,long ma,,Tokyo 2020,Table Tennis,Men's Singles
1,CHN,zhendong fan,,Tokyo 2020,Table Tennis,Men's Singles
2,GER,dimitrij ovtcharov,,Tokyo 2020,Table Tennis,Men's Singles
3,TPE,yun ju lin,,Tokyo 2020,Table Tennis,Men's Singles
4,EGY,omar assar,,Tokyo 2020,Table Tennis,Men's Singles
5,BRA,hugo calderano,,Tokyo 2020,Table Tennis,Men's Singles
6,KOR,youngsik jeoung,,Tokyo 2020,Table Tennis,Men's Singles
7,SLO,darko jorgic,,Tokyo 2020,Table Tennis,Men's Singles
8,GER,timo boll,,Tokyo 2020,Table Tennis,Men's Singles
9,TPE,chih-yuan chuang,,Tokyo 2020,Table Tennis,Men's Singles
10,POR,marcos freitas,,Tokyo 2020,Table Tennis,Men's Singles
11,FRA,simon gauzy,,Tokyo 2020,Table Tennis,Men's Singles
12,JPN,tomokazu harimoto,,Tokyo 2020,Table Tennis,Men's Singles
13,KOR,woojin jang,,Tokyo 2020,Table Tennis,Men's Singles
14,JPN,koki niwa,,Tokyo 2020,Table Tennis,Men's Singles
15,BRA,gustavo tsuboi,,Tokyo 2020,Table Tennis,Men's Singles
16,IND,sharath kamal achanta,,Tokyo 2020,Table Tennis,Men's Singles
17,NGR,quadri aruna,,Tokyo 2020,Table Tennis,Men's Singles
18,GBR,paul drinkhall,,Tokyo 2020,Table Tennis,Men's Singles
19,SWE,mattias falck,,Tokyo 2020,Table Tennis,Men's Singles
20,KAZ,kirill gerassimenko,,Tokyo 2020,Table Tennis,Men's Singles
21,GRE,panagiotis gionis,,Tokyo 2020,Table Tennis,Men's Singles
22,DEN,jonathan groth,,Tokyo 2020,Table Tennis,Men's Singles
23,AUT,daniel habesohn,,Tokyo 2020,Table Tennis,Men's Singles
24,SWE,anton kaellberg,,Tokyo 2020,Table Tennis,Men's Singles
25,HKG,siu hang lam,,Tokyo 2020,Table Tennis,Men's Singles
26,FRA,emmanuel lebesson,,Tokyo 2020,Table Tennis,Men's Singles
27,GBR,liam pitchford,,Tokyo 2020,Table Tennis,Men's Singles
28,ROC,kirill skachkov,,Tokyo 2020,Table Tennis,Men's Singles
29,SLO,bojan tokic,,Tokyo 2020,Table Tennis,Men's Singles
30,SVK,jingyuan wang,,Tokyo 2020,Table Tennis,Men's Singles
31,HKG,chun ting wong,,Tokyo 2020,Table Tennis,Men's Singles
32,POR,tiago apolonia,,Tokyo 2020,Table Tennis,Men's Singles
33,SGP,zhe yu clarence chew,,Tokyo 2020,Table Tennis,Men's Singles
34,ARG,horacio cifuentes,,Tokyo 2020,Table Tennis,Men's Singles
35,CRO,andrej gacina,,Tokyo 2020,Table Tennis,Men's Singles
36,AUT,robert gardos,,Tokyo 2020,Table Tennis,Men's Singles
37,IND,sathiyan gnanasekaran,,Tokyo 2020,Table Tennis,Men's Singles
38,ROU,ovidiu ionescu,,Tokyo 2020,Table Tennis,Men's Singles
39,CZE,lubomir jancarik,,Tokyo 2020,Table Tennis,Men's Singles
40,USA,kanak jha,,Tokyo 2020,Table Tennis,Men's Singles
41,UKR,lei kou,,Tokyo 2020,Table Tennis,Men's Singles
42,USA,nikhil kumar,,Tokyo 2020,Table Tennis,Men's Singles
43,HUN,bence majoros,,Tokyo 2020,Table Tennis,Men's Singles
44,AUS,david powell,,Tokyo 2020,Table Tennis,Men's Singles
45,CRO,tomislav pucar,,Tokyo 2020,Table Tennis,Men's Singles
46,ESP,alvaro robles,,Tokyo 2020,Table Tennis,Men's Singles
47,EGY,ahmed saleh,,Tokyo 2020,Table Tennis,Men's Singles
48,PUR,brian afanador,,Tokyo 2020,Table Tennis,Men's Singles
49,IRI,nima alamian,,Tokyo 2020,Table Tennis,Men's Singles
50,KSA,ali alkhadrawi,,Tokyo 2020,Table Tennis,Men's Singles
51,ARG,gaston alto,,Tokyo 2020,Table Tennis,Men's Singles
52,ALG,larbi bouriah,,Tokyo 2020,Table Tennis,Men's Singles
53,SEN,ibrahima diaw,,Tokyo 2020,Table Tennis,Men's Singles
54,TOG,kokou dodji fanny,,Tokyo 2020,Table Tennis,Men's Singles
55,CAN,jeremy hazin,,Tokyo 2020,Table Tennis,Men's Singles
56,TUN,adam hmam,,Tokyo 2020,Table Tennis,Men's Singles
57,SRB,dimitrije levajac,,Tokyo 2020,Table Tennis,Men's Singles
58,ECU,alberto mino,,Tokyo 2020,Table Tennis,Men's Singles
59,NGR,olajide omotayo,,Tokyo 2020,Table Tennis,Men's Singles
60,SRB,zsolt peto,,Tokyo 2020,Table Tennis,Men's Singles
61,VAN,yoshua shing,,Tokyo 2020,Table Tennis,Men's Singles
62,CZE,pavel sirucek,,Tokyo 2020,Table Tennis,Men's Singles
63,AUS,xin yan,,Tokyo 2020,Table Tennis,Men's Singles
64,MGL,lkhagvasuren enkhbat,,Tokyo 2020,Table Tennis,Men's Singles
0,,,,Tokyo 2020,Table Tennis,Men's Team
1,,,,Tokyo 2020,Table Tennis,Men's Team
