,country,participant,result,olympic_game,discipline,event
0,,,,Tokyo 2020,Water Polo,Men
1,,,,Tokyo 2020,Water Polo,Men
2,,,,Tokyo 2020,Water Polo,Men
3,,,,Tokyo 2020,Water Polo,Men
4,,,,Tokyo 2020,Water Polo,Men
5,,,,Tokyo 2020,Water Polo,Men
6,,,,Tokyo 2020,Water Polo,Men
7,,,,Tokyo 2020,Water Polo,Men
8,,,,Tokyo 2020,Water Polo,Men
9,,,,Tokyo 2020,Water Polo,Men
10,,,,Tokyo 2020,Water Polo,Men
11,,,,Tokyo 2020,Water Polo,Men
0,,,,Tokyo 2020,Water Polo,Women
1,,,,Tokyo 2020,Water Polo,Women
2,,,,Tokyo 2020,Water Polo,Women
3,,,,Tokyo 2020,Water Polo,Women
4,,,,Tokyo 2020,Water Polo,Women
5,,,,Tokyo 2020,Water Polo,Women
6,,,,Tokyo 2020,Water Polo,Women
7,,,,Tokyo 2020,Water Polo,Women
8,,,,Tokyo 2020,Water Polo,Women
9,,,,Tokyo 2020,Water Polo,Women
