,country,participant,result,olympic_game,discipline,event
0,USA,gable dan steveson,13,Tokyo 2020,Wrestling,Men's Freestyle 125kg
1,GEO,geno petriashvili,11,Tokyo 2020,Wrestling,Men's Freestyle 125kg
2,IRI,amir hossein zare,11,Tokyo 2020,Wrestling,Men's Freestyle 125kg
3,TUR,taha akgul,9,Tokyo 2020,Wrestling,Men's Freestyle 125kg
4,CHN,zhiwei deng,7,Tokyo 2020,Wrestling,Men's Freestyle 125kg
5,MGL,lkhagvagerel munkhtur,6,Tokyo 2020,Wrestling,Men's Freestyle 125kg
6,KOS,egzon shala,6,Tokyo 2020,Wrestling,Men's Freestyle 125kg
7,GER,gennadij cudinovic,6,Tokyo 2020,Wrestling,Men's Freestyle 125kg
8,BLR,dzianis khramiankou,1,Tokyo 2020,Wrestling,Men's Freestyle 125kg
9,EGY,diaaeldin kamal gouda abdelmottaleb,1,Tokyo 2020,Wrestling,Men's Freestyle 125kg
10,ROC,sergei kozyrev,1,Tokyo 2020,Wrestling,Men's Freestyle 125kg
11,KAZ,yusup batirmurzaev,0,Tokyo 2020,Wrestling,Men's Freestyle 125kg
12,CAN,amarveer dhesi,0,Tokyo 2020,Wrestling,Men's Freestyle 125kg
13,ALG,djahid berrahal,0,Tokyo 2020,Wrestling,Men's Freestyle 125kg
14,UKR,oleksandr khotsianivskyi,0,Tokyo 2020,Wrestling,Men's Freestyle 125kg
15,KGZ,aiaal lazarev,0,Tokyo 2020,Wrestling,Men's Freestyle 125kg
0,ROC,zavur uguev,12,Tokyo 2020,Wrestling,Men's Freestyle 57kg
1,IND,ravi kumar dahiya,14,Tokyo 2020,Wrestling,Men's Freestyle 57kg
2,KAZ,nurislam sanayev,9,Tokyo 2020,Wrestling,Men's Freestyle 57kg
3,USA,thomas patrick gilman,8,Tokyo 2020,Wrestling,Men's Freestyle 57kg
4,BUL,georgi valentinov vangelov,12,Tokyo 2020,Wrestling,Men's Freestyle 57kg
5,IRI,reza atrinagharchi,8,Tokyo 2020,Wrestling,Men's Freestyle 57kg
6,UZB,gulomjon abdullaev,5,Tokyo 2020,Wrestling,Men's Freestyle 57kg
7,JPN,yuki takahashi,4,Tokyo 2020,Wrestling,Men's Freestyle 57kg
8,MGL,bekhbayar erdenebat,4,Tokyo 2020,Wrestling,Men's Freestyle 57kg
9,COL,oscar eduardo tigreros urbano,1,Tokyo 2020,Wrestling,Men's Freestyle 57kg
10,TUR,suleyman atli,1,Tokyo 2020,Wrestling,Men's Freestyle 57kg
11,CHN,minghu liu,1,Tokyo 2020,Wrestling,Men's Freestyle 57kg
12,ARM,arsen harutyunyan,1,Tokyo 2020,Wrestling,Men's Freestyle 57kg
13,SRB,stevan andria micic,0,Tokyo 2020,Wrestling,Men's Freestyle 57kg
14,GBS,diamantino iuna fafe,0,Tokyo 2020,Wrestling,Men's Freestyle 57kg
15,ALG,abdelhak kherbache,0,Tokyo 2020,Wrestling,Men's Freestyle 57kg
0,JPN,takuto otoguro,12,Tokyo 2020,Wrestling,Men's Freestyle 65kg
1,AZE,haji aliyev,10,Tokyo 2020,Wrestling,Men's Freestyle 65kg
2,ROC,gadzhimurad rashidov,10,Tokyo 2020,Wrestling,Men's Freestyle 65kg
3,IND,bajrang bajrang,12,Tokyo 2020,Wrestling,Men's Freestyle 65kg
4,HUN,iszmail muszukajev,7,Tokyo 2020,Wrestling,Men's Freestyle 65kg
5,KAZ,daulet niyazbekov,9,Tokyo 2020,Wrestling,Men's Freestyle 65kg
6,POL,magomedmurad gadzhiev,5,Tokyo 2020,Wrestling,Men's Freestyle 65kg
7,IRI,morteza ghiasi cheka,3,Tokyo 2020,Wrestling,Men's Freestyle 65kg
8,MGL,tulga tumur ochir,2,Tokyo 2020,Wrestling,Men's Freestyle 65kg
9,CUB,alejandro enrique valdes tobier,1,Tokyo 2020,Wrestling,Men's Freestyle 65kg
10,ARG,agustin alejandro destribats,1,Tokyo 2020,Wrestling,Men's Freestyle 65kg
11,KGZ,ernazar akmataliev,1,Tokyo 2020,Wrestling,Men's Freestyle 65kg
12,TUN,haithem dakhlaoui,1,Tokyo 2020,Wrestling,Men's Freestyle 65kg
13,ARM,vazgen tevanyan,0,Tokyo 2020,Wrestling,Men's Freestyle 65kg
14,GRE,georgios pilidis,0,Tokyo 2020,Wrestling,Men's Freestyle 65kg
15,SEN,adama diatta,0,Tokyo 2020,Wrestling,Men's Freestyle 65kg
0,ROC,zaurbek sidakov,14,Tokyo 2020,Wrestling,Men's Freestyle 74kg
1,BLR,mahamedkhabib kadzimahamedau,10,Tokyo 2020,Wrestling,Men's Freestyle 74kg
2,USA,kyle douglas dake,10,Tokyo 2020,Wrestling,Men's Freestyle 74kg
3,UZB,bekzod abdurakhmonov,13,Tokyo 2020,Wrestling,Men's Freestyle 74kg
4,ITA,frank chamizo marquez,7,Tokyo 2020,Wrestling,Men's Freestyle 74kg
5,KAZ,daniyar kaisanov,9,Tokyo 2020,Wrestling,Men's Freestyle 74kg
6,EGY,amr reda ramadan hussen,4,Tokyo 2020,Wrestling,Men's Freestyle 74kg
7,AZE,turan bayramov,4,Tokyo 2020,Wrestling,Men's Freestyle 74kg
8,CUB,jeandry garzon caballero,1,Tokyo 2020,Wrestling,Men's Freestyle 74kg
9,UKR,vasyl mykhailov,1,Tokyo 2020,Wrestling,Men's Freestyle 74kg
10,GBS,augusto midana,1,Tokyo 2020,Wrestling,Men's Freestyle 74kg
11,GEO,avtandil kentchadze,1,Tokyo 2020,Wrestling,Men's Freestyle 74kg
12,POL,kamil rybicki,1,Tokyo 2020,Wrestling,Men's Freestyle 74kg
13,JPN,keisuke otoguro,0,Tokyo 2020,Wrestling,Men's Freestyle 74kg
14,IRI,mostafa mohabbali hosseinkhani,0,Tokyo 2020,Wrestling,Men's Freestyle 74kg
15,PUR,franklin gomez,0,Tokyo 2020,Wrestling,Men's Freestyle 74kg
0,USA,david morris taylor iii,15,Tokyo 2020,Wrestling,Men's Freestyle 86kg
1,IRI,hassan aliazam yazdanicharati,11,Tokyo 2020,Wrestling,Men's Freestyle 86kg
2,ROC,artur naifonov,11,Tokyo 2020,Wrestling,Men's Freestyle 86kg
3,SMR,myles nazem amine,11,Tokyo 2020,Wrestling,Men's Freestyle 86kg
