,country,participant,result,olympic_game,discipline,event
0,CHN,xiaopeng han,250.77,Turin 2006,Freestyle Skiing,Aerials men
1,BLR,dzmitry dashchynski,248.68,Turin 2006,Freestyle Skiing,Aerials men
2,RUS,vladimir lebedev,246.76,Turin 2006,Freestyle Skiing,Aerials men
3,BLR,alexei grishin,245.18,Turin 2006,Freestyle Skiing,Aerials men
4,CAN,kyle nissen,244.91,Turin 2006,Freestyle Skiing,Aerials men
5,CAN,warren shouldice,239.70,Turin 2006,Freestyle Skiing,Aerials men
6,USA,jeret peterson,237.48,Turin 2006,Freestyle Skiing,Aerials men
7,BLR,anton kushnir,227.66,Turin 2006,Freestyle Skiing,Aerials men
8,RUS,yevgeny brailovsky,223.61,Turin 2006,Freestyle Skiing,Aerials men
9,SUI,renato ulrich,204.75,Turin 2006,Freestyle Skiing,Aerials men
10,CHN,sen qiu,186.56,Turin 2006,Freestyle Skiing,Aerials men
11,UKR,enver ablaev,150.48,Turin 2006,Freestyle Skiing,Aerials men
12,UKR,stanislav kravchuk,,Turin 2006,Freestyle Skiing,Aerials men
13,SUI,thomas lambert,,Turin 2006,Freestyle Skiing,Aerials men
14,USA,joe pack,,Turin 2006,Freestyle Skiing,Aerials men
15,USA,ryan st. onge,,Turin 2006,Freestyle Skiing,Aerials men
16,USA,eric bergoust,,Turin 2006,Freestyle Skiing,Aerials men
17,CHN,zhongqing liu,,Turin 2006,Freestyle Skiing,Aerials men
18,CAN,jeff bean,,Turin 2006,Freestyle Skiing,Aerials men
19,CAN,steve omischl,,Turin 2006,Freestyle Skiing,Aerials men
20,CZE,ales valenta,,Turin 2006,Freestyle Skiing,Aerials men
21,FRA,aurelien lohrer,,Turin 2006,Freestyle Skiing,Aerials men
22,CHN,xiaotao ou,,Turin 2006,Freestyle Skiing,Aerials men
23,BLR,dmitri rak,,Turin 2006,Freestyle Skiing,Aerials men
24,JPN,ken mizuno,,Turin 2006,Freestyle Skiing,Aerials men
25,UKR,igor ishutko,,Turin 2006,Freestyle Skiing,Aerials men
26,UKR,oleksandr abramenko,,Turin 2006,Freestyle Skiing,Aerials men
27,ARG,clyde getty,,Turin 2006,Freestyle Skiing,Aerials men
28,RUS,dmitry arkhipov,Did not start,Turin 2006,Freestyle Skiing,Aerials men
29,SLO,miha gale,Did not start,Turin 2006,Freestyle Skiing,Aerials men
30,RUS,dmitry marushchak,Did not start,Turin 2006,Freestyle Skiing,Aerials men
0,SUI,evelyne leu,202.55,Turin 2006,Freestyle Skiing,Aerials women
1,CHN,nina li,197.39,Turin 2006,Freestyle Skiing,Aerials women
2,AUS,alisa camplin,191.39,Turin 2006,Freestyle Skiing,Aerials women
