,country,participant,result,olympic_game,discipline,event
0,GER,georg hettich,,Turin 2006,Nordic Combined,Individual men
1,AUT,felix gottwald,,Turin 2006,Nordic Combined,Individual men
2,NOR,magnus hovdal moan,,Turin 2006,Nordic Combined,Individual men
3,NOR,petter l. tande,,Turin 2006,Nordic Combined,Individual men
4,FIN,jaakko tallus,,Turin 2006,Nordic Combined,Individual men
5,GER,sebastian haseney,,Turin 2006,Nordic Combined,Individual men
6,GER,bjoern kircheisen,,Turin 2006,Nordic Combined,Individual men
7,USA,todd lodwick,,Turin 2006,Nordic Combined,Individual men
8,FIN,hannu manninen,,Turin 2006,Nordic Combined,Individual men
9,RUS,sergej maslennikov,,Turin 2006,Nordic Combined,Individual men
10,FRA,jason lamy chappuis,,Turin 2006,Nordic Combined,Individual men
11,AUT,michael gruber,,Turin 2006,Nordic Combined,Individual men
12,AUT,christoph bieler,,Turin 2006,Nordic Combined,Individual men
13,ITA,giuseppe michielli,,Turin 2006,Nordic Combined,Individual men
14,USA,william michael demong,,Turin 2006,Nordic Combined,Individual men
15,JPN,norihito kobayashi,,Turin 2006,Nordic Combined,Individual men
16,FIN,antti kuisma,,Turin 2006,Nordic Combined,Individual men
17,GER,ronny ackermann,,Turin 2006,Nordic Combined,Individual men
18,AUT,mario stecher,,Turin 2006,Nordic Combined,Individual men
19,NOR,havard klemetsen,,Turin 2006,Nordic Combined,Individual men
20,CZE,pavel churavy,,Turin 2006,Nordic Combined,Individual men
21,SUI,seppi hurschler,,Turin 2006,Nordic Combined,Individual men
22,SUI,andreas hurschler,,Turin 2006,Nordic Combined,Individual men
23,SUI,ronny heer,,Turin 2006,Nordic Combined,Individual men
24,FIN,anssi koivuranta,,Turin 2006,Nordic Combined,Individual men
25,FRA,ludovic roux,,Turin 2006,Nordic Combined,Individual men
26,SUI,ivan rieder,,Turin 2006,Nordic Combined,Individual men
27,RUS,ivan fesenko,,Turin 2006,Nordic Combined,Individual men
28,RUS,alexej barannikov,,Turin 2006,Nordic Combined,Individual men
29,USA,johnny spillane,,Turin 2006,Nordic Combined,Individual men
30,FRA,nicolas bal,,Turin 2006,Nordic Combined,Individual men
31,JPN,yosuke hatakeyama,,Turin 2006,Nordic Combined,Individual men
32,EST,tambet pikkor,,Turin 2006,Nordic Combined,Individual men
33,ITA,jochen strobl,,Turin 2006,Nordic Combined,Individual men
34,NOR,kristian hammer,,Turin 2006,Nordic Combined,Individual men
35,CZE,ladislav rygl,,Turin 2006,Nordic Combined,Individual men
36,CZE,tomas slavik,,Turin 2006,Nordic Combined,Individual men
37,USA,brett camerota,,Turin 2006,Nordic Combined,Individual men
38,ITA,daniele munari,,Turin 2006,Nordic Combined,Individual men
39,SLO,damjan vtic,,Turin 2006,Nordic Combined,Individual men
40,CAN,jason myslicki,,Turin 2006,Nordic Combined,Individual men
41,FRA,francois braud,,Turin 2006,Nordic Combined,Individual men
42,JPN,takashi kitamura,,Turin 2006,Nordic Combined,Individual men
43,CAN,max thompson,,Turin 2006,Nordic Combined,Individual men
44,UKR,serhiy diachuk,,Turin 2006,Nordic Combined,Individual men
45,ITA,alessandro pittin,,Turin 2006,Nordic Combined,Individual men
46,CZE,patrik chlum,,Turin 2006,Nordic Combined,Individual men
47,UKR,volodymyr trachuk,,Turin 2006,Nordic Combined,Individual men
48,JPN,daito takahashi,Did not finish,Turin 2006,Nordic Combined,Individual men
49,RUS,dmitry matveyev,Did not finish,Turin 2006,Nordic Combined,Individual men
0,GER,georg hettich,,Turin 2006,Nordic Combined,Individual sprint men
1,AUT,felix gottwald,,Turin 2006,Nordic Combined,Individual sprint men
2,NOR,magnus hovdal moan,,Turin 2006,Nordic Combined,Individual sprint men
3,NOR,petter l. tande,,Turin 2006,Nordic Combined,Individual sprint men
4,FIN,jaakko tallus,,Turin 2006,Nordic Combined,Individual sprint men
5,GER,sebastian haseney,,Turin 2006,Nordic Combined,Individual sprint men
6,GER,bjoern kircheisen,,Turin 2006,Nordic Combined,Individual sprint men
7,USA,todd lodwick,,Turin 2006,Nordic Combined,Individual sprint men
8,FIN,hannu manninen,,Turin 2006,Nordic Combined,Individual sprint men
9,RUS,sergej maslennikov,,Turin 2006,Nordic Combined,Individual sprint men
10,FRA,jason lamy chappuis,,Turin 2006,Nordic Combined,Individual sprint men
11,AUT,michael gruber,,Turin 2006,Nordic Combined,Individual sprint men
12,AUT,christoph bieler,,Turin 2006,Nordic Combined,Individual sprint men
13,ITA,giuseppe michielli,,Turin 2006,Nordic Combined,Individual sprint men
14,USA,william michael demong,,Turin 2006,Nordic Combined,Individual sprint men
15,JPN,norihito kobayashi,,Turin 2006,Nordic Combined,Individual sprint men
16,FIN,antti kuisma,,Turin 2006,Nordic Combined,Individual sprint men
17,GER,ronny ackermann,,Turin 2006,Nordic Combined,Individual sprint men
