,country,participant,result,olympic_game,discipline,event
0,SUI,philipp schoch,,Turin 2006,Snowboard,Giant parallel slalom men
1,SUI,simon schoch,,Turin 2006,Snowboard,Giant parallel slalom men
2,AUT,siegfried grabner,,Turin 2006,Snowboard,Giant parallel slalom men
3,FRA,mathieu bozzetto,,Turin 2006,Snowboard,Giant parallel slalom men
4,SUI,heinz inniger,,Turin 2006,Snowboard,Giant parallel slalom men
5,SLO,dejan kosir,,Turin 2006,Snowboard,Giant parallel slalom men
6,SLO,rok flander,,Turin 2006,Snowboard,Giant parallel slalom men
7,SUI,gilles jaquet,,Turin 2006,Snowboard,Giant parallel slalom men
8,AUT,andreas prommegger,,Turin 2006,Snowboard,Giant parallel slalom men
9,FRA,nicolas huet,,Turin 2006,Snowboard,Giant parallel slalom men
10,USA,tyler jewell,,Turin 2006,Snowboard,Giant parallel slalom men
11,SWE,richard rikardsson,,Turin 2006,Snowboard,Giant parallel slalom men
12,ITA,roland fischnaller,,Turin 2006,Snowboard,Giant parallel slalom men
13,AUT,harald walder,,Turin 2006,Snowboard,Giant parallel slalom men
14,AUS,emanuel oppliger,,Turin 2006,Snowboard,Giant parallel slalom men
15,SWE,daniel biveson,,Turin 2006,Snowboard,Giant parallel slalom men
16,GER,markus ebner,,Turin 2006,Snowboard,Giant parallel slalom men
17,RUS,denis salagaev,,Turin 2006,Snowboard,Giant parallel slalom men
18,GER,patrick bussler,,Turin 2006,Snowboard,Giant parallel slalom men
19,CAN,jasey jay anderson,,Turin 2006,Snowboard,Giant parallel slalom men
20,SLO,izidor sustersic,,Turin 2006,Snowboard,Giant parallel slalom men
21,ITA,meinhard erlacher,,Turin 2006,Snowboard,Giant parallel slalom men
22,SWE,filip fischer,,Turin 2006,Snowboard,Giant parallel slalom men
23,ITA,simone salvati,,Turin 2006,Snowboard,Giant parallel slalom men
24,RUS,aleksandr belkin,,Turin 2006,Snowboard,Giant parallel slalom men
25,SLO,tomaz knafelj,,Turin 2006,Snowboard,Giant parallel slalom men
26,SVK,radoslav zidek,,Turin 2006,Snowboard,Giant parallel slalom men
27,JPN,kentaro tsuruoka,,Turin 2006,Snowboard,Giant parallel slalom men
28,CAN,philippe berube,,Turin 2006,Snowboard,Giant parallel slalom men
29,AUT,alexander maier,Disqualified,Turin 2006,Snowboard,Giant parallel slalom men
30,ITA,rudy galli,Disqualified,Turin 2006,Snowboard,Giant parallel slalom men
0,SUI,daniela meuli,,Turin 2006,Snowboard,Giant parallel slalom women
1,GER,amelie kober,,Turin 2006,Snowboard,Giant parallel slalom women
2,USA,rosey fletcher,,Turin 2006,Snowboard,Giant parallel slalom women
3,AUT,doris guenther,,Turin 2006,Snowboard,Giant parallel slalom women
4,RUS,ekaterina tudegesheva,,Turin 2006,Snowboard,Giant parallel slalom women
5,FRA,julie pomagalski,,Turin 2006,Snowboard,Giant parallel slalom women
6,SUI,ursula bruhin,,Turin 2006,Snowboard,Giant parallel slalom women
7,RUS,svetlana boldykova,,Turin 2006,Snowboard,Giant parallel slalom women
8,JPN,tomoka takeuchi,,Turin 2006,Snowboard,Giant parallel slalom women
9,AUT,heidi krings,,Turin 2006,Snowboard,Giant parallel slalom women
10,AUT,doresia krings,,Turin 2006,Snowboard,Giant parallel slalom women
11,NED,nicolien sauerbreij,,Turin 2006,Snowboard,Giant parallel slalom women
12,ITA,isabella dal balcon,,Turin 2006,Snowboard,Giant parallel slalom women
13,FRA,isabelle blanc,,Turin 2006,Snowboard,Giant parallel slalom women
14,ITA,marion posch,,Turin 2006,Snowboard,Giant parallel slalom women
15,SWE,aprilia hagglof,,Turin 2006,Snowboard,Giant parallel slalom women
16,POL,jagna marczulajtis-walczak,,Turin 2006,Snowboard,Giant parallel slalom women
17,JPN,eri yanetani,,Turin 2006,Snowboard,Giant parallel slalom women
18,ITA,corinna boccacini,,Turin 2006,Snowboard,Giant parallel slalom women
19,CAN,alexa loo,,Turin 2006,Snowboard,Giant parallel slalom women
20,RUS,olga golovanova,,Turin 2006,Snowboard,Giant parallel slalom women
21,USA,michelle gorgone,,Turin 2006,Snowboard,Giant parallel slalom women
22,CZE,petra elsterova,,Turin 2006,Snowboard,Giant parallel slalom women
23,FIN,niina sarias,,Turin 2006,Snowboard,Giant parallel slalom women
24,BUL,aleksandra zhekova,,Turin 2006,Snowboard,Giant parallel slalom women
25,ITA,carmen ranigler,,Turin 2006,Snowboard,Giant parallel slalom women
26,POL,blanka isielonis,,Turin 2006,Snowboard,Giant parallel slalom women
27,AUT,manuela riegler,,Turin 2006,Snowboard,Giant parallel slalom women
28,AUS,johanna shaw,,Turin 2006,Snowboard,Giant parallel slalom women
29,SWE,sara fischer,Did not finish,Turin 2006,Snowboard,Giant parallel slalom women
0,USA,shaun white,46.8,Turin 2006,Snowboard,Half-pipe men
1,USA,daniel kass,44.0,Turin 2006,Snowboard,Half-pipe men
2,FIN,markku koski,41.5,Turin 2006,Snowboard,Half-pipe men
3,USA,mason aguirre,40.3,Turin 2006,Snowboard,Half-pipe men
4,FIN,antti autti,39.1,Turin 2006,Snowboard,Half-pipe men
5,FRA,gary zebrowski,38.6,Turin 2006,Snowboard,Half-pipe men
6,SUI,markus keller,38.5,Turin 2006,Snowboard,Half-pipe men
7,GER,christophe schmidt,37.5,Turin 2006,Snowboard,Half-pipe men
8,GER,vinzenz lueps,36.8,Turin 2006,Snowboard,Half-pipe men
9,FIN,risto mattila,35.8,Turin 2006,Snowboard,Half-pipe men
10,CAN,crispin lipscomb,33.5,Turin 2006,Snowboard,Half-pipe men
11,USA,andy finch,24.7,Turin 2006,Snowboard,Half-pipe men
12,ITA,giacomo kratter,,Turin 2006,Snowboard,Half-pipe men
13,JPN,takaharu nakai,,Turin 2006,Snowboard,Half-pipe men
14,GER,jan michaelis,,Turin 2006,Snowboard,Half-pipe men
15,CAN,brad martin,,Turin 2006,Snowboard,Half-pipe men
16,FRA,mathieu crepel,,Turin 2006,Snowboard,Half-pipe men
17,CAN,hugo lemay,,Turin 2006,Snowboard,Half-pipe men
18,SUI,gian simmen,,Turin 2006,Snowboard,Half-pipe men
19,FIN,janne korpi,,Turin 2006,Snowboard,Half-pipe men
20,CAN,justin lamoureux,,Turin 2006,Snowboard,Half-pipe men
21,JPN,fumiyuki murakami,,Turin 2006,Snowboard,Half-pipe men
22,JPN,kazuhiro kokubo,,Turin 2006,Snowboard,Half-pipe men
23,SUI,frederik kalbermatten,,Turin 2006,Snowboard,Half-pipe men
24,NZL,mitchell brown,,Turin 2006,Snowboard,Half-pipe men
25,GBR,dan wakeham,,Turin 2006,Snowboard,Half-pipe men
26,SWE,micael lundmark,,Turin 2006,Snowboard,Half-pipe men
27,ESP,iker fernandez,,Turin 2006,Snowboard,Half-pipe men
28,POL,michal ligocki,,Turin 2006,Snowboard,Half-pipe men
29,NOR,halvor skramstad lunn,,Turin 2006,Snowboard,Half-pipe men
30,AUS,mitchell allan,,Turin 2006,Snowboard,Half-pipe men
31,AUS,andrew burton,,Turin 2006,Snowboard,Half-pipe men
32,CZE,martin cernik,,Turin 2006,Snowboard,Half-pipe men
33,GER,xaver hoffmann,,Turin 2006,Snowboard,Half-pipe men
34,JPN,domu narita,,Turin 2006,Snowboard,Half-pipe men
35,SWE,mikael sandy,,Turin 2006,Snowboard,Half-pipe men
36,RUS,iouri podladtchikov,,Turin 2006,Snowboard,Half-pipe men
37,NOR,frederik austbo,,Turin 2006,Snowboard,Half-pipe men
38,SUI,therry brunner,,Turin 2006,Snowboard,Half-pipe men
39,SWE,stefan karlsson,,Turin 2006,Snowboard,Half-pipe men
40,NOR,kim christiansen,,Turin 2006,Snowboard,Half-pipe men
41,AUS,ben mates,,Turin 2006,Snowboard,Half-pipe men
42,ITA,manuel pietropoli,,Turin 2006,Snowboard,Half-pipe men
43,POL,mateusz ligocki,,Turin 2006,Snowboard,Half-pipe men
0,USA,hannah teter,46.4,Turin 2006,Snowboard,Half-pipe women
1,USA,gretchen bleiler,43.4,Turin 2006,Snowboard,Half-pipe women
2,NOR,kjersti buaas,42.0,Turin 2006,Snowboard,Half-pipe women
3,USA,kelly clark,41.1,Turin 2006,Snowboard,Half-pipe women
4,AUS,torah bright,41.0,Turin 2006,Snowboard,Half-pipe women
5,USA,elena hight,37.8,Turin 2006,Snowboard,Half-pipe women
6,SUI,manuela laura pesko,35.9,Turin 2006,Snowboard,Half-pipe women
7,FRA,doriane vidal,35.7,Turin 2006,Snowboard,Half-pipe women
8,JPN,shiho nakashima,33.1,Turin 2006,Snowboard,Half-pipe women
9,JPN,soko yamaoka,32.7,Turin 2006,Snowboard,Half-pipe women
10,NED,cheryl maas,16.5,Turin 2006,Snowboard,Half-pipe women
11,JPN,chikako fushimi,15.6,Turin 2006,Snowboard,Half-pipe women
12,FRA,sophie rodriguez,,Turin 2006,Snowboard,Half-pipe women
13,ITA,tania detomas,,Turin 2006,Snowboard,Half-pipe women
14,CAN,sarah conrad,,Turin 2006,Snowboard,Half-pipe women
15,NZL,juliane bray,,Turin 2006,Snowboard,Half-pipe women
16,POL,paulina ligocka,,Turin 2006,Snowboard,Half-pipe women
17,AUS,holly crawford,,Turin 2006,Snowboard,Half-pipe women
18,FRA,cecile alzina,,Turin 2006,Snowboard,Half-pipe women
19,GBR,kate foster,,Turin 2006,Snowboard,Half-pipe women
20,CAN,dominique vallee,,Turin 2006,Snowboard,Half-pipe women
21,SWE,anna olofsson,,Turin 2006,Snowboard,Half-pipe women
22,CAN,maeelle danica ricker,,Turin 2006,Snowboard,Half-pipe women
23,NZL,kendall brown,,Turin 2006,Snowboard,Half-pipe women
24,ITA,romina masolini,,Turin 2006,Snowboard,Half-pipe women
25,ESP,queralt castellet,,Turin 2006,Snowboard,Half-pipe women
26,CAN,mercedes nicoll,,Turin 2006,Snowboard,Half-pipe women
27,CHN,lei pan,,Turin 2006,Snowboard,Half-pipe women
28,RUS,svetlana vinogradova,,Turin 2006,Snowboard,Half-pipe women
29,ESP,clara villoslada,,Turin 2006,Snowboard,Half-pipe women
30,CHN,zhifeng sun,,Turin 2006,Snowboard,Half-pipe women
31,RUS,maria prusakova,,Turin 2006,Snowboard,Half-pipe women
32,GBR,lesley mckenna,,Turin 2006,Snowboard,Half-pipe women
33,JPN,melo imai,,Turin 2006,Snowboard,Half-pipe women
0,USA,seth wescott,,Turin 2006,Snowboard,Snowboard Cross men
1,SVK,radoslav zidek,,Turin 2006,Snowboard,Snowboard Cross men
2,FRA,paul-henri de le rue,,Turin 2006,Snowboard,Snowboard Cross men
3,ESP,jordi font,,Turin 2006,Snowboard,Snowboard Cross men
4,CAN,jasey jay anderson,,Turin 2006,Snowboard,Snowboard Cross men
