,country,participant,result,olympic_game,discipline,event
0,FRA,vincent jay,00:24:07.800,Vancouver 2010,Biathlon,10km men
1,NOR,emil hegle svendsen,00:24:20.000,Vancouver 2010,Biathlon,10km men
2,CRO,jakov fak,00:24:21.800,Vancouver 2010,Biathlon,10km men
3,SLO,klemen bauer,00:24:25.200,Vancouver 2010,Biathlon,10km men
4,UKR,andriy deryzemlya,00:24:48.500,Vancouver 2010,Biathlon,10km men
5,CAN,jean-philippe le guellec,00:24:57.600,Vancouver 2010,Biathlon,10km men
6,SVK,pavol hurajt,00:25:15.000,Vancouver 2010,Biathlon,10km men
7,SWE,bjorn ferry,00:25:20.200,Vancouver 2010,Biathlon,10km men
8,USA,jeremy teela,00:25:21.700,Vancouver 2010,Biathlon,10km men
9,RUS,ivan cherezov,00:25:25.900,Vancouver 2010,Biathlon,10km men
10,AUT,simon eder,00:25:32.200,Vancouver 2010,Biathlon,10km men
11,AUT,christoph sumann,00:25:32.700,Vancouver 2010,Biathlon,10km men
12,SUI,thomas frei,00:25:36.900,Vancouver 2010,Biathlon,10km men
13,LAT,ilmars bricis,00:25:41.300,Vancouver 2010,Biathlon,10km men
14,RUS,evgeny ustyugov,00:25:47.900,Vancouver 2010,Biathlon,10km men
15,SUI,simon hallenbarter,00:25:48.300,Vancouver 2010,Biathlon,10km men
16,NOR,ole einar bjørndalen,00:25:48.900,Vancouver 2010,Biathlon,10km men
17,CZE,michal slesingr,00:25:50.900,Vancouver 2010,Biathlon,10km men
18,GER,christoph stephan,00:25:51.100,Vancouver 2010,Biathlon,10km men
19,BLR,aleksandr syman,00:25:53.500,Vancouver 2010,Biathlon,10km men
20,GER,michael greis,00:25:56.000,Vancouver 2010,Biathlon,10km men
21,UKR,serguei sednev,00:25:57.200,Vancouver 2010,Biathlon,10km men
22,GER,andreas birnbacher,00:26:06.400,Vancouver 2010,Biathlon,10km men
23,NOR,halvard hanevold,00:26:07.700,Vancouver 2010,Biathlon,10km men
24,BUL,krasimir anev,00:26:09.100,Vancouver 2010,Biathlon,10km men
25,SUI,matthias simmen,00:26:11.500,Vancouver 2010,Biathlon,10km men
26,SLO,janez maric,00:26:12.500,Vancouver 2010,Biathlon,10km men
27,CZE,zdenek vitek,00:26:13.700,Vancouver 2010,Biathlon,10km men
28,POL,tomasz sikora,00:26:16.200,Vancouver 2010,Biathlon,10km men
29,RUS,anton shipulin,00:26:18.700,Vancouver 2010,Biathlon,10km men
30,EST,indrek tobreluts,00:26:18.900,Vancouver 2010,Biathlon,10km men
31,CHN,chengye zhang,00:26:19.900,Vancouver 2010,Biathlon,10km men
32,UKR,sergii semenov,00:26:20.500,Vancouver 2010,Biathlon,10km men
33,AUT,dominik landertinger,00:26:23.700,Vancouver 2010,Biathlon,10km men
34,FRA,martin fourcade,00:26:25.600,Vancouver 2010,Biathlon,10km men
35,USA,lowell bailey,00:26:26.600,Vancouver 2010,Biathlon,10km men
36,GER,arnd peiffer,00:26:29.100,Vancouver 2010,Biathlon,10km men
37,SWE,fredrik lindstroem,00:26:33.300,Vancouver 2010,Biathlon,10km men
38,KAZ,yan savitskiy,00:26:35.200,Vancouver 2010,Biathlon,10km men
39,BLR,sergey novikov,00:26:37.400,Vancouver 2010,Biathlon,10km men
40,FIN,timo antila,00:26:37.400,Vancouver 2010,Biathlon,10km men
41,SWE,carl johan bergman,00:26:41.700,Vancouver 2010,Biathlon,10km men
42,BLR,rustam valiullin,00:26:43.700,Vancouver 2010,Biathlon,10km men
43,ITA,markus windisch,00:26:44.700,Vancouver 2010,Biathlon,10km men
44,AUT,daniel mesotitsch,00:26:45.300,Vancouver 2010,Biathlon,10km men
45,NOR,lars berger,00:26:53.000,Vancouver 2010,Biathlon,10km men
46,USA,tim burke,00:26:54.800,Vancouver 2010,Biathlon,10km men
47,EST,kauri koiv,00:26:56.000,Vancouver 2010,Biathlon,10km men
48,BLR,evgeny abramenko,00:26:57.800,Vancouver 2010,Biathlon,10km men
49,LAT,andrejs rastorgujevs,00:27:05.300,Vancouver 2010,Biathlon,10km men
50,KAZ,aleksandr chervyakov,00:27:09.900,Vancouver 2010,Biathlon,10km men
51,CZE,jaroslav soukup,00:27:10.400,Vancouver 2010,Biathlon,10km men
52,FRA,vincent defrasne,00:27:14.600,Vancouver 2010,Biathlon,10km men
53,USA,jay hakkinen,00:27:17.400,Vancouver 2010,Biathlon,10km men
54,GBR,lee-steve jackson,00:27:18.100,Vancouver 2010,Biathlon,10km men
55,ITA,lukas hofer,00:27:18.300,Vancouver 2010,Biathlon,10km men
56,SLO,vasja rupnik,00:27:20.800,Vancouver 2010,Biathlon,10km men
57,SLO,peter dokl,00:27:21.000,Vancouver 2010,Biathlon,10km men
58,BUL,mihail klecherov,00:27:23.100,Vancouver 2010,Biathlon,10km men
59,ITA,mattia cola,00:27:24.900,Vancouver 2010,Biathlon,10km men
60,ITA,christian de lorenzi,00:27:25.900,Vancouver 2010,Biathlon,10km men
61,EST,roland lessing,00:27:26.000,Vancouver 2010,Biathlon,10km men
62,RUS,maksim chudov,00:27:28.000,Vancouver 2010,Biathlon,10km men
63,LAT,kristaps libietis,00:27:32.500,Vancouver 2010,Biathlon,10km men
64,KOR,inbok lee,00:27:34.100,Vancouver 2010,Biathlon,10km men
65,SVK,marek matiasko,00:27:37.400,Vancouver 2010,Biathlon,10km men
66,CZE,ondrej moravec,00:27:39.800,Vancouver 2010,Biathlon,10km men
67,JPN,hidenori isa,00:27:42.200,Vancouver 2010,Biathlon,10km men
68,SUI,benjamin weger,00:27:43.600,Vancouver 2010,Biathlon,10km men
69,MDA,victor pinzaru,00:27:52.600,Vancouver 2010,Biathlon,10km men
70,FRA,simon fourcade,00:27:53.000,Vancouver 2010,Biathlon,10km men
71,KAZ,dias keneshev,00:28:04.600,Vancouver 2010,Biathlon,10km men
72,FIN,paavo puurunen,00:28:04.800,Vancouver 2010,Biathlon,10km men
73,EST,martten kaldvee,00:28:07.700,Vancouver 2010,Biathlon,10km men
74,SVK,dusan simocko,00:28:11.400,Vancouver 2010,Biathlon,10km men
75,SVK,miroslav matiasko,00:28:15.900,Vancouver 2010,Biathlon,10km men
76,UKR,vyacheslav derkach,00:28:22.900,Vancouver 2010,Biathlon,10km men
77,LAT,edgars piksons,00:28:23.000,Vancouver 2010,Biathlon,10km men
78,SWE,magnus jonsson,00:28:29.200,Vancouver 2010,Biathlon,10km men
79,HUN,imre tagscherer,00:28:38.800,Vancouver 2010,Biathlon,10km men
80,SRB,milanko petrovic,00:28:38.900,Vancouver 2010,Biathlon,10km men
81,BUL,miroslav kenanov,00:28:40.200,Vancouver 2010,Biathlon,10km men
82,BUL,vladimir iliev,00:28:45.000,Vancouver 2010,Biathlon,10km men
83,KAZ,nikolay braichenko,00:28:52.000,Vancouver 2010,Biathlon,10km men
84,POL,lukasz szczurek,00:29:02.000,Vancouver 2010,Biathlon,10km men
85,DEN,oystein slettemark,00:30:55.800,Vancouver 2010,Biathlon,10km men
86,AUS,alexei almoukov,00:30:57.900,Vancouver 2010,Biathlon,10km men
87,GRE,athanassios tsakiris,Did not finish,Vancouver 2010,Biathlon,10km men
0,FRA,vincent jay,00:24:07.800,Vancouver 2010,Biathlon,10km pursuit women
1,NOR,emil hegle svendsen,00:24:20.000,Vancouver 2010,Biathlon,10km pursuit women
