,country,participant,result,olympic_game,discipline,event
0,,,00:03:24.460,Vancouver 2010,Bobsleigh,four-man men
1,,,00:03:24.840,Vancouver 2010,Bobsleigh,four-man men
2,,,00:03:24.850,Vancouver 2010,Bobsleigh,four-man men
3,,,00:03:25.580,Vancouver 2010,Bobsleigh,four-man men
4,,,00:03:25.600,Vancouver 2010,Bobsleigh,four-man men
5,,,00:03:25.710,Vancouver 2010,Bobsleigh,four-man men
6,,,00:03:26.060,Vancouver 2010,Bobsleigh,four-man men
7,,,00:03:26.130,Vancouver 2010,Bobsleigh,four-man men
8,,,00:03:26.250,Vancouver 2010,Bobsleigh,four-man men
9,,,00:03:26.250,Vancouver 2010,Bobsleigh,four-man men
10,,,00:03:26.650,Vancouver 2010,Bobsleigh,four-man men
11,,,00:03:26.980,Vancouver 2010,Bobsleigh,four-man men
12,,,00:03:27.320,Vancouver 2010,Bobsleigh,four-man men
13,,,00:03:28.530,Vancouver 2010,Bobsleigh,four-man men
14,,,00:03:28.890,Vancouver 2010,Bobsleigh,four-man men
15,,,00:03:29.130,Vancouver 2010,Bobsleigh,four-man men
16,,,00:03:30.210,Vancouver 2010,Bobsleigh,four-man men
17,,,00:03:30.350,Vancouver 2010,Bobsleigh,four-man men
18,,,00:03:31.130,Vancouver 2010,Bobsleigh,four-man men
19,,,00:03:31.530,Vancouver 2010,Bobsleigh,four-man men
20,,,00:02:38.780,Vancouver 2010,Bobsleigh,four-man men
21,,,Did not finish,Vancouver 2010,Bobsleigh,four-man men
22,,,Did not finish,Vancouver 2010,Bobsleigh,four-man men
23,,,Did not finish,Vancouver 2010,Bobsleigh,four-man men
24,,,Did not finish,Vancouver 2010,Bobsleigh,four-man men
0,,,00:03:26.650,Vancouver 2010,Bobsleigh,two-man men
1,,,00:03:26.870,Vancouver 2010,Bobsleigh,two-man men
2,,,00:03:27.510,Vancouver 2010,Bobsleigh,two-man men
3,,,00:03:27.850,Vancouver 2010,Bobsleigh,two-man men
4,,,00:03:27.870,Vancouver 2010,Bobsleigh,two-man men
5,,,00:03:27.940,Vancouver 2010,Bobsleigh,two-man men
6,,,00:03:28.460,Vancouver 2010,Bobsleigh,two-man men
7,,,00:03:29.080,Vancouver 2010,Bobsleigh,two-man men
8,,,00:03:29.290,Vancouver 2010,Bobsleigh,two-man men
9,,,00:03:29.400,Vancouver 2010,Bobsleigh,two-man men
10,,,00:03:29.430,Vancouver 2010,Bobsleigh,two-man men
11,,,00:03:29.780,Vancouver 2010,Bobsleigh,two-man men
12,,,00:03:30.280,Vancouver 2010,Bobsleigh,two-man men
13,,,00:03:30.450,Vancouver 2010,Bobsleigh,two-man men
14,,,00:03:30.460,Vancouver 2010,Bobsleigh,two-man men
15,,,00:03:30.500,Vancouver 2010,Bobsleigh,two-man men
16,,,00:03:30.660,Vancouver 2010,Bobsleigh,two-man men
17,,,00:03:30.780,Vancouver 2010,Bobsleigh,two-man men
18,,,00:03:30.840,Vancouver 2010,Bobsleigh,two-man men
19,,,00:03:32.060,Vancouver 2010,Bobsleigh,two-man men
20,,,00:02:39.670,Vancouver 2010,Bobsleigh,two-man men
21,,,00:02:40.730,Vancouver 2010,Bobsleigh,two-man men
22,,,Did not finish,Vancouver 2010,Bobsleigh,two-man men
23,,,Did not finish,Vancouver 2010,Bobsleigh,two-man men
24,,,Disqualified,Vancouver 2010,Bobsleigh,two-man men
25,,,Disqualified,Vancouver 2010,Bobsleigh,two-man men
26,,,Disqualified,Vancouver 2010,Bobsleigh,two-man men
0,CAN,heather moyse,00:03:32.280,Vancouver 2010,Bobsleigh,two-woman women
1,CAN,shelly-ann brown,00:03:33.130,Vancouver 2010,Bobsleigh,two-woman women
2,USA,erin pac,00:03:33.400,Vancouver 2010,Bobsleigh,two-woman women
3,GER,sandra kiriasis,00:03:33.810,Vancouver 2010,Bobsleigh,two-woman women
4,USA,emily azevedo,00:03:34.050,Vancouver 2010,Bobsleigh,two-woman women
5,USA,shauna rohbock,00:03:34.060,Vancouver 2010,Bobsleigh,two-woman women
6,GER,claudia schramm,00:03:34.680,Vancouver 2010,Bobsleigh,two-woman women
7,NED,tine veenstra,00:03:35.140,Vancouver 2010,Bobsleigh,two-woman women
8,RUS,elena doronina,00:03:35.930,Vancouver 2010,Bobsleigh,two-woman women
9,SUI,fabienne meyer,00:03:36.130,Vancouver 2010,Bobsleigh,two-woman women
10,GBR,kelly thomas,00:03:36.180,Vancouver 2010,Bobsleigh,two-woman women
11,SUI,caroline spahni,00:03:36.840,Vancouver 2010,Bobsleigh,two-woman women
12,ITA,jessica gillarduzzi,00:03:37.030,Vancouver 2010,Bobsleigh,two-woman women
13,BEL,elfje willemsen,00:03:37.480,Vancouver 2010,Bobsleigh,two-woman women
14,ROU,carmen nicoleta tronescu,00:03:38.270,Vancouver 2010,Bobsleigh,two-woman women
15,JPN,konomi asazu,00:03:38.380,Vancouver 2010,Bobsleigh,two-woman women
16,IRL,claire bergin,00:03:38.840,Vancouver 2010,Bobsleigh,two-woman women
17,RUS,yuliya timofeyeva,00:03:41.400,Vancouver 2010,Bobsleigh,two-woman women
18,AUS,cecilia mcintosh,00:02:44.670,Vancouver 2010,Bobsleigh,two-woman women
19,GBR,nicola gautier,Did not finish,Vancouver 2010,Bobsleigh,two-woman women
20,GER,romy logsch,Disqualified,Vancouver 2010,Bobsleigh,two-woman women
