,country,participant,result,olympic_game,discipline,event
0,CAN,jon montgomery,00:03:29.730,Vancouver 2010,Skeleton,Individual men
1,LAT,martins dukurs,00:03:29.800,Vancouver 2010,Skeleton,Individual men
2,RUS,alexander tretyakov,00:03:30.750,Vancouver 2010,Skeleton,Individual men
3,LAT,tomass dukurs,00:03:31.130,Vancouver 2010,Skeleton,Individual men
4,USA,zach lund,00:03:31.270,Vancouver 2010,Skeleton,Individual men
5,GBR,kristan bromley,00:03:31.300,Vancouver 2010,Skeleton,Individual men
6,GER,frank rommel,00:03:31.400,Vancouver 2010,Skeleton,Individual men
7,AUT,matthias guggenberger,00:03:31.810,Vancouver 2010,Skeleton,Individual men
8,CAN,jeff pain,00:03:31.860,Vancouver 2010,Skeleton,Individual men
9,GER,sandro stielicke,00:03:32.080,Vancouver 2010,Skeleton,Individual men
10,NZL,ben sandford,00:03:32.590,Vancouver 2010,Skeleton,Individual men
11,RUS,sergey chudinov,00:03:32.950,Vancouver 2010,Skeleton,Individual men
12,GER,michi halilovic,00:03:33.120,Vancouver 2010,Skeleton,Individual men
13,USA,eric bernotas,00:03:33.270,Vancouver 2010,Skeleton,Individual men
14,FRA,gregory saint-genies,00:03:33.310,Vancouver 2010,Skeleton,Individual men
15,SUI,pascal oswald,00:03:33.750,Vancouver 2010,Skeleton,Individual men
16,USA,john daly,00:03:34.010,Vancouver 2010,Skeleton,Individual men
17,GBR,adam pengilly,00:03:34.510,Vancouver 2010,Skeleton,Individual men
18,JPN,shinsuke tayama,00:03:35.170,Vancouver 2010,Skeleton,Individual men
19,JPN,kazuhiro koshi,00:03:35.280,Vancouver 2010,Skeleton,Individual men
20,SLO,anze setina,00:02:42.600,Vancouver 2010,Skeleton,Individual men
21,KOR,in-ho jo,00:02:43.160,Vancouver 2010,Skeleton,Individual men
22,AUS,anthony deane,00:02:43.350,Vancouver 2010,Skeleton,Individual men
23,ESP,ander mirambell,00:02:43.620,Vancouver 2010,Skeleton,Individual men
24,IRL,patrick shannon,00:02:44.980,Vancouver 2010,Skeleton,Individual men
25,ITA,nicola drocco,00:02:45.340,Vancouver 2010,Skeleton,Individual men
26,NZL,iain roberts,00:02:52.790,Vancouver 2010,Skeleton,Individual men
27,CAN,michael douglas,Disqualified,Vancouver 2010,Skeleton,Individual men
0,GBR,amy williams,00:03:35.640,Vancouver 2010,Skeleton,Individual women
1,GER,kerstin szymkowiak,00:03:36.200,Vancouver 2010,Skeleton,Individual women
2,GER,anja huber,00:03:36.360,Vancouver 2010,Skeleton,Individual women
3,USA,noelle pikus-pace,00:03:36.460,Vancouver 2010,Skeleton,Individual women
4,CAN,mellisa hollingsworth,00:03:36.600,Vancouver 2010,Skeleton,Individual women
5,GBR,shelley rudman,00:03:36.690,Vancouver 2010,Skeleton,Individual women
6,CAN,amy gough,00:03:37.010,Vancouver 2010,Skeleton,Individual women
7,GER,marion trott,00:03:37.110,Vancouver 2010,Skeleton,Individual women
8,SUI,maya pedersen,00:03:37.510,Vancouver 2010,Skeleton,Individual women
9,AUS,emma lincoln-smith,00:03:37.630,Vancouver 2010,Skeleton,Individual women
10,USA,katie uhlaender,00:03:37.930,Vancouver 2010,Skeleton,Individual women
11,AUS,melissa hoar,00:03:38.220,Vancouver 2010,Skeleton,Individual women
12,CAN,michelle kelly,00:03:40.790,Vancouver 2010,Skeleton,Individual women
13,NZL,tionette stoddard,00:03:41.690,Vancouver 2010,Skeleton,Individual women
14,ITA,costanza zanoletti,00:03:41.800,Vancouver 2010,Skeleton,Individual women
15,RUS,svetlana trunova,00:03:42.190,Vancouver 2010,Skeleton,Individual women
16,NOR,desiree bjerke,00:03:42.360,Vancouver 2010,Skeleton,Individual women
17,RUS,elena yudina,00:03:42.790,Vancouver 2010,Skeleton,Individual women
18,ROU,maria marinela mazilu,00:03:49.920,Vancouver 2010,Skeleton,Individual women
19,JPN,nozomi komuro,Did not start,Vancouver 2010,Skeleton,Individual women
