,country,participant,result,olympic_game,discipline,event
0,FRA,edgar grospiron,25.81,Albertville 1992,Freestyle Skiing,Moguls men
1,FRA,olivier allamand,24.87,Albertville 1992,Freestyle Skiing,Moguls men
2,USA,nelson carmichael,24.82,Albertville 1992,Freestyle Skiing,Moguls men
3,FRA,eric berthon,24.79,Albertville 1992,Freestyle Skiing,Moguls men
4,CAN,john smart,24.15,Albertville 1992,Freestyle Skiing,Moguls men
5,SWE,jörgen pääjärvi,24.14,Albertville 1992,Freestyle Skiing,Moguls men
6,CAN,jean-luc brassard,23.71,Albertville 1992,Freestyle Skiing,Moguls men
7,SWE,leif persson,22.99,Albertville 1992,Freestyle Skiing,Moguls men
8,FRA,youri gilg,22.85,Albertville 1992,Freestyle Skiing,Moguls men
9,SUI,jürg biner,22.69,Albertville 1992,Freestyle Skiing,Moguls men
10,AUS,nicholas cleaver,22.04,Albertville 1992,Freestyle Skiing,Moguls men
11,EUN,sergei shupletsov,21.60,Albertville 1992,Freestyle Skiing,Moguls men
12,USA,craig rodman,21.18,Albertville 1992,Freestyle Skiing,Moguls men
13,AUS,adrian costa,21.18,Albertville 1992,Freestyle Skiing,Moguls men
14,USA,charles martin,20.77,Albertville 1992,Freestyle Skiing,Moguls men
15,SWE,björn aaberg,20.29,Albertville 1992,Freestyle Skiing,Moguls men
16,SUI,thomas lagler,,Albertville 1992,Freestyle Skiing,Moguls men
17,FIN,janne lahtela,,Albertville 1992,Freestyle Skiing,Moguls men
18,GER,klaus weese,,Albertville 1992,Freestyle Skiing,Moguls men
19,FIN,tero turunen,,Albertville 1992,Freestyle Skiing,Moguls men
20,EUN,andrei ivanov,,Albertville 1992,Freestyle Skiing,Moguls men
21,CAN,lane barrett,,Albertville 1992,Freestyle Skiing,Moguls men
22,USA,robert aldighieri,,Albertville 1992,Freestyle Skiing,Moguls men
23,ITA,simone mottini,,Albertville 1992,Freestyle Skiing,Moguls men
24,GBR,hugh hutchison,,Albertville 1992,Freestyle Skiing,Moguls men
25,GBR,neil munro,,Albertville 1992,Freestyle Skiing,Moguls men
26,CAN,christian marcoux,,Albertville 1992,Freestyle Skiing,Moguls men
27,SLO,aleksander peternel,,Albertville 1992,Freestyle Skiing,Moguls men
28,SUI,petsch moser,,Albertville 1992,Freestyle Skiing,Moguls men
29,ARG,ignacio bustamante,,Albertville 1992,Freestyle Skiing,Moguls men
30,ESP,martí herrero,,Albertville 1992,Freestyle Skiing,Moguls men
31,GBR,michael liebreich,,Albertville 1992,Freestyle Skiing,Moguls men
32,EUN,aleksei bannikov,,Albertville 1992,Freestyle Skiing,Moguls men
33,LAT,normunds aplocins,,Albertville 1992,Freestyle Skiing,Moguls men
34,SLO,marko jemec,,Albertville 1992,Freestyle Skiing,Moguls men
35,EUN,mikhail lyzhin,,Albertville 1992,Freestyle Skiing,Moguls men
36,ITA,walter osta,,Albertville 1992,Freestyle Skiing,Moguls men
37,ITA,paolo silvestri,,Albertville 1992,Freestyle Skiing,Moguls men
38,SUI,bernard brandt,,Albertville 1992,Freestyle Skiing,Moguls men
39,JPN,osamu yamazaki,,Albertville 1992,Freestyle Skiing,Moguls men
40,FIN,ari penttinen,,Albertville 1992,Freestyle Skiing,Moguls men
41,LAT,dans jansons,,Albertville 1992,Freestyle Skiing,Moguls men
42,ITA,giorgio zini,,Albertville 1992,Freestyle Skiing,Moguls men
43,GBR,simon baynes,,Albertville 1992,Freestyle Skiing,Moguls men
44,ESP,josé rojas,,Albertville 1992,Freestyle Skiing,Moguls men
45,PUR,luis gonzalez,,Albertville 1992,Freestyle Skiing,Moguls men
46,PUR,george torruellas,,Albertville 1992,Freestyle Skiing,Moguls men
0,USA,donna weinbrecht,23.69,Albertville 1992,Freestyle Skiing,Moguls women
1,EUN,yelizaveta kozhevnikova,23.50,Albertville 1992,Freestyle Skiing,Moguls women
2,NOR,stine lise hattestad,23.04,Albertville 1992,Freestyle Skiing,Moguls women
3,GER,tatjana mittermayer,22.33,Albertville 1992,Freestyle Skiing,Moguls women
4,GER,birgit stein,21.44,Albertville 1992,Freestyle Skiing,Moguls women
5,USA,elizabeth mcintyre,21.24,Albertville 1992,Freestyle Skiing,Moguls women
6,ITA,silvia marciandi,19.66,Albertville 1992,Freestyle Skiing,Moguls women
7,FRA,raphaelle monod,15.57,Albertville 1992,Freestyle Skiing,Moguls women
8,GER,yvonne seifert,,Albertville 1992,Freestyle Skiing,Moguls women
9,EUN,yelena korolyova,,Albertville 1992,Freestyle Skiing,Moguls women
10,ITA,petra moroder,,Albertville 1992,Freestyle Skiing,Moguls women
11,EUN,olga lichkina,,Albertville 1992,Freestyle Skiing,Moguls women
12,SUI,cornelia kissling,,Albertville 1992,Freestyle Skiing,Moguls women
13,NOR,kari traa,,Albertville 1992,Freestyle Skiing,Moguls women
14,GBR,jilly curry,,Albertville 1992,Freestyle Skiing,Moguls women
15,CAN,bronwen thomas,,Albertville 1992,Freestyle Skiing,Moguls women
16,CAN,leelee morrison-henry,,Albertville 1992,Freestyle Skiing,Moguls women
17,CAN,anna kindy,,Albertville 1992,Freestyle Skiing,Moguls women
18,FIN,minna karhu,,Albertville 1992,Freestyle Skiing,Moguls women
19,SWE,helena waller,,Albertville 1992,Freestyle Skiing,Moguls women
20,USA,ann battelle,,Albertville 1992,Freestyle Skiing,Moguls women
21,USA,maggie connor,,Albertville 1992,Freestyle Skiing,Moguls women
22,EUN,larissa udodova,,Albertville 1992,Freestyle Skiing,Moguls women
23,FRA,candice gilg,,Albertville 1992,Freestyle Skiing,Moguls women
