,country,participant,result,olympic_game,discipline,event
0,GER,jan behrendt,00:01:32.053,Albertville 1992,Luge,Doubles mixed
1,GER,thomas rudolph,00:01:32.239,Albertville 1992,Luge,Doubles mixed
2,ITA,norbert huber,00:01:32.298,Albertville 1992,Luge,Doubles mixed
3,ROU,ion apostol,00:01:32.649,Albertville 1992,Luge,Doubles mixed
4,ITA,kurt brugger,00:01:32.810,Albertville 1992,Luge,Doubles mixed
5,SWE,hans kohala,00:01:33.134,Albertville 1992,Luge,Doubles mixed
6,AUT,gerhard gleirscher,00:01:33.257,Albertville 1992,Luge,Doubles mixed
7,EUN,aleksey zelensky,00:01:33.299,Albertville 1992,Luge,Doubles mixed
8,USA,william tavares,00:01:33.451,Albertville 1992,Luge,Doubles mixed
9,EUN,igor lobanov,00:01:33.947,Albertville 1992,Luge,Doubles mixed
10,LAT,aivars polis,00:01:33.949,Albertville 1992,Luge,Doubles mixed
11,USA,chris thorpe,00:01:34.042,Albertville 1992,Luge,Doubles mixed
12,CAN,cristi-adrian sudu,00:01:34.101,Albertville 1992,Luge,Doubles mixed
13,CAN,robert gasper,00:01:34.102,Albertville 1992,Luge,Doubles mixed
14,TCH,petr urban,00:01:34.274,Albertville 1992,Luge,Doubles mixed
15,NOR,harald rolfsen,00:01:34.978,Albertville 1992,Luge,Doubles mixed
16,BUL,ilko karacholov,00:01:35.052,Albertville 1992,Luge,Doubles mixed
17,JPN,atsushi sasaki,00:01:35.342,Albertville 1992,Luge,Doubles mixed
18,FRA,yves boyer,00:01:36.907,Albertville 1992,Luge,Doubles mixed
19,POL,adrian przechewka,00:01:55.054,Albertville 1992,Luge,Doubles mixed
0,GER,georg hackl,00:03:02.363,Albertville 1992,Luge,Singles men
1,AUT,markus prock,00:03:02.669,Albertville 1992,Luge,Singles men
2,AUT,markus schmidt,00:03:02.942,Albertville 1992,Luge,Singles men
3,ITA,norbert huber,00:03:02.973,Albertville 1992,Luge,Singles men
4,GER,jens mueller,00:03:03.197,Albertville 1992,Luge,Singles men
5,AUT,robert manzenreiter,00:03:03.267,Albertville 1992,Luge,Singles men
6,ITA,oswald haselrieder,00:03:03.276,Albertville 1992,Luge,Singles men
7,GER,rene friedl,00:03:03.543,Albertville 1992,Luge,Singles men
8,EUN,sergey danilin,00:03:03.773,Albertville 1992,Luge,Singles men
9,USA,duncan kennedy,00:03:03.852,Albertville 1992,Luge,Singles men
10,ITA,gerhard plankensteiner,00:03:03.908,Albertville 1992,Luge,Singles men
11,USA,wendel suckow,00:03:04.195,Albertville 1992,Luge,Singles men
12,LAT,agris elerts,00:03:04.674,Albertville 1992,Luge,Singles men
13,SWE,mikael holm,00:03:05.292,Albertville 1992,Luge,Singles men
14,EUN,oleg ermoline,00:03:05.295,Albertville 1992,Luge,Singles men
15,EUN,eduard burmistrov,00:03:05.510,Albertville 1992,Luge,Singles men
16,JPN,kazuhiko takamatsu,00:03:05.800,Albertville 1992,Luge,Singles men
17,CAN,harington telford,00:03:06.195,Albertville 1992,Luge,Singles men
18,TCH,petr urban,00:03:06.269,Albertville 1992,Luge,Singles men
19,TCH,jan kohoutek,00:03:06.442,Albertville 1992,Luge,Singles men
20,USA,robert pipkins,00:03:06.899,Albertville 1992,Luge,Singles men
21,FRA,olivier fraise,00:03:07.360,Albertville 1992,Luge,Singles men
22,GBR,nicholas ovett,00:03:07.403,Albertville 1992,Luge,Singles men
23,CAN,cristi-adrian sudu,00:03:07.798,Albertville 1992,Luge,Singles men
24,ESP,pablo garcía,00:03:08.310,Albertville 1992,Luge,Singles men
25,ROU,ion apostol,00:03:08.783,Albertville 1992,Luge,Singles men
26,GBR,ian whitehead,00:03:08.904,Albertville 1992,Luge,Singles men
27,FRA,yves boyer,00:03:09.830,Albertville 1992,Luge,Singles men
28,ISV,kyle heikkila,00:03:11.135,Albertville 1992,Luge,Singles men
29,BER,simon payne,00:03:11.173,Albertville 1992,Luge,Singles men
30,ARG,ruben oscar gonzalez,00:03:11.777,Albertville 1992,Luge,Singles men
31,FRA,frédéric bertrand,00:03:12.956,Albertville 1992,Luge,Singles men
32,YUG,igor spiric,00:03:13.423,Albertville 1992,Luge,Singles men
33,YUG,ismar biogradlic,00:03:16.655,Albertville 1992,Luge,Singles men
0,AUT,doris neuner,00:03:06.696,Albertville 1992,Luge,Singles women
1,AUT,angelika neuner,00:03:06.769,Albertville 1992,Luge,Singles women
2,GER,susi-lisa erdmann,00:03:07.115,Albertville 1992,Luge,Singles women
3,ITA,gerda weissensteiner,00:03:07.673,Albertville 1992,Luge,Singles women
4,USA,cameron myler,00:03:07.973,Albertville 1992,Luge,Singles women
5,GER,gabriele kohlisch,00:03:07.980,Albertville 1992,Luge,Singles women
6,AUT,andrea tagwerker,00:03:08.018,Albertville 1992,Luge,Singles women
7,EUN,natalia yakushenko,00:03:08.383,Albertville 1992,Luge,Singles women
8,USA,erica terwillegar,00:03:08.547,Albertville 1992,Luge,Singles women
9,EUN,irina goubkina,00:03:08.746,Albertville 1992,Luge,Singles women
10,LAT,anna orlova,00:03:08.798,Albertville 1992,Luge,Singles women
11,EUN,nadejda danilina,00:03:08.828,Albertville 1992,Luge,Singles women
12,GER,sylke otto,00:03:08.999,Albertville 1992,Luge,Singles women
13,LAT,evija sulce,00:03:09.207,Albertville 1992,Luge,Singles women
14,LAT,iluta gaile,00:03:09.295,Albertville 1992,Luge,Singles women
15,CAN,katherine salmon,00:03:09.521,Albertville 1992,Luge,Singles women
16,TCH,petra kaprasova,00:03:09.660,Albertville 1992,Luge,Singles women
17,USA,bonny warner,00:03:09.757,Albertville 1992,Luge,Singles women
18,ITA,natalie obkircher,00:03:09.901,Albertville 1992,Luge,Singles women
19,TCH,maria jasencakova,00:03:10.443,Albertville 1992,Luge,Singles women
20,AUS,diane ogle,00:03:10.465,Albertville 1992,Luge,Singles women
21,ROU,corina dragan,00:03:13.126,Albertville 1992,Luge,Singles women
22,ISV,anne abernathy,00:03:14.342,Albertville 1992,Luge,Singles women
23,BUL,albena zdravkova,00:03:16.239,Albertville 1992,Luge,Singles women
