,country,participant,result,olympic_game,discipline,event
0,FRA,fabrice guy,,Albertville 1992,Nordic Combined,Individual men
1,FRA,sylvain guillaume,,Albertville 1992,Nordic Combined,Individual men
2,AUT,klaus sulzenbacher,,Albertville 1992,Nordic Combined,Individual men
3,NOR,fred boerre lundberg,,Albertville 1992,Nordic Combined,Individual men
4,AUT,klaus ofner,,Albertville 1992,Nordic Combined,Individual men
5,EST,allar levandi,,Albertville 1992,Nordic Combined,Individual men
6,JPN,kenji ogiwara,,Albertville 1992,Nordic Combined,Individual men
7,POL,stanislaw ustupski,,Albertville 1992,Nordic Combined,Individual men
8,NOR,trond einar elden,,Albertville 1992,Nordic Combined,Individual men
9,NOR,knut apeland,,Albertville 1992,Nordic Combined,Individual men
10,EUN,andrei dundukov,,Albertville 1992,Nordic Combined,Individual men
11,GER,thomas dufter,,Albertville 1992,Nordic Combined,Individual men
12,FRA,xavier girard,,Albertville 1992,Nordic Combined,Individual men
13,SUI,andreas schaad,,Albertville 1992,Nordic Combined,Individual men
14,TCH,frantisek maka,,Albertville 1992,Nordic Combined,Individual men
15,GER,hans-peter pohl,,Albertville 1992,Nordic Combined,Individual men
16,TCH,josef kovarik,,Albertville 1992,Nordic Combined,Individual men
17,AUT,stefan kreiner,,Albertville 1992,Nordic Combined,Individual men
18,JPN,takanori kono,,Albertville 1992,Nordic Combined,Individual men
19,FIN,pasi saapunki,,Albertville 1992,Nordic Combined,Individual men
20,NOR,bard elden,,Albertville 1992,Nordic Combined,Individual men
21,EUN,vasily savin,,Albertville 1992,Nordic Combined,Individual men
22,EST,ago markvardt,,Albertville 1992,Nordic Combined,Individual men
23,FIN,teemu summanen,,Albertville 1992,Nordic Combined,Individual men
24,POL,stefan habas,,Albertville 1992,Nordic Combined,Individual men
25,SUI,hippolyt kempf,,Albertville 1992,Nordic Combined,Individual men
26,FRA,francis reppelin,,Albertville 1992,Nordic Combined,Individual men
27,FIN,sami kallunki,,Albertville 1992,Nordic Combined,Individual men
28,SUI,marco zarucchi,,Albertville 1992,Nordic Combined,Individual men
29,JPN,masashi abe,,Albertville 1992,Nordic Combined,Individual men
30,EST,peter heli,,Albertville 1992,Nordic Combined,Individual men
31,AUT,günther csar,,Albertville 1992,Nordic Combined,Individual men
32,EUN,valery stolyarov,,Albertville 1992,Nordic Combined,Individual men
33,JPN,reiichi mikata,,Albertville 1992,Nordic Combined,Individual men
34,GER,sven leonhardt,,Albertville 1992,Nordic Combined,Individual men
35,EUN,sergey shvagirev,,Albertville 1992,Nordic Combined,Individual men
36,USA,steven heckman,,Albertville 1992,Nordic Combined,Individual men
37,SUI,urs niedhart,,Albertville 1992,Nordic Combined,Individual men
38,USA,todd wilson,,Albertville 1992,Nordic Combined,Individual men
39,USA,timothy tetreault,,Albertville 1992,Nordic Combined,Individual men
40,TCH,martin bayer,,Albertville 1992,Nordic Combined,Individual men
41,EST,toomas tiru,,Albertville 1992,Nordic Combined,Individual men
42,FIN,jari mantila,Did not finish,Albertville 1992,Nordic Combined,Individual men
43,USA,joseph holland,Did not finish,Albertville 1992,Nordic Combined,Individual men
44,TCH,milan kucera,Did not finish,Albertville 1992,Nordic Combined,Individual men
0,,,,Albertville 1992,Nordic Combined,Team men
1,,,,Albertville 1992,Nordic Combined,Team men
2,,,,Albertville 1992,Nordic Combined,Team men
3,,,,Albertville 1992,Nordic Combined,Team men
4,,,,Albertville 1992,Nordic Combined,Team men
5,,,,Albertville 1992,Nordic Combined,Team men
6,,,,Albertville 1992,Nordic Combined,Team men
7,,,,Albertville 1992,Nordic Combined,Team men
8,,,,Albertville 1992,Nordic Combined,Team men
9,,,,Albertville 1992,Nordic Combined,Team men
10,,,,Albertville 1992,Nordic Combined,Team men
