,country,participant,result,olympic_game,discipline,event
0,FRA,lucien gaudin,,Amsterdam 1928,Fencing,épée individual men
1,FRA,georges buchard,,Amsterdam 1928,Fencing,épée individual men
2,USA,george charles calnan,,Amsterdam 1928,Fencing,épée individual men
3,BEL,léon tom,,Amsterdam 1928,Fencing,épée individual men
4,SWE,nils erik hellsten,,Amsterdam 1928,Fencing,épée individual men
5,BEL,charles delporte,,Amsterdam 1928,Fencing,épée individual men
6,BEL,charles debeur,,Amsterdam 1928,Fencing,épée individual men
7,EGY,salvator cicurel,,Amsterdam 1928,Fencing,épée individual men
8,USA,allan milner,,Amsterdam 1928,Fencing,épée individual men
9,EGY,saul moyal,,Amsterdam 1928,Fencing,épée individual men
0,,,,Amsterdam 1928,Fencing,épée team men
1,,,,Amsterdam 1928,Fencing,épée team men
2,,,,Amsterdam 1928,Fencing,épée team men
3,,,,Amsterdam 1928,Fencing,épée team men
4,,,,Amsterdam 1928,Fencing,épée team men
5,,,,Amsterdam 1928,Fencing,épée team men
6,,,,Amsterdam 1928,Fencing,épée team men
7,,,,Amsterdam 1928,Fencing,épée team men
0,FRA,lucien gaudin,,Amsterdam 1928,Fencing,foil individual men
1,GER,erwin casmir,,Amsterdam 1928,Fencing,foil individual men
2,ITA,giulio gaudini,,Amsterdam 1928,Fencing,foil individual men
3,ITA,oreste puliti,,Amsterdam 1928,Fencing,foil individual men
4,FRA,philippe cattiau,,Amsterdam 1928,Fencing,foil individual men
5,BEL,raymond bru,,Amsterdam 1928,Fencing,foil individual men
6,ITA,ugo pignotti,,Amsterdam 1928,Fencing,foil individual men
7,GER,fritz a. gazzera,,Amsterdam 1928,Fencing,foil individual men
8,FRA,roger françois ducret,,Amsterdam 1928,Fencing,foil individual men
9,HUN,györgy rozgonyi,,Amsterdam 1928,Fencing,foil individual men
10,USA,joseph l. levis,,Amsterdam 1928,Fencing,foil individual men
11,SWE,bertil uggla,,Amsterdam 1928,Fencing,foil individual men
12,BEL,albert de roocker,Did not finish,Amsterdam 1928,Fencing,foil individual men
0,GER,helene mayer,,Amsterdam 1928,Fencing,foil individual women
1,GBR,muriel b. freeman,,Amsterdam 1928,Fencing,foil individual women
2,GER,olga oelkers-caragioff,,Amsterdam 1928,Fencing,foil individual women
3,GER,erna sondheim,,Amsterdam 1928,Fencing,foil individual women
4,GBR,gladys daniell,,Amsterdam 1928,Fencing,foil individual women
5,BEL,jenny marie addams,,Amsterdam 1928,Fencing,foil individual women
6,HUN,margit dany,,Amsterdam 1928,Fencing,foil individual women
7,NED,johanna jacoba de boer,,Amsterdam 1928,Fencing,foil individual women
0,,,,Amsterdam 1928,Fencing,foil team men
1,,,,Amsterdam 1928,Fencing,foil team men
2,,,,Amsterdam 1928,Fencing,foil team men
3,,,,Amsterdam 1928,Fencing,foil team men
4,,,,Amsterdam 1928,Fencing,foil team men
5,,,,Amsterdam 1928,Fencing,foil team men
0,HUN,ödön tersztyanszky,,Amsterdam 1928,Fencing,sabre individual men
1,HUN,attila petschauer,,Amsterdam 1928,Fencing,sabre individual men
2,ITA,bino bini,,Amsterdam 1928,Fencing,sabre individual men
3,ITA,gustavo marzi,,Amsterdam 1928,Fencing,sabre individual men
4,HUN,sandor gombos,,Amsterdam 1928,Fencing,sabre individual men
5,GER,erwin casmir,,Amsterdam 1928,Fencing,sabre individual men
6,ITA,arturo de vecchi,,Amsterdam 1928,Fencing,sabre individual men
7,FRA,roger françois ducret,,Amsterdam 1928,Fencing,sabre individual men
8,NED,adrianus egbertus willem de jong,,Amsterdam 1928,Fencing,sabre individual men
9,FRA,jean andré lacroix,,Amsterdam 1928,Fencing,sabre individual men
10,NED,jan van der wiel,,Amsterdam 1928,Fencing,sabre individual men
11,GER,hans thomson,,Amsterdam 1928,Fencing,sabre individual men
0,,,,Amsterdam 1928,Fencing,sabre team men
1,,,,Amsterdam 1928,Fencing,sabre team men
2,,,,Amsterdam 1928,Fencing,sabre team men
3,,,,Amsterdam 1928,Fencing,sabre team men
4,,,,Amsterdam 1928,Fencing,sabre team men
5,,,,Amsterdam 1928,Fencing,sabre team men
6,,,,Amsterdam 1928,Fencing,sabre team men
7,,,,Amsterdam 1928,Fencing,sabre team men
