,country,participant,result,olympic_game,discipline,event
0,USA,george harold kojac,00:01:08.200,Amsterdam 1928,Swimming,100m backstroke men
1,USA,walter laufer,00:01:10.000,Amsterdam 1928,Swimming,100m backstroke men
2,USA,paul wyatt,00:01:12.000,Amsterdam 1928,Swimming,100m backstroke men
3,JPN,toshio iriye,00:01:13.600,Amsterdam 1928,Swimming,100m backstroke men
4,GER,ernst kuppers,00:01:13.800,Amsterdam 1928,Swimming,100m backstroke men
5,GBR,john charles preston besford,00:01:15.400,Amsterdam 1928,Swimming,100m backstroke men
6,ITA,sante omero,Did not start,Amsterdam 1928,Swimming,100m backstroke men
7,BEL,émile thienpondt,Did not start,Amsterdam 1928,Swimming,100m backstroke men
8,ARG,carlos castro feijoo,Did not start,Amsterdam 1928,Swimming,100m backstroke men
9,AUT,fred rödiger,Did not start,Amsterdam 1928,Swimming,100m backstroke men
10,POL,krzysztof trytko,Did not start,Amsterdam 1928,Swimming,100m backstroke men
11,PHI,teofilo yldefonso,Did not start,Amsterdam 1928,Swimming,100m backstroke men
12,ARG,alberto zorrilla,Did not start,Amsterdam 1928,Swimming,100m backstroke men
13,AUT,h. nassau,Did not start,Amsterdam 1928,Swimming,100m backstroke men
0,NED,maria johanna philipsen-braun,00:01:22.000,Amsterdam 1928,Swimming,100m backstroke women
1,GBR,ellen elizabeth king,00:01:22.200,Amsterdam 1928,Swimming,100m backstroke women
2,GBR,margaret joyce cooper,00:01:22.800,Amsterdam 1928,Swimming,100m backstroke women
3,USA,marion ulmer gilman,00:01:24.200,Amsterdam 1928,Swimming,100m backstroke women
4,USA,eleanor holm,00:01:24.400,Amsterdam 1928,Swimming,100m backstroke women
5,USA,lisa a. lindstrom,00:01:24.400,Amsterdam 1928,Swimming,100m backstroke women
6,NZL,ena stockley,00:01:25.800,Amsterdam 1928,Swimming,100m backstroke women
7,NED,willy den turk,Did not start,Amsterdam 1928,Swimming,100m backstroke women
8,DEN,agnete olsen,Did not start,Amsterdam 1928,Swimming,100m backstroke women
9,AUT,idy kohn,Did not start,Amsterdam 1928,Swimming,100m backstroke women
10,GER,anni rehborn,Did not start,Amsterdam 1928,Swimming,100m backstroke women
0,USA,johnny weissmuller,58.600,Amsterdam 1928,Swimming,100m freestyle men
1,HUN,istvan barany,59.800,Amsterdam 1928,Swimming,100m freestyle men
2,JPN,katsuo takaishi,00:01:00.000,Amsterdam 1928,Swimming,100m freestyle men
3,USA,george harold kojac,00:01:00.800,Amsterdam 1928,Swimming,100m freestyle men
4,USA,walter laufer,00:01:01.000,Amsterdam 1928,Swimming,100m freestyle men
5,CAN,walter spence,00:01:01.400,Amsterdam 1928,Swimming,100m freestyle men
6,ARG,alberto zorrilla,00:01:01.600,Amsterdam 1928,Swimming,100m freestyle men
7,BEL,henri stoelen,Did not start,Amsterdam 1928,Swimming,100m freestyle men
