,country,participant,result,olympic_game,discipline,event
0,GER,kurt helbig,322.5,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
1,AUT,hans haas,322.5,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
2,FRA,fernand arnout,302.5,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
3,SUI,albert aeschmann,297.5,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
4,GER,willi reinfrank,295,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
5,FRA,jules meese,292.5,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
6,AUT,anton hangel,287.5,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
7,ITA,gastone pierini,282.5,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
8,SUI,joseph jaquenoud,275,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
9,NED,cornelis gerardus tabak,270,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
10,TCH,josef matejcek,265,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
11,BEL,v. van hamme,262.5,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
12,LUX,menotti pozzacchio,260,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
13,NED,gerrit j. roos,255,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
14,SWE,helge e. sjögren,252.5,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
15,DEN,henry magnus nissen,245,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
16,BEL,j. adriaenssens,Did not finish,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
17,ARG,césar garibaldi,Did not finish,Amsterdam 1928,Weightlifting,60-67.5kg lightweight men
0,AUT,franz joseph andrysek,287.5,Amsterdam 1928,Weightlifting,60kg featherweight men
1,ITA,pierino gabetti,282.5,Amsterdam 1928,Weightlifting,60kg featherweight men
2,GER,hans wölpert,282.5,Amsterdam 1928,Weightlifting,60kg featherweight men
3,ITA,giuseppe conca,277.5,Amsterdam 1928,Weightlifting,60kg featherweight men
4,SUI,arthur reinmann,275,Amsterdam 1928,Weightlifting,60kg featherweight men
5,AUT,andreas stadler,267.5,Amsterdam 1928,Weightlifting,60kg featherweight men
6,FRA,henri baudrand,265,Amsterdam 1928,Weightlifting,60kg featherweight men
7,TUR,cemal erçman,262.5,Amsterdam 1928,Weightlifting,60kg featherweight men
8,TCH,josef vacek,262.5,Amsterdam 1928,Weightlifting,60kg featherweight men
9,FRA,henri rivère,260,Amsterdam 1928,Weightlifting,60kg featherweight men
10,BEL,ferdinand renier,255,Amsterdam 1928,Weightlifting,60kg featherweight men
11,GER,eugen mühlberger,255,Amsterdam 1928,Weightlifting,60kg featherweight men
12,POR,antonio pereira,255,Amsterdam 1928,Weightlifting,60kg featherweight men
13,EST,alexander kask,250,Amsterdam 1928,Weightlifting,60kg featherweight men
14,SUI,justin tissot,250,Amsterdam 1928,Weightlifting,60kg featherweight men
15,BEL,albert maes,247.5,Amsterdam 1928,Weightlifting,60kg featherweight men
16,NED,hendrik de wolf,247.5,Amsterdam 1928,Weightlifting,60kg featherweight men
17,GBR,alfred baxter,240,Amsterdam 1928,Weightlifting,60kg featherweight men
18,NED,cornelis h. compter,237.5,Amsterdam 1928,Weightlifting,60kg featherweight men
19,GBR,alfred harold hopkins,227.5,Amsterdam 1928,Weightlifting,60kg featherweight men
20,ARG,casimiro vega,222.5,Amsterdam 1928,Weightlifting,60kg featherweight men
21,TCH,františek vitašek,Did not start,Amsterdam 1928,Weightlifting,60kg featherweight men
0,FRA,roger francois,335,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
1,ITA,carlo galimberti,332.5,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
2,NED,august scheffer,327.5,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
3,GER,franz zinner,322.5,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
4,FRA,gaston le put,312.5,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
5,GER,willi hoffmann,305,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
6,EGY,hussein moukhtar,302.5,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
7,BEL,jan van rompaey,292.5,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
8,ARG,alfredo pianta,285,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
9,NED,joop zalm,285,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
10,TCH,jan kostrba,280,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
11,BEL,marcel van der goten,280,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
12,EST,leonhard kukk,277.5,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
13,GBR,charles frederick attenborough,277.5,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
14,SUI,ernst trinkler,275,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
15,LTU,povilas vitonis,275,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
16,TCH,bohumil sýkora,270,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
17,GBR,john h. tooley,262.5,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
18,SUI,hermann eichholzer,Did not finish,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
19,AUT,karl hipfinger,Did not finish,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
20,SWE,s. bertil u. carlsson,Did not finish,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
21,AUT,franz nitterl,Did not finish,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
22,LUX,françois bremer,Did not finish,Amsterdam 1928,Weightlifting,67.5-75kg middleweight men
0,EGY,el sayed mohamed nosseir,355,Amsterdam 1928,Weightlifting,75-82.5kg total lightheavyweight men
1,FRA,louis hostin,352.5,Amsterdam 1928,Weightlifting,75-82.5kg total lightheavyweight men
2,NED,jan verheijen,337.5,Amsterdam 1928,Weightlifting,75-82.5kg total lightheavyweight men
3,TCH,vaclav psenicka,335,Amsterdam 1928,Weightlifting,75-82.5kg total lightheavyweight men
