,country,participant,result,olympic_game,discipline,event
0,KOR,tae-kwon ha,,Athens 2004,Badminton,doubles men
1,KOR,yong-seong yu,,Athens 2004,Badminton,doubles men
2,INA,eng hian,,Athens 2004,Badminton,doubles men
3,DEN,martin lundgaard hansen,,Athens 2004,Badminton,doubles men
4,KOR,yong hyun kim,,Athens 2004,Badminton,doubles men
5,CHN,yang sang,,Athens 2004,Badminton,doubles men
6,MAS,wan wah lee,,Athens 2004,Badminton,doubles men
7,CHN,haifeng fu,,Athens 2004,Badminton,doubles men
8,INA,alvent yulianto chandra,,Athens 2004,Badminton,doubles men
9,DEN,jonas rasmussen,,Athens 2004,Badminton,doubles men
10,GBR,nathan robertson,,Athens 2004,Badminton,doubles men
11,POL,michal logosz,,Athens 2004,Badminton,doubles men
12,MAS,chong ming chan,,Athens 2004,Badminton,doubles men
13,THA,pramote teerawiwatana,,Athens 2004,Badminton,doubles men
14,USA,kevin han,,Athens 2004,Badminton,doubles men
15,JPN,keita masuda,,Athens 2004,Badminton,doubles men
16,THA,sudket prapakamol,,Athens 2004,Badminton,doubles men
17,INA,sigit budiarto,,Athens 2004,Badminton,doubles men
18,GRE,george patis,,Athens 2004,Badminton,doubles men
19,ESP,sergio llopis,,Athens 2004,Badminton,doubles men
20,AUS,ashley brehaut,,Athens 2004,Badminton,doubles men
21,RSA,dorian lance james,,Athens 2004,Badminton,doubles men
0,CHN,jun zhang,,Athens 2004,Badminton,Doubles mixed
1,GBR,nathan robertson,,Athens 2004,Badminton,Doubles mixed
2,DEN,jens dyrloev eriksen,,Athens 2004,Badminton,Doubles mixed
3,DEN,jonas rasmussen,,Athens 2004,Badminton,Doubles mixed
4,KOR,dong moon kim,,Athens 2004,Badminton,Doubles mixed
5,CHN,qiqiu chen,,Athens 2004,Badminton,Doubles mixed
6,INA,vita marissa,,Athens 2004,Badminton,Doubles mixed
7,SWE,fredrik bergstroem,,Athens 2004,Badminton,Doubles mixed
8,NED,lotte jonathans,,Athens 2004,Badminton,Doubles mixed
9,NZL,sara petersen r,,Athens 2004,Badminton,Doubles mixed
10,GER,bjoern siegemund,,Athens 2004,Badminton,Doubles mixed
11,INA,anggun nugroho,,Athens 2004,Badminton,Doubles mixed
12,GBR,robert blair,,Athens 2004,Badminton,Doubles mixed
13,KOR,yong hyun kim,,Athens 2004,Badminton,Doubles mixed
14,THA,saralee thungthongkam,,Athens 2004,Badminton,Doubles mixed
15,TPE,wen-hsing cheng,,Athens 2004,Badminton,Doubles mixed
16,CAN,philippe bourret,,Athens 2004,Badminton,Doubles mixed
17,AUS,travis denney,,Athens 2004,Badminton,Doubles mixed
18,RUS,marina yakusheva,,Athens 2004,Badminton,Doubles mixed
19,JPN,tadashi ohtsuka,,Athens 2004,Badminton,Doubles mixed
20,FRA,svetoslav stoyanov,,Athens 2004,Badminton,Doubles mixed
21,CAN,mike beres,,Athens 2004,Badminton,Doubles mixed
22,RSA,chris dednam,,Athens 2004,Badminton,Doubles mixed
0,CHN,jiewen zhang,,Athens 2004,Badminton,doubles women
1,CHN,sui huang,,Athens 2004,Badminton,doubles women
2,KOR,gyeong-min na,,Athens 2004,Badminton,doubles women
3,CHN,tingting zhao,,Athens 2004,Badminton,doubles women
4,THA,sathinee chankrachangwong,,Athens 2004,Badminton,doubles women
5,NED,mia audina mia audina,,Athens 2004,Badminton,doubles women
6,KOR,yu-mi hwang,,Athens 2004,Badminton,doubles women
7,DEN,ann-lou jorgensen,,Athens 2004,Badminton,doubles women
8,INA,lita nurlita,,Athens 2004,Badminton,doubles women
9,JPN,keiko yoshitomi,,Athens 2004,Badminton,doubles women
10,DEN,pernille harder,,Athens 2004,Badminton,doubles women
11,GBR,joanne wright,,Athens 2004,Badminton,doubles women
12,TPE,wen-hsing cheng,,Athens 2004,Badminton,doubles women
13,GBR,donna kellogg,,Athens 2004,Badminton,doubles women
14,GER,nicole grether,,Athens 2004,Badminton,doubles women
15,MAS,pei tty wong,,Athens 2004,Badminton,doubles women
16,CAN,anna rice,,Athens 2004,Badminton,doubles women
17,AUS,jane crabtree,,Athens 2004,Badminton,doubles women
18,BUL,petya nedelcheva,,Athens 2004,Badminton,doubles women
19,CAN,helen nichol,,Athens 2004,Badminton,doubles women
20,HKG,wai chee louisa koon,,Athens 2004,Badminton,doubles women
21,RSA,chantal botts,,Athens 2004,Badminton,doubles women
22,JPN,shizuka yamamoto,,Athens 2004,Badminton,doubles women
0,INA,taufik hidayat,,Athens 2004,Badminton,Singles men
1,KOR,seung-mo shon,,Athens 2004,Badminton,Singles men
2,INA,sony dwi kuncoro,,Athens 2004,Badminton,Singles men
3,THA,boonsak ponsana,,Athens 2004,Badminton,Singles men
4,SGP,ronald susilo,,Athens 2004,Badminton,Singles men
5,DEN,peter gade,,Athens 2004,Badminton,Singles men
6,KOR,tae sang park,,Athens 2004,Badminton,Singles men
7,CHN,hong chen,,Athens 2004,Badminton,Singles men
8,GER,bjoern joppien,,Athens 2004,Badminton,Singles men
9,KOR,hyun il lee,,Athens 2004,Badminton,Singles men
10,MAS,choong hann wong,,Athens 2004,Badminton,Singles men
11,IND,nikhil kanetkar,,Athens 2004,Badminton,Singles men
12,NOR,jim ronny andersen,,Athens 2004,Badminton,Singles men
13,CHN,chunlai bao,,Athens 2004,Badminton,Singles men
14,GBR,richard vaughan,,Athens 2004,Badminton,Singles men
15,MAS,chong wei lee,,Athens 2004,Badminton,Singles men
16,CHN,dan lin,,Athens 2004,Badminton,Singles men
17,FIN,kasperi salo,,Athens 2004,Badminton,Singles men
18,AUS,stuart brehaut,,Athens 2004,Badminton,Singles men
19,RSA,chris dednam,,Athens 2004,Badminton,Singles men
20,POL,przemyslaw wacha,,Athens 2004,Badminton,Singles men
21,JPN,hidetaka yamada,,Athens 2004,Badminton,Singles men
22,TPE,yu-hsiu chien,,Athens 2004,Badminton,Singles men
23,ESP,sergio llopis,,Athens 2004,Badminton,Singles men
24,GUA,pedro yang,,Athens 2004,Badminton,Singles men
25,MAS,m. roslin hashim,,Athens 2004,Badminton,Singles men
26,IND,abhinn shyam gupta,,Athens 2004,Badminton,Singles men
27,JPN,shoji sato,,Athens 2004,Badminton,Singles men
28,POR,marco vasconcelos,,Athens 2004,Badminton,Singles men
29,FIN,antti viitikko,,Athens 2004,Badminton,Singles men
30,HKG,wei ng,,Athens 2004,Badminton,Singles men
31,DEN,kenneth jonassen,,Athens 2004,Badminton,Singles men
0,CHN,ning zhang,,Athens 2004,Badminton,Singles women
1,NED,mia audina mia audina,,Athens 2004,Badminton,Singles women
2,CHN,mi zhou,,Athens 2004,Badminton,Singles women
3,CHN,ruina gong,,Athens 2004,Badminton,Singles women
4,TPE,shao-chieh cheng,,Athens 2004,Badminton,Singles women
5,GBR,tracey hallam,,Athens 2004,Badminton,Singles women
6,BUL,petya nedelcheva,,Athens 2004,Badminton,Singles women
7,HKG,chen wang,,Athens 2004,Badminton,Singles women
8,THA,salakjit ponsana,,Athens 2004,Badminton,Singles women
9,KOR,jae-yeon jeon,,Athens 2004,Badminton,Singles women
10,IND,aparna popat,,Athens 2004,Badminton,Singles women
11,DEN,camilla martin,,Athens 2004,Badminton,Singles women
12,KOR,yoon hee seo,,Athens 2004,Badminton,Singles women
13,JPN,kaori mori,,Athens 2004,Badminton,Singles women
14,NED,jie yao,,Athens 2004,Badminton,Singles women
15,GBR,kelly morgan,,Athens 2004,Badminton,Singles women
16,SGP,li li,,Athens 2004,Badminton,Singles women
17,JPN,miho tanaka,,Athens 2004,Badminton,Singles women
18,CAN,charmaine reid,,Athens 2004,Badminton,Singles women
19,HKG,wanting ling,,Athens 2004,Badminton,Singles women
20,JAM,nigella saunders,,Athens 2004,Badminton,Singles women
21,RSA,michelle edwards,,Athens 2004,Badminton,Singles women
22,JPN,kanako yonekura,,Athens 2004,Badminton,Singles women
23,GER,juliane schenk,,Athens 2004,Badminton,Singles women
24,DEN,tine baun,,Athens 2004,Badminton,Singles women
25,FRA,hongyan pi,,Athens 2004,Badminton,Singles women
26,FIN,anu weckstrom,,Athens 2004,Badminton,Singles women
27,GER,huaiwen xu,,Athens 2004,Badminton,Singles women
28,SGP,yanmei jiang,,Athens 2004,Badminton,Singles women
29,PER,lorena blanco,,Athens 2004,Badminton,Singles women
30,AUS,lenny permana,,Athens 2004,Badminton,Singles women
31,SWE,marina andrievskaya,,Athens 2004,Badminton,Singles women
