,country,participant,result,olympic_game,discipline,event
0,FRA,tony estanguet,,Athens 2004,Canoe Slalom,C1 canoe single men
1,SVK,michal martikan,,Athens 2004,Canoe Slalom,C1 canoe single men
2,GER,stefan pfannmoeller,,Athens 2004,Canoe Slalom,C1 canoe single men
3,AUS,robin bell,,Athens 2004,Canoe Slalom,C1 canoe single men
4,CZE,tomas indruch,,Athens 2004,Canoe Slalom,C1 canoe single men
5,SLO,simeon hocevar,,Athens 2004,Canoe Slalom,C1 canoe single men
6,ESP,jordi sangra,,Athens 2004,Canoe Slalom,C1 canoe single men
7,GBR,stuart mcintosh,,Athens 2004,Canoe Slalom,C1 canoe single men
8,CAN,james cartwright,,Athens 2004,Canoe Slalom,C1 canoe single men
9,POL,mariusz wieczorek,,Athens 2004,Canoe Slalom,C1 canoe single men
10,SUI,ronnie duerrenmatt,,Athens 2004,Canoe Slalom,C1 canoe single men
11,CRO,danko herceg,,Athens 2004,Canoe Slalom,C1 canoe single men
12,POL,krzysztof supowicz,,Athens 2004,Canoe Slalom,C1 canoe single men
13,FRA,nicolas peschier,,Athens 2004,Canoe Slalom,C1 canoe single men
14,GRE,christos tsakmakis,,Athens 2004,Canoe Slalom,C1 canoe single men
15,USA,chris ennis jr,,Athens 2004,Canoe Slalom,C1 canoe single men
0,SVK,peter hochschorner,,Athens 2004,Canoe Slalom,C2 canoe double men
1,GER,marcus becker,,Athens 2004,Canoe Slalom,C2 canoe double men
2,CZE,jaroslav volf,,Athens 2004,Canoe Slalom,C2 canoe double men
3,GER,michael senft,,Athens 2004,Canoe Slalom,C2 canoe double men
4,FRA,philippe quemerais,,Athens 2004,Canoe Slalom,C2 canoe double men
5,ITA,erik masoero,,Athens 2004,Canoe Slalom,C2 canoe double men
6,CZE,tomas mader,,Athens 2004,Canoe Slalom,C2 canoe double men
7,USA,matt taylor,,Athens 2004,Canoe Slalom,C2 canoe double men
8,GBR,stuart bowman,,Athens 2004,Canoe Slalom,C2 canoe double men
9,POL,marcin pochwala,,Athens 2004,Canoe Slalom,C2 canoe double men
10,CHN,fubin chen,,Athens 2004,Canoe Slalom,C2 canoe double men
11,AUS,lachlan milne,,Athens 2004,Canoe Slalom,C2 canoe double men
0,FRA,benoit peschier,,Athens 2004,Canoe Slalom,K1 kayak single men
1,GBR,campbell walsh,,Athens 2004,Canoe Slalom,K1 kayak single men
2,FRA,fabien lefevre,,Athens 2004,Canoe Slalom,K1 kayak single men
3,CAN,david ford,,Athens 2004,Canoe Slalom,K1 kayak single men
4,GER,thomas schmidt,,Athens 2004,Canoe Slalom,K1 kayak single men
5,USA,scott parsons,,Athens 2004,Canoe Slalom,K1 kayak single men
6,POL,grzegorz polaczyk,,Athens 2004,Canoe Slalom,K1 kayak single men
7,NED,sam oud,,Athens 2004,Canoe Slalom,K1 kayak single men
8,AUS,warwick draper,,Athens 2004,Canoe Slalom,K1 kayak single men
9,SLO,uros kodelja,,Athens 2004,Canoe Slalom,K1 kayak single men
10,ESP,carles juanmarti,,Athens 2004,Canoe Slalom,K1 kayak single men
11,SVK,jan sajbidor,,Athens 2004,Canoe Slalom,K1 kayak single men
12,AUT,helmut oblinger,,Athens 2004,Canoe Slalom,K1 kayak single men
13,CZE,ondrej raab,,Athens 2004,Canoe Slalom,K1 kayak single men
14,USA,brett heyl,,Athens 2004,Canoe Slalom,K1 kayak single men
15,MKD,lazar popovski,,Athens 2004,Canoe Slalom,K1 kayak single men
16,NED,floris braat,,Athens 2004,Canoe Slalom,K1 kayak single men
17,TOG,benjamin boukpeti,,Athens 2004,Canoe Slalom,K1 kayak single men
18,ITA,pierpaolo ferrazzi,,Athens 2004,Canoe Slalom,K1 kayak single men
19,SUI,michael kurt,,Athens 2004,Canoe Slalom,K1 kayak single men
20,IRL,eoin rheinisch,,Athens 2004,Canoe Slalom,K1 kayak single men
21,CRO,dinko mulic,,Athens 2004,Canoe Slalom,K1 kayak single men
22,BIH,emir sarganovic,,Athens 2004,Canoe Slalom,K1 kayak single men
23,GRE,alexandros dimitriou,,Athens 2004,Canoe Slalom,K1 kayak single men
24,GER,jens ewald,,Athens 2004,Canoe Slalom,K1 kayak single men
0,SVK,elena kaliska,,Athens 2004,Canoe Slalom,K1 kayak single women
1,USA,rebecca giddens,,Athens 2004,Canoe Slalom,K1 kayak single women
2,GBR,helen reeves,,Athens 2004,Canoe Slalom,K1 kayak single women
3,FRA,peggy dickens,,Athens 2004,Canoe Slalom,K1 kayak single women
4,CZE,stepanka hilgertova,,Athens 2004,Canoe Slalom,K1 kayak single women
5,SUI,nagwa el desouki,,Athens 2004,Canoe Slalom,K1 kayak single women
6,AUS,louise natoli,,Athens 2004,Canoe Slalom,K1 kayak single women
7,ITA,maria cristina giai pron,,Athens 2004,Canoe Slalom,K1 kayak single women
8,GER,jennifer bongardt,,Athens 2004,Canoe Slalom,K1 kayak single women
9,SVK,gabriela stacherova,,Athens 2004,Canoe Slalom,K1 kayak single women
10,IRL,eadaoin ni challarain,,Athens 2004,Canoe Slalom,K1 kayak single women
11,AUT,violetta oblinger-peters,,Athens 2004,Canoe Slalom,K1 kayak single women
12,POL,agnieszka stanuch,,Athens 2004,Canoe Slalom,K1 kayak single women
13,GER,mandy planert,,Athens 2004,Canoe Slalom,K1 kayak single women
14,CZE,irena pavelkova,,Athens 2004,Canoe Slalom,K1 kayak single women
15,CAN,margaret langford,,Athens 2004,Canoe Slalom,K1 kayak single women
16,GRE,maria ferekidi,,Athens 2004,Canoe Slalom,K1 kayak single women
17,CHN,jingjing li,,Athens 2004,Canoe Slalom,K1 kayak single women
18,SLO,nada mali,,Athens 2004,Canoe Slalom,K1 kayak single women
