,country,participant,result,olympic_game,discipline,event
0,FRA,julien absalon,02:15:02.000,Athens 2004,Cycling Mountain Bike,cross-country men
1,ESP,jose antonio hermida ramos,02:16:02.000,Athens 2004,Cycling Mountain Bike,cross-country men
2,NED,bart brentjens,02:17:05.000,Athens 2004,Cycling Mountain Bike,cross-country men
3,BEL,roel paulissen,02:18:10.000,Athens 2004,Cycling Mountain Bike,cross-country men
4,GBR,liam killeen,02:18:32.000,Athens 2004,Cycling Mountain Bike,cross-country men
5,SUI,ralph naef,02:19:15.000,Athens 2004,Cycling Mountain Bike,cross-country men
6,SUI,thomas frischknecht,02:19:39.000,Athens 2004,Cycling Mountain Bike,cross-country men
7,GER,manuel fumic,02:20:29.000,Athens 2004,Cycling Mountain Bike,cross-country men
8,CAN,seamus mcgrath,02:20:33.000,Athens 2004,Cycling Mountain Bike,cross-country men
9,ITA,marco bui,02:20:45.000,Athens 2004,Cycling Mountain Bike,cross-country men
10,FRA,jean-christophe peraud,02:20:59.000,Athens 2004,Cycling Mountain Bike,cross-country men
11,SWE,fredrik carl wilhelm kessiakoff,02:21:23.000,Athens 2004,Cycling Mountain Bike,cross-country men
12,NED,bas peters,02:21:44.000,Athens 2004,Cycling Mountain Bike,cross-country men
13,POL,marek galinski,02:22:14.000,Athens 2004,Cycling Mountain Bike,cross-country men
14,AUT,christoph soukup,02:22:50.000,Athens 2004,Cycling Mountain Bike,cross-country men
15,ESP,ivan alvarez gutierrez,02:23:08.000,Athens 2004,Cycling Mountain Bike,cross-country men
16,GBR,oliver beckingsale,02:23:15.000,Athens 2004,Cycling Mountain Bike,cross-country men
17,DEN,peter riis andersen,02:24:03.000,Athens 2004,Cycling Mountain Bike,cross-country men
18,USA,todd wells,02:24:37.000,Athens 2004,Cycling Mountain Bike,cross-country men
19,GER,carsten bresser,02:25:09.000,Athens 2004,Cycling Mountain Bike,cross-country men
20,USA,jeremy horgan-kobelski,02:25:28.000,Athens 2004,Cycling Mountain Bike,cross-country men
21,CZE,radim korinek,02:25:28.000,Athens 2004,Cycling Mountain Bike,cross-country men
22,AUS,sid taberlay,02:26:16.000,Athens 2004,Cycling Mountain Bike,cross-country men
