,country,participant,result,olympic_game,discipline,event
0,ITA,paolo bettini,05:41:44.000,Athens 2004,Cycling Road,individual road race men
1,POR,sergio paulinho,at 0:01,Athens 2004,Cycling Road,individual road race men
2,BEL,axel merckx,at 0:08,Athens 2004,Cycling Road,individual road race men
3,GER,erik zabel,at 0:12,Athens 2004,Cycling Road,individual road race men
4,SLO,andrej hauptman,same time,Athens 2004,Cycling Road,individual road race men
5,LUX,kim kirchen,same time,Athens 2004,Cycling Road,individual road race men
6,GBR,roger hammond,same time,Athens 2004,Cycling Road,individual road race men
7,DEN,frank hoj,same time,Athens 2004,Cycling Road,individual road race men
8,NOR,kurt asle arvesen,same time,Athens 2004,Cycling Road,individual road race men
9,RUS,alexandr kolobnev,same time,Athens 2004,Cycling Road,individual road race men
10,AUS,robbie mcewen,same time,Athens 2004,Cycling Road,individual road race men
11,SUI,markus zberg,same time,Athens 2004,Cycling Road,individual road race men
12,IRL,ciaran power,same time,Athens 2004,Cycling Road,individual road race men
13,SWE,marcus ljungqvist,same time,Athens 2004,Cycling Road,individual road race men
14,NZL,julian dean,same time,Athens 2004,Cycling Road,individual road race men
15,LUX,frank schleck,same time,Athens 2004,Cycling Road,individual road race men
16,NED,max van heeswijk,same time,Athens 2004,Cycling Road,individual road race men
17,GER,jan ullrich,same time,Athens 2004,Cycling Road,individual road race men
18,FRA,thomas voeckler,same time,Athens 2004,Cycling Road,individual road race men
19,UKR,serhiy honchar,same time,Athens 2004,Cycling Road,individual road race men
20,AUT,georg totschnig,same time,Athens 2004,Cycling Road,individual road race men
21,UKR,kyrylo pospieiev,same time,Athens 2004,Cycling Road,individual road race men
22,DEN,bo hamburger,same time,Athens 2004,Cycling Road,individual road race men
23,SLO,tadej valjavec,same time,Athens 2004,Cycling Road,individual road race men
24,POR,nuno ribeiro,same time,Athens 2004,Cycling Road,individual road race men
25,USA,bobby julich,same time,Athens 2004,Cycling Road,individual road race men
26,SUI,martin elmiger,same time,Athens 2004,Cycling Road,individual road race men
27,AUT,gerhard trampusch,same time,Athens 2004,Cycling Road,individual road race men
28,COL,santiago botero,same time,Athens 2004,Cycling Road,individual road race men
29,AUS,stuart ogrady,same time,Athens 2004,Cycling Road,individual road race men
30,VEN,unai etxebarria,same time,Athens 2004,Cycling Road,individual road race men
31,KAZ,alexandr vinokurov,same time,Athens 2004,Cycling Road,individual road race men
32,COL,luis felipe laverde jimenez,same time,Athens 2004,Cycling Road,individual road race men
33,RUS,evgueni petrov,same time,Athens 2004,Cycling Road,individual road race men
34,ITA,daniele nardello,at 0:19,Athens 2004,Cycling Road,individual road race men
35,ITA,luca paolini,same time,Athens 2004,Cycling Road,individual road race men
36,BEL,peter van peteghem,same time,Athens 2004,Cycling Road,individual road race men
37,NED,erik dekker,at 0:45,Athens 2004,Cycling Road,individual road race men
38,LAT,romans vainsteins,at 1:19,Athens 2004,Cycling Road,individual road race men
39,SLO,gorazd stangelj,at 1:36,Athens 2004,Cycling Road,individual road race men
40,FRA,laurent brochard,at 2:29,Athens 2004,Cycling Road,individual road race men
41,LUX,benoit joachim,same time,Athens 2004,Cycling Road,individual road race men
42,ITA,cristian moreni,same time,Athens 2004,Cycling Road,individual road race men
43,ESP,alejandro valverde,same time,Athens 2004,Cycling Road,individual road race men
44,FRA,richard virenque,same time,Athens 2004,Cycling Road,individual road race men
45,BEL,philippe gilbert,same time,Athens 2004,Cycling Road,individual road race men
46,SLO,uros murn,same time,Athens 2004,Cycling Road,individual road race men
47,AUT,gerrit glomser,at 3:37,Athens 2004,Cycling Road,individual road race men
48,NED,karsten kroon,at 5:29,Athens 2004,Cycling Road,individual road race men
49,KAZ,sergey yakovlev,at 7:04,Athens 2004,Cycling Road,individual road race men
50,MDA,ruslan ivanov,at 8:51,Athens 2004,Cycling Road,individual road race men
51,DEN,lars michaelsen,same time,Athens 2004,Cycling Road,individual road race men
52,POL,tomasz brozyna,same time,Athens 2004,Cycling Road,individual road race men
53,JPN,yasutaka tashiro,same time,Athens 2004,Cycling Road,individual road race men
54,CZE,rene andrle,same time,Athens 2004,Cycling Road,individual road race men
55,UZB,sergey lagutin,same time,Athens 2004,Cycling Road,individual road race men
56,DEN,nicki sorensen,same time,Athens 2004,Cycling Road,individual road race men
57,EST,janek tombak,same time,Athens 2004,Cycling Road,individual road race men
58,BRA,murilo fischer,same time,Athens 2004,Cycling Road,individual road race men
59,CZE,jan svorada,same time,Athens 2004,Cycling Road,individual road race men
60,GER,jens voigt,same time,Athens 2004,Cycling Road,individual road race men
61,CZE,ondrej sosenka,same time,Athens 2004,Cycling Road,individual road race men
62,MDA,igor pugaci,same time,Athens 2004,Cycling Road,individual road race men
63,ITA,filippo pozzato,same time,Athens 2004,Cycling Road,individual road race men
64,UKR,yaroslav popovych,same time,Athens 2004,Cycling Road,individual road race men
65,RSA,ryan cox,same time,Athens 2004,Cycling Road,individual road race men
66,KAZ,andrey kashechkin,same time,Athens 2004,Cycling Road,individual road race men
67,SVK,martin riska,at 9:44,Athens 2004,Cycling Road,individual road race men
68,SWE,gustav erik larsson,same time,Athens 2004,Cycling Road,individual road race men
69,KAZ,andrey mizurov,same time,Athens 2004,Cycling Road,individual road race men
