,country,participant,result,olympic_game,discipline,event
0,NZL,hamish carter,01:51:07.730,Athens 2004,Triathlon,Individual men
1,NZL,bevan docherty,01:51:15.600,Athens 2004,Triathlon,Individual men
2,SUI,sven riederer,01:51:33.260,Athens 2004,Triathlon,Individual men
3,AUS,greg bennett,01:51:41.580,Athens 2004,Triathlon,Individual men
4,FRA,frederic belaubre,01:52:00.530,Athens 2004,Triathlon,Individual men
5,GER,andreas raelert,01:52:35.620,Athens 2004,Triathlon,Individual men
6,DEN,rasmus henning,01:52:37.320,Athens 2004,Triathlon,Individual men
7,SUI,olivier marceau,01:52:44.360,Athens 2004,Triathlon,Individual men
8,USA,hunter kemper,01:52:46.330,Athens 2004,Triathlon,Individual men
9,AUS,simon thompson,01:52:47.180,Athens 2004,Triathlon,Individual men
10,CAN,simon whitfield,01:53:15.810,Athens 2004,Triathlon,Individual men
11,FRA,carl blasco,01:53:20.160,Athens 2004,Triathlon,Individual men
12,JPN,hirokatsu tayama,01:53:28.410,Athens 2004,Triathlon,Individual men
13,FRA,stephane poulat,01:53:51.350,Athens 2004,Triathlon,Individual men
14,RUS,igor sysoev,01:53:51.370,Athens 2004,Triathlon,Individual men
15,GBR,andrew johns,01:54:15.870,Athens 2004,Triathlon,Individual men
16,KAZ,danylo sapunov,01:54:33.150,Athens 2004,Triathlon,Individual men
17,GBR,timothy don,01:54:42.130,Athens 2004,Triathlon,Individual men
18,GER,maik petzold,01:54:50.920,Athens 2004,Triathlon,Individual men
19,ESP,eneko llanos,01:54:52.370,Athens 2004,Triathlon,Individual men
20,EST,marko albert,01:55:26.590,Athens 2004,Triathlon,Individual men
21,USA,andy potts,01:55:36.470,Athens 2004,Triathlon,Individual men
22,ESP,ivan rana,01:55:44.270,Athens 2004,Triathlon,Individual men
23,AUS,peter robertson,01:55:44.360,Athens 2004,Triathlon,Individual men
24,KAZ,dmitriy gaag,01:56:28.970,Athens 2004,Triathlon,Individual men
25,GER,sebastian dehmer,01:57:02.880,Athens 2004,Triathlon,Individual men
26,USA,victor plata,01:57:09.090,Athens 2004,Triathlon,Individual men
27,ARG,daniel fontana,01:57:14.200,Athens 2004,Triathlon,Individual men
28,CZE,filip ospaly,01:57:17.580,Athens 2004,Triathlon,Individual men
29,UKR,volodymyr polikarpenko,01:57:39.280,Athens 2004,Triathlon,Individual men
30,BRA,leandro macedo,01:57:39.360,Athens 2004,Triathlon,Individual men
31,JPN,hiroyuki nishiuchi,01:57:43.510,Athens 2004,Triathlon,Individual men
32,NZL,nathan richmond,01:58:01.940,Athens 2004,Triathlon,Individual men
33,BRA,paulo miyashiro,01:58:16.760,Athens 2004,Triathlon,Individual men
34,BER,tyler butterfield,01:58:26.990,Athens 2004,Triathlon,Individual men
35,VEN,gilberto gonzalez,01:59:12.200,Athens 2004,Triathlon,Individual men
36,AUT,norbert domnik,01:59:13.250,Athens 2004,Triathlon,Individual men
37,MEX,eligio cervantes,01:59:27.810,Athens 2004,Triathlon,Individual men
38,CAN,brent mcmahon,01:59:44.570,Athens 2004,Triathlon,Individual men
39,SUI,reto hug,02:01:40.430,Athens 2004,Triathlon,Individual men
40,BRA,juraci moreira junior,02:02:35.990,Athens 2004,Triathlon,Individual men
41,CZE,martin krnavek,02:02:54.590,Athens 2004,Triathlon,Individual men
42,HKG,chi wo daniel lee,02:03:30.390,Athens 2004,Triathlon,Individual men
43,MEX,javier rosas,02:04:03.970,Athens 2004,Triathlon,Individual men
44,GBR,marc jenkins,02:05:33.600,Athens 2004,Triathlon,Individual men
45,ESP,xavier llobet,Did not finish,Athens 2004,Triathlon,Individual men
46,UKR,andriy glushchenko,Did not finish,Athens 2004,Triathlon,Individual men
47,GRE,vassilios krommydas,Did not finish,Athens 2004,Triathlon,Individual men
48,RSA,conrad stolz,Did not finish,Athens 2004,Triathlon,Individual men
49,HUN,csaba kuttor,Did not start,Athens 2004,Triathlon,Individual men
0,NZL,hamish carter,01:51:07.730,Athens 2004,Triathlon,Individual women
1,NZL,bevan docherty,01:51:15.600,Athens 2004,Triathlon,Individual women
2,SUI,sven riederer,01:51:33.260,Athens 2004,Triathlon,Individual women
3,AUS,greg bennett,01:51:41.580,Athens 2004,Triathlon,Individual women
4,FRA,frederic belaubre,01:52:00.530,Athens 2004,Triathlon,Individual women
5,GER,andreas raelert,01:52:35.620,Athens 2004,Triathlon,Individual women
6,DEN,rasmus henning,01:52:37.320,Athens 2004,Triathlon,Individual women
7,SUI,olivier marceau,01:52:44.360,Athens 2004,Triathlon,Individual women
8,USA,hunter kemper,01:52:46.330,Athens 2004,Triathlon,Individual women
9,AUS,simon thompson,01:52:47.180,Athens 2004,Triathlon,Individual women
