,country,participant,result,olympic_game,discipline,event
0,,,816,Atlanta 1996,Basketball,basketball men
1,,,741,Atlanta 1996,Basketball,basketball men
2,,,664,Atlanta 1996,Basketball,basketball men
3,,,712,Atlanta 1996,Basketball,basketball men
4,,,674,Atlanta 1996,Basketball,basketball men
5,,,725,Atlanta 1996,Basketball,basketball men
6,,,666,Atlanta 1996,Basketball,basketball men
7,,,581,Atlanta 1996,Basketball,basketball men
8,,,535,Atlanta 1996,Basketball,basketball men
9,,,600,Atlanta 1996,Basketball,basketball men
10,,,446,Atlanta 1996,Basketball,basketball men
11,,,562,Atlanta 1996,Basketball,basketball men
0,,,819,Atlanta 1996,Basketball,basketball women
1,,,693,Atlanta 1996,Basketball,basketball women
2,,,580,Atlanta 1996,Basketball,basketball women
3,,,529,Atlanta 1996,Basketball,basketball women
4,,,619,Atlanta 1996,Basketball,basketball women
5,,,586,Atlanta 1996,Basketball,basketball women
6,,,608,Atlanta 1996,Basketball,basketball women
7,,,519,Atlanta 1996,Basketball,basketball women
8,,,523,Atlanta 1996,Basketball,basketball women
9,,,506,Atlanta 1996,Basketball,basketball women
10,,,460,Atlanta 1996,Basketball,basketball women
11,,,400,Atlanta 1996,Basketball,basketball women
