,country,participant,result,olympic_game,discipline,event
0,SUI,pascal richard,04:53:56.000,Atlanta 1996,Cycling Road,individual road race men
1,DEN,rolf soerensen,,Atlanta 1996,Cycling Road,individual road race men
2,GBR,max sciandri,,Atlanta 1996,Cycling Road,individual road race men
3,USA,frankie andreu,,Atlanta 1996,Cycling Road,individual road race men
4,FRA,richard virenque,,Atlanta 1996,Cycling Road,individual road race men
5,ESP,melchor mauri,,Atlanta 1996,Cycling Road,individual road race men
6,ITA,fabio baldato,,Atlanta 1996,Cycling Road,individual road race men
7,ITA,michele bartoli,,Atlanta 1996,Cycling Road,individual road race men
8,POL,zbigniew spruch,,Atlanta 1996,Cycling Road,individual road race men
9,BEL,johan museeuw,,Atlanta 1996,Cycling Road,individual road race men
10,DEN,jesper skibby,,Atlanta 1996,Cycling Road,individual road race men
11,USA,lance e. armstrong,,Atlanta 1996,Cycling Road,individual road race men
12,RUS,dmitri konyshev,,Atlanta 1996,Cycling Road,individual road race men
13,UKR,serhiy ushakov,,Atlanta 1996,Cycling Road,individual road race men
14,BEL,wilfried peeters,,Atlanta 1996,Cycling Road,individual road race men
15,GER,olaf ludwig,,Atlanta 1996,Cycling Road,individual road race men
16,FRA,laurent brochard,,Atlanta 1996,Cycling Road,individual road race men
17,LAT,arvis piziks,,Atlanta 1996,Cycling Road,individual road race men
18,AUS,neil stephens,,Atlanta 1996,Cycling Road,individual road race men
19,GER,erik zabel,,Atlanta 1996,Cycling Road,individual road race men
20,FRA,laurent jalabert,,Atlanta 1996,Cycling Road,individual road race men
21,LAT,kaspars ozers,,Atlanta 1996,Cycling Road,individual road race men
22,AUS,robbie mcewen,,Atlanta 1996,Cycling Road,individual road race men
23,EST,jaan kirsipuu,,Atlanta 1996,Cycling Road,individual road race men
24,BEL,frank vandenbroucke,,Atlanta 1996,Cycling Road,individual road race men
25,ESP,miguel indurain,,Atlanta 1996,Cycling Road,individual road race men
26,RUS,vasiliy davidenko,,Atlanta 1996,Cycling Road,individual road race men
27,GER,rolf aldag,,Atlanta 1996,Cycling Road,individual road race men
28,KAZ,andrey kivilev,,Atlanta 1996,Cycling Road,individual road race men
29,CZE,jan svorada,,Atlanta 1996,Cycling Road,individual road race men
30,LAT,juris silovs,,Atlanta 1996,Cycling Road,individual road race men
31,ITA,francesco casagrande,,Atlanta 1996,Cycling Road,individual road race men
32,UKR,andriy chmil,,Atlanta 1996,Cycling Road,individual road race men
33,SWE,michel lafis,,Atlanta 1996,Cycling Road,individual road race men
34,SWE,glenn magnusson,,Atlanta 1996,Cycling Road,individual road race men
35,EST,lauri aus,,Atlanta 1996,Cycling Road,individual road race men
36,ITA,maurizio fondriest,,Atlanta 1996,Cycling Road,individual road race men
37,NED,erik dekker,,Atlanta 1996,Cycling Road,individual road race men
38,POR,orlando rodrigues,,Atlanta 1996,Cycling Road,individual road race men
39,DEN,brian holm sörensen,,Atlanta 1996,Cycling Road,individual road race men
40,CAN,stephen bauer,,Atlanta 1996,Cycling Road,individual road race men
41,DEN,lars michaelsen,,Atlanta 1996,Cycling Road,individual road race men
42,UKR,oleh pankov,,Atlanta 1996,Cycling Road,individual road race men
43,AUT,werner riebenbauer,,Atlanta 1996,Cycling Road,individual road race men
44,NED,erik breukink,,Atlanta 1996,Cycling Road,individual road race men
45,AUT,harald morscher,,Atlanta 1996,Cycling Road,individual road race men
46,COL,ruber marin,,Atlanta 1996,Cycling Road,individual road race men
47,POR,pedro lopes,,Atlanta 1996,Cycling Road,individual road race men
48,EST,tamps lauk,,Atlanta 1996,Cycling Road,individual road race men
