,country,participant,result,olympic_game,discipline,event
0,RUS,aleksandr beketov,,Atlanta 1996,Fencing,épée individual men
1,CUB,ivan trevejo,,Atlanta 1996,Fencing,épée individual men
2,HUN,geza imre,,Atlanta 1996,Fencing,épée individual men
3,HUN,ivan kovacs,,Atlanta 1996,Fencing,épée individual men
4,ITA,sandro cuomo,,Atlanta 1996,Fencing,épée individual men
5,FRA,jean-michel henry,,Atlanta 1996,Fencing,épée individual men
6,EST,kaido kaaberma,,Atlanta 1996,Fencing,épée individual men
7,GER,mariusz strzalka,,Atlanta 1996,Fencing,épée individual men
8,FRA,eric srecki,,Atlanta 1996,Fencing,épée individual men
9,GER,arnd rüdiger schmitt,,Atlanta 1996,Fencing,épée individual men
10,ITA,angelo mazzoni,,Atlanta 1996,Fencing,épée individual men
11,FRA,robert leroux,,Atlanta 1996,Fencing,épée individual men
12,COL,mauricio rivas nieto,,Atlanta 1996,Fencing,épée individual men
13,RUS,pavel kolobkov,,Atlanta 1996,Fencing,épée individual men
14,EST,andrus kajak,,Atlanta 1996,Fencing,épée individual men
15,GER,elmar borrmann,,Atlanta 1996,Fencing,épée individual men
16,SWE,peter vanky,,Atlanta 1996,Fencing,épée individual men
17,ITA,maurizio randazzo,,Atlanta 1996,Fencing,épée individual men
18,CAN,jean-marc chouinard,,Atlanta 1996,Fencing,épée individual men
19,CAN,bogdan edmund nowosielski,,Atlanta 1996,Fencing,épée individual men
20,SUI,nic burgin,,Atlanta 1996,Fencing,épée individual men
21,HUN,krisztian kulcsar,,Atlanta 1996,Fencing,épée individual men
22,KOR,roy-sung yang,,Atlanta 1996,Fencing,épée individual men
23,CHN,gang zhao,,Atlanta 1996,Fencing,épée individual men
24,USA,james carpenter,,Atlanta 1996,Fencing,épée individual men
25,BLR,vitaliy zakharov,,Atlanta 1996,Fencing,épée individual men
26,KOR,tae-seok jang,,Atlanta 1996,Fencing,épée individual men
27,USA,mike marx,,Atlanta 1996,Fencing,épée individual men
28,ESP,cesar gonzalez,,Atlanta 1996,Fencing,épée individual men
29,RUS,valery zakharevich,,Atlanta 1996,Fencing,épée individual men
30,USA,tamir bloom,,Atlanta 1996,Fencing,épée individual men
31,ROU,george epurescu,,Atlanta 1996,Fencing,épée individual men
32,ESP,oscar fernandez,,Atlanta 1996,Fencing,épée individual men
33,SUI,olivier jaquet,,Atlanta 1996,Fencing,épée individual men
34,EST,meelis loit,,Atlanta 1996,Fencing,épée individual men
35,ESP,fernando pena,,Atlanta 1996,Fencing,épée individual men
36,CZE,roman jecminek,,Atlanta 1996,Fencing,épée individual men
37,CAN,james ransom,,Atlanta 1996,Fencing,épée individual men
38,POR,nuno frazao,,Atlanta 1996,Fencing,épée individual men
39,CHI,paris a. inostroza,,Atlanta 1996,Fencing,épée individual men
40,COL,juan miguel paz dupriez,,Atlanta 1996,Fencing,épée individual men
41,KOR,sang-ki lee,,Atlanta 1996,Fencing,épée individual men
42,ROU,gabriel pantelimon,,Atlanta 1996,Fencing,épée individual men
43,BUL,ilya mechkov,,Atlanta 1996,Fencing,épée individual men
44,ROU,aurel bratu,,Atlanta 1996,Fencing,épée individual men
0,RUS,aleksandr beketov,,Atlanta 1996,Fencing,épée individual women
1,CUB,ivan trevejo,,Atlanta 1996,Fencing,épée individual women
2,HUN,geza imre,,Atlanta 1996,Fencing,épée individual women
3,HUN,ivan kovacs,,Atlanta 1996,Fencing,épée individual women
4,ITA,sandro cuomo,,Atlanta 1996,Fencing,épée individual women
5,FRA,jean-michel henry,,Atlanta 1996,Fencing,épée individual women
6,EST,kaido kaaberma,,Atlanta 1996,Fencing,épée individual women
7,GER,mariusz strzalka,,Atlanta 1996,Fencing,épée individual women
8,FRA,eric srecki,,Atlanta 1996,Fencing,épée individual women
9,GER,arnd rüdiger schmitt,,Atlanta 1996,Fencing,épée individual women
10,ITA,angelo mazzoni,,Atlanta 1996,Fencing,épée individual women
11,FRA,robert leroux,,Atlanta 1996,Fencing,épée individual women
12,COL,mauricio rivas nieto,,Atlanta 1996,Fencing,épée individual women
13,RUS,pavel kolobkov,,Atlanta 1996,Fencing,épée individual women
14,EST,andrus kajak,,Atlanta 1996,Fencing,épée individual women
15,GER,elmar borrmann,,Atlanta 1996,Fencing,épée individual women
16,SWE,peter vanky,,Atlanta 1996,Fencing,épée individual women
17,ITA,maurizio randazzo,,Atlanta 1996,Fencing,épée individual women
18,CAN,jean-marc chouinard,,Atlanta 1996,Fencing,épée individual women
19,CAN,bogdan edmund nowosielski,,Atlanta 1996,Fencing,épée individual women
20,SUI,nic burgin,,Atlanta 1996,Fencing,épée individual women
21,HUN,krisztian kulcsar,,Atlanta 1996,Fencing,épée individual women
22,KOR,roy-sung yang,,Atlanta 1996,Fencing,épée individual women
23,CHN,gang zhao,,Atlanta 1996,Fencing,épée individual women
24,USA,james carpenter,,Atlanta 1996,Fencing,épée individual women
25,BLR,vitaliy zakharov,,Atlanta 1996,Fencing,épée individual women
26,KOR,tae-seok jang,,Atlanta 1996,Fencing,épée individual women
27,USA,mike marx,,Atlanta 1996,Fencing,épée individual women
28,ESP,cesar gonzalez,,Atlanta 1996,Fencing,épée individual women
29,RUS,valery zakharevich,,Atlanta 1996,Fencing,épée individual women
30,USA,tamir bloom,,Atlanta 1996,Fencing,épée individual women
31,ROU,george epurescu,,Atlanta 1996,Fencing,épée individual women
32,ESP,oscar fernandez,,Atlanta 1996,Fencing,épée individual women
33,SUI,olivier jaquet,,Atlanta 1996,Fencing,épée individual women
34,EST,meelis loit,,Atlanta 1996,Fencing,épée individual women
35,ESP,fernando pena,,Atlanta 1996,Fencing,épée individual women
36,CZE,roman jecminek,,Atlanta 1996,Fencing,épée individual women
37,CAN,james ransom,,Atlanta 1996,Fencing,épée individual women
38,POR,nuno frazao,,Atlanta 1996,Fencing,épée individual women
39,CHI,paris a. inostroza,,Atlanta 1996,Fencing,épée individual women
40,COL,juan miguel paz dupriez,,Atlanta 1996,Fencing,épée individual women
41,KOR,sang-ki lee,,Atlanta 1996,Fencing,épée individual women
42,ROU,gabriel pantelimon,,Atlanta 1996,Fencing,épée individual women
43,BUL,ilya mechkov,,Atlanta 1996,Fencing,épée individual women
44,ROU,aurel bratu,,Atlanta 1996,Fencing,épée individual women
0,,,,Atlanta 1996,Fencing,épée team men
1,,,,Atlanta 1996,Fencing,épée team men
2,,,,Atlanta 1996,Fencing,épée team men
3,,,,Atlanta 1996,Fencing,épée team men
4,,,,Atlanta 1996,Fencing,épée team men
5,,,,Atlanta 1996,Fencing,épée team men
6,,,,Atlanta 1996,Fencing,épée team men
7,,,,Atlanta 1996,Fencing,épée team men
8,,,,Atlanta 1996,Fencing,épée team men
9,,,,Atlanta 1996,Fencing,épée team men
10,,,,Atlanta 1996,Fencing,épée team men
0,,,,Atlanta 1996,Fencing,épée team women
1,,,,Atlanta 1996,Fencing,épée team women
2,,,,Atlanta 1996,Fencing,épée team women
3,,,,Atlanta 1996,Fencing,épée team women
4,,,,Atlanta 1996,Fencing,épée team women
5,,,,Atlanta 1996,Fencing,épée team women
6,,,,Atlanta 1996,Fencing,épée team women
7,,,,Atlanta 1996,Fencing,épée team women
8,,,,Atlanta 1996,Fencing,épée team women
9,,,,Atlanta 1996,Fencing,épée team women
10,,,,Atlanta 1996,Fencing,épée team women
0,ITA,alessandro puccini,,Atlanta 1996,Fencing,foil individual men
1,FRA,lionel plumenail,,Atlanta 1996,Fencing,foil individual men
2,FRA,franck boidin,,Atlanta 1996,Fencing,foil individual men
3,GER,wolfgang wienand,,Atlanta 1996,Fencing,foil individual men
