,country,participant,result,olympic_game,discipline,event
0,USA,jeff norman rouse,,Atlanta 1996,Swimming,100m backstroke men
1,CUB,rodolfo falcon cabrera,,Atlanta 1996,Swimming,100m backstroke men
2,CUB,neisser bent,,Atlanta 1996,Swimming,100m backstroke men
3,ESP,martin lopez zubero,,Atlanta 1996,Swimming,100m backstroke men
4,USA,tripp schwenk,,Atlanta 1996,Swimming,100m backstroke men
5,ITA,emanuele merisi,,Atlanta 1996,Swimming,100m backstroke men
6,GER,ralf braun,,Atlanta 1996,Swimming,100m backstroke men
7,FRA,franck schott,,Atlanta 1996,Swimming,100m backstroke men
8,JPN,keitaro konnai,,Atlanta 1996,Swimming,100m backstroke men
9,GBR,neil willey,,Atlanta 1996,Swimming,100m backstroke men
10,JPN,hajime itoi,,Atlanta 1996,Swimming,100m backstroke men
11,POL,mariusz siembida,,Atlanta 1996,Swimming,100m backstroke men
12,LTU,darius grigalionis,,Atlanta 1996,Swimming,100m backstroke men
13,GER,stev theloke,,Atlanta 1996,Swimming,100m backstroke men
14,AUS,steven dewick,,Atlanta 1996,Swimming,100m backstroke men
15,CAN,robert braknis,,Atlanta 1996,Swimming,100m backstroke men
16,RUS,vladimir selkov,,Atlanta 1996,Swimming,100m backstroke men
17,CAN,chris renaud,,Atlanta 1996,Swimming,100m backstroke men
18,TUR,derya buyukuncu,,Atlanta 1996,Swimming,100m backstroke men
19,UKR,volodymyr nikolaychuk,,Atlanta 1996,Swimming,100m backstroke men
20,ROU,nicolae butacu,,Atlanta 1996,Swimming,100m backstroke men
21,ISR,eithan urbach,,Atlanta 1996,Swimming,100m backstroke men
22,NZL,jonathan winter,,Atlanta 1996,Swimming,100m backstroke men
23,BRA,rogerio romero,,Atlanta 1996,Swimming,100m backstroke men
24,HUN,tamas deutsch,,Atlanta 1996,Swimming,100m backstroke men
25,CHN,yi zhao,,Atlanta 1996,Swimming,100m backstroke men
26,GBR,martin clifford harris,,Atlanta 1996,Swimming,100m backstroke men
27,LTU,mindaugas spokas,,Atlanta 1996,Swimming,100m backstroke men
28,MEX,carlos arena,,Atlanta 1996,Swimming,100m backstroke men
29,POR,nuno laurentino,,Atlanta 1996,Swimming,100m backstroke men
30,PHI,raymond anthony papa,,Atlanta 1996,Swimming,100m backstroke men
31,MAS,alex lim,,Atlanta 1996,Swimming,100m backstroke men
32,SVK,miroslav machovic,,Atlanta 1996,Swimming,100m backstroke men
33,CRO,tomislav karlo,,Atlanta 1996,Swimming,100m backstroke men
34,BAR,nicholas neckles,,Atlanta 1996,Swimming,100m backstroke men
35,GRE,panagiotis adamidis,,Atlanta 1996,Swimming,100m backstroke men
36,CZE,rastislav bizub,,Atlanta 1996,Swimming,100m backstroke men
37,THA,dulyarit phuangthong,,Atlanta 1996,Swimming,100m backstroke men
38,KOR,min-seok kim,,Atlanta 1996,Swimming,100m backstroke men
39,ISL,logi jes kristjansson,,Atlanta 1996,Swimming,100m backstroke men
40,IRL,adrian o'connor,,Atlanta 1996,Swimming,100m backstroke men
41,KAZ,sergey ushkalov,,Atlanta 1996,Swimming,100m backstroke men
42,MDA,artur elizarov,,Atlanta 1996,Swimming,100m backstroke men
43,CHI,nicolas rajcevich,,Atlanta 1996,Swimming,100m backstroke men
44,KGZ,konstantin priahin,,Atlanta 1996,Swimming,100m backstroke men
45,SGP,gerald koh,,Atlanta 1996,Swimming,100m backstroke men
46,SUR,mike fung a wing,,Atlanta 1996,Swimming,100m backstroke men
47,MOZ,leandro jorge,,Atlanta 1996,Swimming,100m backstroke men
48,KUW,fahad s.a.b.s. alotaibi,,Atlanta 1996,Swimming,100m backstroke men
