,country,participant,result,olympic_game,discipline,event
0,,,938,Barcelona 1992,Basketball,basketball men
1,,,681,Barcelona 1992,Basketball,basketball men
2,,,753,Barcelona 1992,Basketball,basketball men
3,,,660,Barcelona 1992,Basketball,basketball men
4,,,692,Barcelona 1992,Basketball,basketball men
5,,,686,Barcelona 1992,Basketball,basketball men
6,,,620,Barcelona 1992,Basketball,basketball men
7,,,692,Barcelona 1992,Basketball,basketball men
8,,,571,Barcelona 1992,Basketball,basketball men
9,,,478,Barcelona 1992,Basketball,basketball men
10,,,573,Barcelona 1992,Basketball,basketball men
11,,,547,Barcelona 1992,Basketball,basketball men
0,,,399,Barcelona 1992,Basketball,basketball women
1,,,380,Barcelona 1992,Basketball,basketball women
2,,,479,Barcelona 1992,Basketball,basketball women
3,,,390,Barcelona 1992,Basketball,basketball women
4,,,332,Barcelona 1992,Basketball,basketball women
5,,,315,Barcelona 1992,Basketball,basketball women
6,,,385,Barcelona 1992,Basketball,basketball women
7,,,353,Barcelona 1992,Basketball,basketball women
