,country,participant,result,olympic_game,discipline,event
0,PRK,chol su choi,,Barcelona 1992,Boxing,48-51kg flyweight men
1,CUB,raul gonzalez sanchez,,Barcelona 1992,Boxing,48-51kg flyweight men
2,USA,timothy austin,,Barcelona 1992,Boxing,48-51kg flyweight men
3,HUN,istvan kovacs,,Barcelona 1992,Boxing,48-51kg flyweight men
4,TAN,benjamin mwangata,,Barcelona 1992,Boxing,48-51kg flyweight men
5,VEN,david w. serradas suarez,,Barcelona 1992,Boxing,48-51kg flyweight men
6,DOM,hector julio avila,,Barcelona 1992,Boxing,48-51kg flyweight men
7,AUS,robert loyd peden,,Barcelona 1992,Boxing,48-51kg flyweight men
8,BUL,yulian mikhaylov strogov,,Barcelona 1992,Boxing,48-51kg flyweight men
9,BRA,luiz claudio freitas,,Barcelona 1992,Boxing,48-51kg flyweight men
10,NGR,moses malagu,,Barcelona 1992,Boxing,48-51kg flyweight men
11,GER,mario loch,,Barcelona 1992,Boxing,48-51kg flyweight men
12,PHI,isidro j.r. vicera,,Barcelona 1992,Boxing,48-51kg flyweight men
13,DEN,jesper david jensen,,Barcelona 1992,Boxing,48-51kg flyweight men
14,GBR,paul andrew ingle,,Barcelona 1992,Boxing,48-51kg flyweight men
15,ALG,yacine chikh,,Barcelona 1992,Boxing,48-51kg flyweight men
16,PNG,ronnie noan,,Barcelona 1992,Boxing,48-51kg flyweight men
17,KOR,gwang hyung han,,Barcelona 1992,Boxing,48-51kg flyweight men
18,MEX,narciso gonzalez rossano,,Barcelona 1992,Boxing,48-51kg flyweight men
19,POL,leszek olszewski,,Barcelona 1992,Boxing,48-51kg flyweight men
20,IRL,richard paul buttimer,,Barcelona 1992,Boxing,48-51kg flyweight men
21,THA,vichai khadpo,,Barcelona 1992,Boxing,48-51kg flyweight men
22,PUR,angel chacon rodriguez,,Barcelona 1992,Boxing,48-51kg flyweight men
23,CHN,gang liu,,Barcelona 1992,Boxing,48-51kg flyweight men
24,TCH,stanislav vagasky,,Barcelona 1992,Boxing,48-51kg flyweight men
25,IND,dharmendra yadav,,Barcelona 1992,Boxing,48-51kg flyweight men
26,MAR,hamid berhili,,Barcelona 1992,Boxing,48-51kg flyweight men
27,GHA,alexander baba,,Barcelona 1992,Boxing,48-51kg flyweight men
28,EGY,moustafa hassan esmail,,Barcelona 1992,Boxing,48-51kg flyweight men
29,EUN,anatoly filippov,,Barcelona 1992,Boxing,48-51kg flyweight men
30,CAN,marty o'donnell,,Barcelona 1992,Boxing,48-51kg flyweight men
0,CUB,rogelio marcelo garcia,,Barcelona 1992,Boxing,48kg lightflyweight men
1,BUL,daniel petrov bojinov,,Barcelona 1992,Boxing,48kg lightflyweight men
2,GER,jan quast,,Barcelona 1992,Boxing,48kg lightflyweight men
3,PHI,roel velasco,,Barcelona 1992,Boxing,48kg lightflyweight men
4,GBR,rowan anthony williams,,Barcelona 1992,Boxing,48kg lightflyweight men
5,ESP,rafael lozano muñoz,,Barcelona 1992,Boxing,48kg lightflyweight men
6,HUN,pal lakatos,,Barcelona 1992,Boxing,48kg lightflyweight men
7,ROU,valentin barbu,,Barcelona 1992,Boxing,48kg lightflyweight men
8,GHA,stephen dotse koblah ahialey,,Barcelona 1992,Boxing,48kg lightflyweight men
9,IND,rajendra prasad,,Barcelona 1992,Boxing,48kg lightflyweight men
10,MGL,tsogtjargal erdenotsogtyn,,Barcelona 1992,Boxing,48kg lightflyweight men
11,USA,eric joseph griffin,,Barcelona 1992,Boxing,48kg lightflyweight men
12,PRK,song chol o,,Barcelona 1992,Boxing,48kg lightflyweight men
13,KOR,dong-beom jo,,Barcelona 1992,Boxing,48kg lightflyweight men
14,JPN,tadahiro sasaki,,Barcelona 1992,Boxing,48kg lightflyweight men
15,THA,phamuansak phasuwan,,Barcelona 1992,Boxing,48kg lightflyweight men
16,KEN,james wanene,,Barcelona 1992,Boxing,48kg lightflyweight men
17,POL,andrzej rzany,,Barcelona 1992,Boxing,48kg lightflyweight men
18,SWZ,mfamasibili tibonisele mnisi,,Barcelona 1992,Boxing,48kg lightflyweight men
19,COL,luis fernando retayud zubieta,,Barcelona 1992,Boxing,48kg lightflyweight men
20,RSA,fana thwala,,Barcelona 1992,Boxing,48kg lightflyweight men
21,DOM,fausto del rosario mercedes,,Barcelona 1992,Boxing,48kg lightflyweight men
22,PUR,nelson dieppa gerena,,Barcelona 1992,Boxing,48kg lightflyweight men
23,MAD,anicet rasoanaivo,,Barcelona 1992,Boxing,48kg lightflyweight men
