,country,participant,result,olympic_game,discipline,event
0,ITA,fabio casartelli,04:35:21.000,Barcelona 1992,Cycling Road,individual road race men
1,NED,erik dekker,,Barcelona 1992,Cycling Road,individual road race men
2,LAT,dainis ozols,,Barcelona 1992,Cycling Road,individual road race men
3,GER,erik zabel,,Barcelona 1992,Cycling Road,individual road race men
4,EST,lauri aus,,Barcelona 1992,Cycling Road,individual road race men
5,POL,andrzej sypytkowski,,Barcelona 1992,Cycling Road,individual road race men
6,FRA,sylvain bolay,,Barcelona 1992,Cycling Road,individual road race men
7,LAT,arvis piziks,,Barcelona 1992,Cycling Road,individual road race men
8,EST,raido kodanipork,,Barcelona 1992,Cycling Road,individual road race men
9,AUS,grant rice,,Barcelona 1992,Cycling Road,individual road race men
10,DEN,lars michaelsen,,Barcelona 1992,Cycling Road,individual road race men
11,SWE,michel lafis,,Barcelona 1992,Cycling Road,individual road race men
12,SUI,urs guller,,Barcelona 1992,Cycling Road,individual road race men
13,USA,lance e. armstrong,,Barcelona 1992,Cycling Road,individual road race men
14,ESP,angel edo alsina,,Barcelona 1992,Cycling Road,individual road race men
15,AUS,darren ross smith,,Barcelona 1992,Cycling Road,individual road race men
16,NED,richard groenendaal,,Barcelona 1992,Cycling Road,individual road race men
17,DEN,christian foget andersen,,Barcelona 1992,Cycling Road,individual road race men
18,SUI,roland meier,,Barcelona 1992,Cycling Road,individual road race men
19,ITA,davide rebellin,,Barcelona 1992,Cycling Road,individual road race men
20,JPN,tomokazu fujino,,Barcelona 1992,Cycling Road,individual road race men
21,POL,jacek mickiewicz,,Barcelona 1992,Cycling Road,individual road race men
22,LTU,saulius sarkauskas,,Barcelona 1992,Cycling Road,individual road race men
23,ESP,kiko garcia arnandis,,Barcelona 1992,Cycling Road,individual road race men
24,TCH,frantisek trkal,,Barcelona 1992,Cycling Road,individual road race men
25,CAN,gianni vignaduzzi,,Barcelona 1992,Cycling Road,individual road race men
26,TCH,miloslav kejval,,Barcelona 1992,Cycling Road,individual road race men
27,BRA,wanderley magalhaes azevedo,,Barcelona 1992,Cycling Road,individual road race men
28,AUT,peter luttenberger,,Barcelona 1992,Cycling Road,individual road race men
29,GER,steffen wesemann,,Barcelona 1992,Cycling Road,individual road race men
30,AND,xavier perez font,,Barcelona 1992,Cycling Road,individual road race men
31,IRL,kevin patrick kimmage,,Barcelona 1992,Cycling Road,individual road race men
32,EUN,svyatoslav ryabushenko,,Barcelona 1992,Cycling Road,individual road race men
33,DEN,claus michal moller,,Barcelona 1992,Cycling Road,individual road race men
34,IRL,conor henry,,Barcelona 1992,Cycling Road,individual road race men
35,GBR,simeon hempsall,,Barcelona 1992,Cycling Road,individual road race men
36,USA,timothy peddie,,Barcelona 1992,Cycling Road,individual road race men
37,NOR,bjorn martin stenersen,,Barcelona 1992,Cycling Road,individual road race men
38,CHN,xuezhong tang,,Barcelona 1992,Cycling Road,individual road race men
39,VEN,carlos alberto maya,,Barcelona 1992,Cycling Road,individual road race men
40,CAN,nathael sagard,,Barcelona 1992,Cycling Road,individual road race men
41,IOA,aleksandar milenkovic,,Barcelona 1992,Cycling Road,individual road race men
42,ECU,juan carlos rosero,,Barcelona 1992,Cycling Road,individual road race men
43,CHN,zhengjun zhu,,Barcelona 1992,Cycling Road,individual road race men
44,NOR,lars kristian johnsen,,Barcelona 1992,Cycling Road,individual road race men
45,VEN,hussein monsalve,,Barcelona 1992,Cycling Road,individual road race men
46,EUN,pyotr koshelenko,,Barcelona 1992,Cycling Road,individual road race men
47,FRA,pascal hervé,,Barcelona 1992,Cycling Road,individual road race men
48,COL,jose a. robles lopez,,Barcelona 1992,Cycling Road,individual road race men
49,URU,federico a. moreira wuilman,,Barcelona 1992,Cycling Road,individual road race men
50,NZL,graeme john miller,,Barcelona 1992,Cycling Road,individual road race men
51,COL,hector ivan palacio montoya,,Barcelona 1992,Cycling Road,individual road race men
52,LAT,arnolds udris,,Barcelona 1992,Cycling Road,individual road race men
53,AUT,andreas langl,,Barcelona 1992,Cycling Road,individual road race men
54,POL,zbigniew piatek,,Barcelona 1992,Cycling Road,individual road race men
55,AUT,georg totschnig,,Barcelona 1992,Cycling Road,individual road race men
56,NOR,karsten stenersen,,Barcelona 1992,Cycling Road,individual road race men
57,HUN,csaba steig,,Barcelona 1992,Cycling Road,individual road race men
58,NZL,brian andrew fowler,,Barcelona 1992,Cycling Road,individual road race men
59,GBR,david alan cook,,Barcelona 1992,Cycling Road,individual road race men
60,GBR,matt stephens,,Barcelona 1992,Cycling Road,individual road race men
61,CAN,jacques-dalma landry,,Barcelona 1992,Cycling Road,individual road race men
62,SLO,valter bonca,,Barcelona 1992,Cycling Road,individual road race men
63,CHN,shusen wang,,Barcelona 1992,Cycling Road,individual road race men
64,IRL,paul slane,,Barcelona 1992,Cycling Road,individual road race men
65,EUN,aleksey bochkov,,Barcelona 1992,Cycling Road,individual road race men
66,SWE,michael andersson,,Barcelona 1992,Cycling Road,individual road race men
67,GER,christian meyer,,Barcelona 1992,Cycling Road,individual road race men
68,TCH,pavel padrnos,,Barcelona 1992,Cycling Road,individual road race men
69,SUI,armin meier,,Barcelona 1992,Cycling Road,individual road race men
70,ITA,mirco gualdi,,Barcelona 1992,Cycling Road,individual road race men
71,NED,rob compas,,Barcelona 1992,Cycling Road,individual road race men
72,NZL,thomas james ha d. bamford,,Barcelona 1992,Cycling Road,individual road race men
73,URU,sergio d. tesitore cabrera,,Barcelona 1992,Cycling Road,individual road race men
74,USA,robert c. mionske,,Barcelona 1992,Cycling Road,individual road race men
75,COL,libardo niño corredor,,Barcelona 1992,Cycling Road,individual road race men
76,SWE,glenn magnusson,,Barcelona 1992,Cycling Road,individual road race men
77,IOA,radisa cubric,,Barcelona 1992,Cycling Road,individual road race men
78,MGL,ölzii-orshikh jamsrangiin,,Barcelona 1992,Cycling Road,individual road race men
79,HUN,karoly eisenkrammer,,Barcelona 1992,Cycling Road,individual road race men
80,RSA,scott richardson,,Barcelona 1992,Cycling Road,individual road race men
81,AND,emili perez font,,Barcelona 1992,Cycling Road,individual road race men
82,MGL,mönkhbat dashjamtsyn,,Barcelona 1992,Cycling Road,individual road race men
83,JPN,kozo fujita,,Barcelona 1992,Cycling Road,individual road race men
84,AND,joan josep gonzalez fuentes,Did not finish,Barcelona 1992,Cycling Road,individual road race men
85,ANT,robert peters,Did not finish,Barcelona 1992,Cycling Road,individual road race men
86,ANT,robert frances marsh,Did not finish,Barcelona 1992,Cycling Road,individual road race men
87,ARU,lucien pedro lodevicus dirksz,Did not finish,Barcelona 1992,Cycling Road,individual road race men
88,ARU,gerard leendert van vliet,Did not finish,Barcelona 1992,Cycling Road,individual road race men
