,country,participant,result,olympic_game,discipline,event
0,ESP,jose manuel moreno perinan,00:01:03.342,Barcelona 1992,Cycling Track,1km time trial men
1,AUS,shane kelly,00:01:04.288,Barcelona 1992,Cycling Track,1km time trial men
2,USA,erin hartwell,00:01:04.753,Barcelona 1992,Cycling Track,1km time trial men
3,GER,jens glücklich,00:01:04.798,Barcelona 1992,Cycling Track,1km time trial men
4,ITA,adler capelli,00:01:05.065,Barcelona 1992,Cycling Track,1km time trial men
5,FRA,frederic lancien,00:01:05.157,Barcelona 1992,Cycling Track,1km time trial men
6,NZL,jon david andrews,00:01:05.240,Barcelona 1992,Cycling Track,1km time trial men
7,TTO,gene samuel,00:01:05.485,Barcelona 1992,Cycling Track,1km time trial men
8,NED,dirk-jan van hameren,00:01:05.524,Barcelona 1992,Cycling Track,1km time trial men
9,JPN,keiji kojima,00:01:05.994,Barcelona 1992,Cycling Track,1km time trial men
10,LAT,ingus veips,00:01:06.074,Barcelona 1992,Cycling Track,1km time trial men
11,EUN,aleksandr kirichenko,00:01:06.137,Barcelona 1992,Cycling Track,1km time trial men
12,AUT,christian meidlinger,00:01:06.509,Barcelona 1992,Cycling Track,1km time trial men
13,GBR,anthony alexander stirrat,00:01:06.522,Barcelona 1992,Cycling Track,1km time trial men
14,FIN,mika ilkka hamalainen,00:01:06.808,Barcelona 1992,Cycling Track,1km time trial men
15,SUI,rocco travella,00:01:06.811,Barcelona 1992,Cycling Track,1km time trial men
16,ECU,mario pons,00:01:06.878,Barcelona 1992,Cycling Track,1km time trial men
17,MEX,cesar augusto muciño arvizu,00:01:06.984,Barcelona 1992,Cycling Track,1km time trial men
18,BEL,tom steels,00:01:07.085,Barcelona 1992,Cycling Track,1km time trial men
19,POL,grzegorz krejner,00:01:07.235,Barcelona 1992,Cycling Track,1km time trial men
20,BUL,kiril georgiev,00:01:07.371,Barcelona 1992,Cycling Track,1km time trial men
21,ARG,sergio andres rolando,00:01:08.267,Barcelona 1992,Cycling Track,1km time trial men
22,CAN,kurt innes,00:01:08.593,Barcelona 1992,Cycling Track,1km time trial men
23,BAR,livingstone alleyne,00:01:09.014,Barcelona 1992,Cycling Track,1km time trial men
24,COL,jose velasquez,00:01:10.143,Barcelona 1992,Cycling Track,1km time trial men
25,RSA,sean bloch,00:01:10.145,Barcelona 1992,Cycling Track,1km time trial men
26,INA,herry janto setijawan,00:01:10.342,Barcelona 1992,Cycling Track,1km time trial men
27,IRI,mohammad reza banna,00:01:11.036,Barcelona 1992,Cycling Track,1km time trial men
28,JAM,andrew mark myers,00:01:13.186,Barcelona 1992,Cycling Track,1km time trial men
