,country,participant,result,olympic_game,discipline,event
0,ESP,jordi calafat,50.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
1,USA,kevin burnham,66.7,Barcelona 1992,Sailing,470 - Two Person Dinghy men
2,EST,tonu toniste,68.7,Barcelona 1992,Sailing,470 - Two Person Dinghy men
3,FIN,petri johannes leskinen,69.7,Barcelona 1992,Sailing,470 - Two Person Dinghy men
4,NOR,pal mccarthy,71.7,Barcelona 1992,Sailing,470 - Two Person Dinghy men
5,GBR,andrew galbraith hemmings,76.4,Barcelona 1992,Sailing,470 - Two Person Dinghy men
6,NZL,jon robert bilger,80.4,Barcelona 1992,Sailing,470 - Two Person Dinghy men
7,GER,rolf schmidt,82.4,Barcelona 1992,Sailing,470 - Two Person Dinghy men
8,ISR,erez shemesh,90.7,Barcelona 1992,Sailing,470 - Two Person Dinghy men
9,SWE,urban lagneus,97.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
10,ITA,sandro montefusco,101.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
11,JPN,motohiro hirobe,106.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
12,BRA,eduardo costa melchert,116.7,Barcelona 1992,Sailing,470 - Two Person Dinghy men
13,CAN,nigel cochrane,120.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
14,HUN,gyula nyari,122.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
15,NED,jan kouwenhoven,132.7,Barcelona 1992,Sailing,470 - Two Person Dinghy men
16,GRE,thanasis pakhoumas,137.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
17,BEL,johan bellemans,137.7,Barcelona 1992,Sailing,470 - Two Person Dinghy men
18,DEN,hans jorgen riber,139.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
19,SUI,jodok wicki,140.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
20,POL,zdzislaw staniul,144.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
21,KOR,cheol yun,145.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
22,IND,farokh tarapore,147.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
23,POR,eduardo seruca,148.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
24,FRA,dimitri deruelle,148.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
25,AUT,markus piso,153.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
26,AND,oscar ramon,160.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
27,EUN,yevgeniy burmatnov,162.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
28,ARG,mariano agustin castro,162.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
29,BER,blythe walker,172.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
30,CYP,peter antony mega elton,175.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
31,LTU,valdas balciunas,176.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
32,JAM,robert james quinton,189.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
33,SGP,shaw her siew,192.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
34,RSA,alec gordon hugh lanham love,215.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
35,PAK,mamoon sadiq,231.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
36,ANG,eliseu ganda,248.0,Barcelona 1992,Sailing,470 - Two Person Dinghy men
0,ESP,theresa zabell,29.7,Barcelona 1992,Sailing,470 - Two Person Dinghy women
1,NZL,janet lee shearer,36.7,Barcelona 1992,Sailing,470 - Two Person Dinghy women
2,USA,jennifer isler,40.7,Barcelona 1992,Sailing,470 - Two Person Dinghy women
3,EUN,olena pakholchik,43.0,Barcelona 1992,Sailing,470 - Two Person Dinghy women
4,JPN,yumiko shige,53.7,Barcelona 1992,Sailing,470 - Two Person Dinghy women
5,FRA,florence le brun,65.7,Barcelona 1992,Sailing,470 - Two Person Dinghy women
6,ITA,maria quarra,68.7,Barcelona 1992,Sailing,470 - Two Person Dinghy women
7,GER,peggy hardwiger,71.7,Barcelona 1992,Sailing,470 - Two Person Dinghy women
8,AUS,addy elizabeth bucek,80.4,Barcelona 1992,Sailing,470 - Two Person Dinghy women
9,FIN,anna marita slunga-tallberg,89.7,Barcelona 1992,Sailing,470 - Two Person Dinghy women
10,CAN,sarah mclean,94.7,Barcelona 1992,Sailing,470 - Two Person Dinghy women
11,GBR,sue carr,97.0,Barcelona 1992,Sailing,470 - Two Person Dinghy women
12,DEN,marianne halfdan nielsen,98.4,Barcelona 1992,Sailing,470 - Two Person Dinghy women
13,NOR,ida katrine andersen,100.0,Barcelona 1992,Sailing,470 - Two Person Dinghy women
14,BRA,monica scheel,100.7,Barcelona 1992,Sailing,470 - Two Person Dinghy women
15,TCH,renata srbova,112.0,Barcelona 1992,Sailing,470 - Two Person Dinghy women
16,MEX,margarita pazos gonzalez,126.0,Barcelona 1992,Sailing,470 - Two Person Dinghy women
0,NZL,barbara kendall,47.8,Barcelona 1992,Sailing,board lechner women
1,CHN,xiaodong zhang,65.8,Barcelona 1992,Sailing,board lechner women
2,NED,dorien de vries,68.7,Barcelona 1992,Sailing,board lechner women
3,FRA,maud herbert,78.0,Barcelona 1992,Sailing,board lechner women
4,USA,carrie butler-beashel,95.7,Barcelona 1992,Sailing,board lechner women
5,GBR,penny wilson,99.4,Barcelona 1992,Sailing,board lechner women
6,ITA,alessandra sensini,101.4,Barcelona 1992,Sailing,board lechner women
7,NOR,jorunn horgen,102.7,Barcelona 1992,Sailing,board lechner women
8,POL,joanna burzynska,122.7,Barcelona 1992,Sailing,board lechner women
9,AUS,fiona cynthia taylor,136.0,Barcelona 1992,Sailing,board lechner women
10,HKG,lai shan lee,143.0,Barcelona 1992,Sailing,board lechner women
11,ESP,mireia casas,155.7,Barcelona 1992,Sailing,board lechner women
12,ISV,lisa neuburger,160.7,Barcelona 1992,Sailing,board lechner women
13,CAN,caroll-ann alie,161.7,Barcelona 1992,Sailing,board lechner women
14,BEL,christl smet,179.0,Barcelona 1992,Sailing,board lechner women
15,SWE,lisa gullberg,182.0,Barcelona 1992,Sailing,board lechner women
16,BRA,christina forte,183.0,Barcelona 1992,Sailing,board lechner women
17,ARG,maria ines espinola lorenzo,194.7,Barcelona 1992,Sailing,board lechner women
18,PUR,lucia martinez,205.0,Barcelona 1992,Sailing,board lechner women
19,THA,amara wichithong,215.0,Barcelona 1992,Sailing,board lechner women
20,LAT,dzelme dzelme,223.0,Barcelona 1992,Sailing,board lechner women
21,AHO,elisabeht maria de waard,226.0,Barcelona 1992,Sailing,board lechner women
22,MRI,marie pascale menage,261.0,Barcelona 1992,Sailing,board lechner women
23,GUM,linda yeomans,270.0,Barcelona 1992,Sailing,board lechner women
0,ESP,jose van der ploeg,33.4,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
1,USA,brian richard ledbetter,54.7,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
2,NZL,craig john monk,64.7,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
3,GBR,stuart michael childerley,68.1,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
4,SWE,fredrik loof,68.7,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
5,SUI,othmar müller,70.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
6,FRA,xavier rohart,75.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
7,AUT,hans spitzauer,79.4,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
8,GRE,armando ortolano,81.7,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
9,BRA,christoph bergmann,84.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
10,TUR,arif gurdenli,94.7,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
11,DEN,stig westergaard,97.7,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
12,CAN,hank lammens,102.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
13,ITA,emanuele vaccari,103.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
14,GER,peter aldag,108.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
15,EUN,oleg khoperski,108.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
16,FIN,jali alarik makila,112.7,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
17,RSA,ian richard ainslie,113.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
18,MEX,eric mergenthaler hall,114.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
19,AUS,glenn bourke,129.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
20,HUN,attila szilvassy,136.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
21,CRO,karlo kuret,137.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
22,ISV,mark elston swanson,148.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
23,PUR,jose sambolin rodriguez,168.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
24,CAY,mark clarke,174.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
25,BAR,owen andrew burke,177.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
26,ANT,stedroy braithwaite,187.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
27,ANG,joao neto,195.0,Barcelona 1992,Sailing,Finn - One Person Dinghy (Heavyweight) men
0,,,6,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
1,,,8,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
2,,,4,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
3,,,6,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
4,,,4,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
5,,,2,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
6,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
7,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
8,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
9,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
10,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
11,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
12,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
13,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
14,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
15,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
16,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
17,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
18,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
19,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
20,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
21,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
22,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
23,,,,Barcelona 1992,Sailing,fleetmatch race keelboat open Soling mixed
0,ESP,domingo manrique,29.7,Barcelona 1992,Sailing,flying dutchman mixed
1,USA,stephen bourdow,32.7,Barcelona 1992,Sailing,flying dutchman mixed
2,DEN,jørgen bojsen-møller,37.7,Barcelona 1992,Sailing,flying dutchman mixed
3,NZL,gregory john knowles,68.0,Barcelona 1992,Sailing,flying dutchman mixed
4,GER,albert batzill,70.4,Barcelona 1992,Sailing,flying dutchman mixed
5,SWE,johan lindell,78.4,Barcelona 1992,Sailing,flying dutchman mixed
6,NOR,ole petter pollen,80.7,Barcelona 1992,Sailing,flying dutchman mixed
7,SUI,piet fabian eckert,81.7,Barcelona 1992,Sailing,flying dutchman mixed
8,CAN,frank joseph mclaughlin,82.7,Barcelona 1992,Sailing,flying dutchman mixed
9,FRA,thierry berger,97.0,Barcelona 1992,Sailing,flying dutchman mixed
10,EUN,gueorgi shayduko,97.7,Barcelona 1992,Sailing,flying dutchman mixed
11,SLO,mitja kosmina,100.7,Barcelona 1992,Sailing,flying dutchman mixed
12,BRA,marcus temke,102.7,Barcelona 1992,Sailing,flying dutchman mixed
13,IRL,peter terence kennedy,106.7,Barcelona 1992,Sailing,flying dutchman mixed
14,GBR,peter frank allam,107.0,Barcelona 1992,Sailing,flying dutchman mixed
15,AUT,markus schneeberger,107.0,Barcelona 1992,Sailing,flying dutchman mixed
16,HKG,sven merkel,109.0,Barcelona 1992,Sailing,flying dutchman mixed
17,NED,willem potma,113.0,Barcelona 1992,Sailing,flying dutchman mixed
18,RSA,david beresford hudson,128.0,Barcelona 1992,Sailing,flying dutchman mixed
19,ISR,yoel sela,130.0,Barcelona 1992,Sailing,flying dutchman mixed
20,ITA,flavio grassi,138.0,Barcelona 1992,Sailing,flying dutchman mixed
21,CRO,bojan grego,145.0,Barcelona 1992,Sailing,flying dutchman mixed
22,HUN,tamas pomucz,146.0,Barcelona 1992,Sailing,flying dutchman mixed
