,country,participant,result,olympic_game,discipline,event
0,,,16,Barcelona 1992,Volleyball,volleyball men
1,,,12,Barcelona 1992,Volleyball,volleyball men
2,,,13,Barcelona 1992,Volleyball,volleyball men
3,,,13,Barcelona 1992,Volleyball,volleyball men
4,,,14,Barcelona 1992,Volleyball,volleyball men
5,,,12,Barcelona 1992,Volleyball,volleyball men
6,,,12,Barcelona 1992,Volleyball,volleyball men
7,,,11,Barcelona 1992,Volleyball,volleyball men
8,,,8,Barcelona 1992,Volleyball,volleyball men
9,,,7,Barcelona 1992,Volleyball,volleyball men
10,,,8,Barcelona 1992,Volleyball,volleyball men
11,,,6,Barcelona 1992,Volleyball,volleyball men
0,,,10,Barcelona 1992,Volleyball,volleyball women
1,,,8,Barcelona 1992,Volleyball,volleyball women
2,,,10,Barcelona 1992,Volleyball,volleyball women
3,,,9,Barcelona 1992,Volleyball,volleyball women
4,,,8,Barcelona 1992,Volleyball,volleyball women
5,,,6,Barcelona 1992,Volleyball,volleyball women
6,,,5 / Member(s) DSQ for doping,Barcelona 1992,Volleyball,volleyball women
7,,,4,Barcelona 1992,Volleyball,volleyball women
