,country,participant,result,olympic_game,discipline,event
0,AUS,matthew mitcham,537.95,Beijing 2008,Diving,10m platform men
1,CHN,luxin zhou,533.15,Beijing 2008,Diving,10m platform men
2,RUS,gleb galperin,525.80,Beijing 2008,Diving,10m platform men
3,CHN,liang huo,508.40,Beijing 2008,Diving,10m platform men
4,CUB,jose antonio guerra oliva,507.15,Beijing 2008,Diving,10m platform men
5,AUS,mathew helm,467.70,Beijing 2008,Diving,10m platform men
6,GBR,thomas daley,463.55,Beijing 2008,Diving,10m platform men
7,MEX,rommel pacheco,460.20,Beijing 2008,Diving,10m platform men
8,GER,patrick hausding,448.30,Beijing 2008,Diving,10m platform men
9,USA,david boudia,441.45,Beijing 2008,Diving,10m platform men
10,COL,juan guillermo uran salazar,414.80,Beijing 2008,Diving,10m platform men
11,USA,thomas finchum,412.65,Beijing 2008,Diving,10m platform men
12,GBR,peter waterfield,430.95,Beijing 2008,Diving,10m platform men
13,BLR,vadim kaptur,420.55,Beijing 2008,Diving,10m platform men
14,CUB,jeinkler aguirre,414.20,Beijing 2008,Diving,10m platform men
15,CAN,riley mccormick,391.35,Beijing 2008,Diving,10m platform men
16,CAN,reuben ross,390.75,Beijing 2008,Diving,10m platform men
17,GER,sascha klein,382.85,Beijing 2008,Diving,10m platform men
18,BRA,hugo parisi,412.95,Beijing 2008,Diving,10m platform men
19,UKR,kostiantyn miliaiev,410.05,Beijing 2008,Diving,10m platform men
20,BLR,aliaksandr varlamov,406.60,Beijing 2008,Diving,10m platform men
21,MEX,german sanchez,399.35,Beijing 2008,Diving,10m platform men
22,ROU,constantin popovici,392.30,Beijing 2008,Diving,10m platform men
23,BRA,cassius duran,389.65,Beijing 2008,Diving,10m platform men
24,ITA,francesco dell'uomo,388.80,Beijing 2008,Diving,10m platform men
25,MAS,bryan nickson lomas,384.35,Beijing 2008,Diving,10m platform men
26,RUS,oleg vikulov,375.40,Beijing 2008,Diving,10m platform men
27,PHI,rexel ryan fabriga,358.85,Beijing 2008,Diving,10m platform men
28,UKR,anton zakharov,344.95,Beijing 2008,Diving,10m platform men
29,PRK,chon man kim,328.85,Beijing 2008,Diving,10m platform men
0,CHN,ruolin chen,447.70,Beijing 2008,Diving,10m platform women
1,CAN,emilie heymans,437.05,Beijing 2008,Diving,10m platform women
2,CHN,xin wang,429.90,Beijing 2008,Diving,10m platform women
3,MEX,paola espinosa sanchez,380.95,Beijing 2008,Diving,10m platform women
4,MEX,tatiana ortiz,343.60,Beijing 2008,Diving,10m platform women
5,AUS,melissa wu,338.15,Beijing 2008,Diving,10m platform women
6,CAN,marie-eve marleau,332.10,Beijing 2008,Diving,10m platform women
7,GBR,tonia couch,328.70,Beijing 2008,Diving,10m platform women
8,USA,laura wilkinson,311.80,Beijing 2008,Diving,10m platform women
9,GBR,stacie powell,303.50,Beijing 2008,Diving,10m platform women
10,JPN,mai nakagawa,296.30,Beijing 2008,Diving,10m platform women
11,SWE,elina eggers,285.85,Beijing 2008,Diving,10m platform women
12,ITA,tania cagnotto,296.60,Beijing 2008,Diving,10m platform women
13,USA,haley ishimatsu,292.95,Beijing 2008,Diving,10m platform women
14,ITA,valentina marocchi,283.15,Beijing 2008,Diving,10m platform women
15,PRK,un hyang kim,267.00,Beijing 2008,Diving,10m platform women
16,PRK,jin ok kim,259.40,Beijing 2008,Diving,10m platform women
17,AUS,alexandra croak,250.30,Beijing 2008,Diving,10m platform women
18,GER,christin steuer,290.80,Beijing 2008,Diving,10m platform women
19,UKR,iuliia prokopchuk,290.40,Beijing 2008,Diving,10m platform women
20,FRA,audrey labeau,289.95,Beijing 2008,Diving,10m platform women
21,AUT,anja richter,287.70,Beijing 2008,Diving,10m platform women
22,BRA,juliana veloso,283.75,Beijing 2008,Diving,10m platform women
23,ROU,ramona maria ciobanu,279.10,Beijing 2008,Diving,10m platform women
24,FRA,claire febvay,255.30,Beijing 2008,Diving,10m platform women
25,GRE,eftihia pappa-papavasilopoulou,252.00,Beijing 2008,Diving,10m platform women
26,MAS,pandelela rinong pamg,249.20,Beijing 2008,Diving,10m platform women
27,RUS,natalia goncharova,240.45,Beijing 2008,Diving,10m platform women
28,GER,annett gamm,234.30,Beijing 2008,Diving,10m platform women
0,CHN,chong he,572.90,Beijing 2008,Diving,3m springboard men
1,CAN,alexandre despatie,536.65,Beijing 2008,Diving,3m springboard men
2,CHN,kai qin,530.10,Beijing 2008,Diving,3m springboard men
3,RUS,dmitry sautin,512.65,Beijing 2008,Diving,3m springboard men
4,GER,pavlo rozenberg,485.60,Beijing 2008,Diving,3m springboard men
5,USA,troy dumais,472.50,Beijing 2008,Diving,3m springboard men
6,MEX,yahel castillo huerta,462.10,Beijing 2008,Diving,3m springboard men
7,GER,patrick hausding,462.05,Beijing 2008,Diving,3m springboard men
8,AUS,robert newbery,461.05,Beijing 2008,Diving,3m springboard men
9,COL,juan guillermo uran salazar,454.50,Beijing 2008,Diving,3m springboard men
10,JPN,ken terauchi,442.50,Beijing 2008,Diving,3m springboard men
11,USA,chris colwill,425.90,Beijing 2008,Diving,3m springboard men
12,FIN,joona puhakka,451.95,Beijing 2008,Diving,3m springboard men
13,ITA,nicola marconi,444.55,Beijing 2008,Diving,3m springboard men
14,UKR,illya kvasha,439.55,Beijing 2008,Diving,3m springboard men
15,AUS,matthew mitcham,427.45,Beijing 2008,Diving,3m springboard men
16,RUS,aleksandr dobroskok,412.00,Beijing 2008,Diving,3m springboard men
17,CAN,reuben ross,395.85,Beijing 2008,Diving,3m springboard men
18,CUB,jorge betancourt garcia,428.25,Beijing 2008,Diving,3m springboard men
19,ESP,javier illana,423.90,Beijing 2008,Diving,3m springboard men
20,VEN,ramon antonio fumado rodriguez,419.05,Beijing 2008,Diving,3m springboard men
21,AUT,constantin blaha,407.55,Beijing 2008,Diving,3m springboard men
22,UKR,yuriy shlyakhov,405.05,Beijing 2008,Diving,3m springboard men
23,BRA,cesar castro,400.60,Beijing 2008,Diving,3m springboard men
24,BLR,sergei kuchmasov,399.40,Beijing 2008,Diving,3m springboard men
25,GBR,benjamin swain,390.30,Beijing 2008,Diving,3m springboard men
26,CUB,jorge l pupo,388.70,Beijing 2008,Diving,3m springboard men
27,ITA,tommaso marconi,360.15,Beijing 2008,Diving,3m springboard men
