,country,participant,result,olympic_game,discipline,event
0,AUS,nathan wilmot,44,Beijing 2008,Sailing,470 - Two Person Dinghy men
1,GBR,nicholas rogers,75,Beijing 2008,Sailing,470 - Two Person Dinghy men
2,FRA,olivier bausset,78,Beijing 2008,Sailing,470 - Two Person Dinghy men
3,NED,sven coster,78,Beijing 2008,Sailing,470 - Two Person Dinghy men
4,ESP,aaron sarmiento,87,Beijing 2008,Sailing,470 - Two Person Dinghy men
5,ITA,andrea trani,91,Beijing 2008,Sailing,470 - Two Person Dinghy men
6,JPN,taro ueno,97,Beijing 2008,Sailing,470 - Two Person Dinghy men
7,POR,alvaro marinho,102,Beijing 2008,Sailing,470 - Two Person Dinghy men
8,CRO,igor marenic,107,Beijing 2008,Sailing,470 - Two Person Dinghy men
9,ARG,juan maria de la fuente,110,Beijing 2008,Sailing,470 - Two Person Dinghy men
10,NZL,carl evans,95,Beijing 2008,Sailing,470 - Two Person Dinghy men
11,GRE,andreas papadopoulos,101,Beijing 2008,Sailing,470 - Two Person Dinghy men
12,USA,graham biehl,105,Beijing 2008,Sailing,470 - Two Person Dinghy men
13,ISR,udi gal,108,Beijing 2008,Sailing,470 - Two Person Dinghy men
14,SWE,sebastian ostling,111,Beijing 2008,Sailing,470 - Two Person Dinghy men
15,IRL,philip lawton,129,Beijing 2008,Sailing,470 - Two Person Dinghy men
16,BRA,fabio silva,134,Beijing 2008,Sailing,470 - Two Person Dinghy men
17,SLO,karlo hmeljak,139,Beijing 2008,Sailing,470 - Two Person Dinghy men
18,POL,kacper zieminski,151,Beijing 2008,Sailing,470 - Two Person Dinghy men
19,RUS,maksim sheremetev,157,Beijing 2008,Sailing,470 - Two Person Dinghy men
20,BLR,siarhei dzesiukevich,159,Beijing 2008,Sailing,470 - Two Person Dinghy men
21,SGP,yuan zhen xu,159,Beijing 2008,Sailing,470 - Two Person Dinghy men
22,SUI,felix steiger,162,Beijing 2008,Sailing,470 - Two Person Dinghy men
23,AUT,florian reichstaedter,164,Beijing 2008,Sailing,470 - Two Person Dinghy men
24,KOR,cheol yun,180,Beijing 2008,Sailing,470 - Two Person Dinghy men
25,CHN,daokun deng,186,Beijing 2008,Sailing,470 - Two Person Dinghy men
26,FIN,niklas lindgren,196,Beijing 2008,Sailing,470 - Two Person Dinghy men
27,TUR,deniz cinar,198,Beijing 2008,Sailing,470 - Two Person Dinghy men
28,CAN,stephane locas,205,Beijing 2008,Sailing,470 - Two Person Dinghy men
0,AUS,elise rechichi,43 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
1,NED,marcelien bos-de koning,53 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
2,BRA,isabel swan,60 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
3,ISR,nike kornecki,66 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
4,ITA,giulia conti,75 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
5,GBR,saskia clark,82 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
6,CZE,lenka mrzilkova,83 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
7,AUT,carolina flatscher,84 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
8,GER,stefanie rothweiler,90 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
9,ESP,natalia via dufresne,92 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
10,FRA,gwendolyn lemaitre,85 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
11,USA,sara mergenthaler,89 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
12,SLO,vesna dekleva,92 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
13,JPN,naoko kamata,93 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
14,SWE,therese torgersson,101 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
15,ARG,consuelo monsegur,113 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
16,SUI,emmanuelle rol,114 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
17,CHN,chunyan yu,119 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
18,SGP,liying toh,156 ,Beijing 2008,Sailing,470 - Two Person Dinghy women
0,DEN,martin kirketerp ibsen,61 ,Beijing 2008,Sailing,49er - Skiff mixed
1,ESP,iker martinez,64 ,Beijing 2008,Sailing,49er - Skiff mixed
2,GER,jan peter peckolt,66 ,Beijing 2008,Sailing,49er - Skiff mixed
3,ITA,pietro sibello,66 ,Beijing 2008,Sailing,49er - Skiff mixed
4,AUS,nathan outteridge,73 ,Beijing 2008,Sailing,49er - Skiff mixed
5,USA,christopher rast,89 ,Beijing 2008,Sailing,49er - Skiff mixed
6,BRA,andre fonseca,99 ,Beijing 2008,Sailing,49er - Skiff mixed
7,AUT,nico luca marc delle karth,99 ,Beijing 2008,Sailing,49er - Skiff mixed
8,GBR,ben rhodes,100 ,Beijing 2008,Sailing,49er - Skiff mixed
9,FRA,emmanuel dyen,109 ,Beijing 2008,Sailing,49er - Skiff mixed
10,POR,jorge lima,100 ,Beijing 2008,Sailing,49er - Skiff mixed
11,JPN,yukio makino,103 ,Beijing 2008,Sailing,49er - Skiff mixed
12,NOR,frode bovim,128 ,Beijing 2008,Sailing,49er - Skiff mixed
13,CAN,ben remocker,134 ,Beijing 2008,Sailing,49er - Skiff mixed
14,UKR,georgii leonchuk,139 ,Beijing 2008,Sailing,49er - Skiff mixed
15,POL,krzysztof kierkowski,147 ,Beijing 2008,Sailing,49er - Skiff mixed
16,CRO,pavle kostov,158 ,Beijing 2008,Sailing,49er - Skiff mixed
17,SWE,jonas lindberg,163 ,Beijing 2008,Sailing,49er - Skiff mixed
