,country,participant,result,olympic_game,discipline,event
0,ITA,ulderico sergo,,Berlin 1936,Boxing,bantamweight men
1,USA,jack wilson,,Berlin 1936,Boxing,bantamweight men
2,MEX,fidel ortiz,,Berlin 1936,Boxing,bantamweight men
3,SWE,stig cederberg,,Berlin 1936,Boxing,bantamweight men
4,BEL,joseph cornelis,,Berlin 1936,Boxing,bantamweight men
5,JPN,shunpei hashioka,,Berlin 1936,Boxing,bantamweight men
6,RSA,alexander irvine hannan,,Berlin 1936,Boxing,bantamweight men
7,PHI,oscar de larrazabal,,Berlin 1936,Boxing,bantamweight men
8,CHI,jose vergara,,Berlin 1936,Boxing,bantamweight men
9,HUN,frigyes kubinyi,,Berlin 1936,Boxing,bantamweight men
10,AUT,walter matha,,Berlin 1936,Boxing,bantamweight men
11,SUI,karl kummer,,Berlin 1936,Boxing,bantamweight men
12,GBR,albert richard barnes,,Berlin 1936,Boxing,bantamweight men
13,POL,antoni czortek,,Berlin 1936,Boxing,bantamweight men
14,GER,wilhelm stasch,,Berlin 1936,Boxing,bantamweight men
15,URU,alfredo petrone,,Berlin 1936,Boxing,bantamweight men
16,CAN,harvey lacelle,,Berlin 1936,Boxing,bantamweight men
17,TCH,franta dolezal,,Berlin 1936,Boxing,bantamweight men
18,FIN,veikko huuskonen,,Berlin 1936,Boxing,bantamweight men
19,FRA,pierre bonnet,,Berlin 1936,Boxing,bantamweight men
20,ROU,marin gaspar,,Berlin 1936,Boxing,bantamweight men
21,DEN,viggo frederiksen,,Berlin 1936,Boxing,bantamweight men
22,NED,johannes frans de moor,,Berlin 1936,Boxing,bantamweight men
23,ARG,leonardo gula,,Berlin 1936,Boxing,bantamweight men
24,ITA,arturo paoletti,Did not start,Berlin 1936,Boxing,bantamweight men
25,USA,johnny brown,Did not start,Berlin 1936,Boxing,bantamweight men
26,GER,joseph schmitz,Did not start,Berlin 1936,Boxing,bantamweight men
27,GBR,laurie case,Did not start,Berlin 1936,Boxing,bantamweight men
28,TCH,václav jelínek,Did not start,Berlin 1936,Boxing,bantamweight men
29,DEN,willy jensen,Did not start,Berlin 1936,Boxing,bantamweight men
30,ESP,josé lorente,Did not start,Berlin 1936,Boxing,bantamweight men
0,ARG,oscar casanovas,,Berlin 1936,Boxing,Featherweight men
1,RSA,charles catterall,,Berlin 1936,Boxing,Featherweight men
2,GER,josef miner,,Berlin 1936,Boxing,Featherweight men
3,HUN,deszö frigyes,,Berlin 1936,Boxing,Featherweight men
4,CAN,william marquart,,Berlin 1936,Boxing,Featherweight men
5,POL,aleksander polus,,Berlin 1936,Boxing,Featherweight men
6,GBR,jack treadaway,,Berlin 1936,Boxing,Featherweight men
7,USA,theodore ernst kara,,Berlin 1936,Boxing,Featherweight men
8,DEN,sigfred thomas madsen,,Berlin 1936,Boxing,Featherweight men
9,TCH,josef jelen,,Berlin 1936,Boxing,Featherweight men
10,FIN,ake karlsson,,Berlin 1936,Boxing,Featherweight men
11,URU,arquimedes arrieta,,Berlin 1936,Boxing,Featherweight men
12,BEL,remi charles lescrauwaet,,Berlin 1936,Boxing,Featherweight men
13,NED,johannes gerardus nicolaas,,Berlin 1936,Boxing,Featherweight men
14,EST,evald seeberg,,Berlin 1936,Boxing,Featherweight men
15,NZL,clarrie gordon,,Berlin 1936,Boxing,Featherweight men
16,ITA,giuseppe farfanelli,,Berlin 1936,Boxing,Featherweight men
17,JPN,sajiro miyama,,Berlin 1936,Boxing,Featherweight men
18,SUI,karl zurflüh,,Berlin 1936,Boxing,Featherweight men
