,country,participant,result,olympic_game,discipline,event
0,,,13,Berlin 1936,Football,football men
1,,,9,Berlin 1936,Football,football men
2,,,10,Berlin 1936,Football,football men
3,,,11,Berlin 1936,Football,football men
4,,,6,Berlin 1936,Football,football men
5,,,9,Berlin 1936,Football,football men
6,,,3,Berlin 1936,Football,football men
7,,,11,Berlin 1936,Football,football men
8,,,0,Berlin 1936,Football,football men
9,,,2,Berlin 1936,Football,football men
10,,,0,Berlin 1936,Football,football men
11,,,0,Berlin 1936,Football,football men
12,,,0,Berlin 1936,Football,football men
13,,,0,Berlin 1936,Football,football men
14,,,1,Berlin 1936,Football,football men
15,,,3,Berlin 1936,Football,football men
