,country,participant,result,olympic_game,discipline,event
0,GBR,leslie frank southwood,,Berlin 1936,Rowing,double sculls 2x men
1,GER,willi kaidel,,Berlin 1936,Rowing,double sculls 2x men
2,POL,jerzy ustupski,,Berlin 1936,Rowing,double sculls 2x men
3,FRA,robert jacquet,,Berlin 1936,Rowing,double sculls 2x men
4,USA,william dugan,,Berlin 1936,Rowing,double sculls 2x men
5,AUS,herbert james turner,,Berlin 1936,Rowing,double sculls 2x men
0,,,,Berlin 1936,Rowing,eight with coxswain 8 men
1,,,,Berlin 1936,Rowing,eight with coxswain 8 men
2,,,,Berlin 1936,Rowing,eight with coxswain 8 men
3,,,,Berlin 1936,Rowing,eight with coxswain 8 men
4,,,,Berlin 1936,Rowing,eight with coxswain 8 men
5,,,,Berlin 1936,Rowing,eight with coxswain 8 men
0,,,,Berlin 1936,Rowing,four without coxswain 4 men
1,,,,Berlin 1936,Rowing,four without coxswain 4 men
2,,,,Berlin 1936,Rowing,four without coxswain 4 men
3,,,,Berlin 1936,Rowing,four without coxswain 4 men
4,,,,Berlin 1936,Rowing,four without coxswain 4 men
5,,,,Berlin 1936,Rowing,four without coxswain 4 men
0,,,,Berlin 1936,Rowing,four-oared shell with coxswain men
1,,,,Berlin 1936,Rowing,four-oared shell with coxswain men
2,,,,Berlin 1936,Rowing,four-oared shell with coxswain men
3,,,,Berlin 1936,Rowing,four-oared shell with coxswain men
4,,,,Berlin 1936,Rowing,four-oared shell with coxswain men
5,,,,Berlin 1936,Rowing,four-oared shell with coxswain men
0,,,,Berlin 1936,Rowing,pair without coxswain 2 men
1,,,,Berlin 1936,Rowing,pair without coxswain 2 men
2,,,,Berlin 1936,Rowing,pair without coxswain 2 men
3,,,,Berlin 1936,Rowing,pair without coxswain 2 men
4,,,,Berlin 1936,Rowing,pair without coxswain 2 men
5,,,,Berlin 1936,Rowing,pair without coxswain 2 men
6,,,Did not finish,Berlin 1936,Rowing,pair without coxswain 2 men
7,,,Did not finish,Berlin 1936,Rowing,pair without coxswain 2 men
0,,,,Berlin 1936,Rowing,pair-oared shell with coxswain men
1,,,,Berlin 1936,Rowing,pair-oared shell with coxswain men
2,,,,Berlin 1936,Rowing,pair-oared shell with coxswain men
3,,,,Berlin 1936,Rowing,pair-oared shell with coxswain men
4,,,,Berlin 1936,Rowing,pair-oared shell with coxswain men
5,,,,Berlin 1936,Rowing,pair-oared shell with coxswain men
0,GER,gustav schäfer,,Berlin 1936,Rowing,single sculls 1x men
1,AUT,josef hasenöhrl,,Berlin 1936,Rowing,single sculls 1x men
2,USA,daniel hubert jr. barrow,,Berlin 1936,Rowing,single sculls 1x men
3,CAN,charles a. campbell,,Berlin 1936,Rowing,single sculls 1x men
4,SUI,ernst rufli,,Berlin 1936,Rowing,single sculls 1x men
5,ARG,pascual jose giorgio,,Berlin 1936,Rowing,single sculls 1x men
6,POL,roger verey,Did not finish,Berlin 1936,Rowing,single sculls 1x men
7,YUG,davor jelaska,Did not finish,Berlin 1936,Rowing,single sculls 1x men
8,AUS,herbert james turner,Did not start,Berlin 1936,Rowing,single sculls 1x men
9,BRA,frederico richter,Did not start,Berlin 1936,Rowing,single sculls 1x men
10,CAN,"john coulson, jr.",Did not start,Berlin 1936,Rowing,single sculls 1x men
11,GER,franz westhoff,Did not start,Berlin 1936,Rowing,single sculls 1x men
