,country,participant,result,olympic_game,discipline,event
0,GDR,jochen pietzsch,00:01:31.940,Calgary 1988,Luge,Doubles mixed
1,GDR,jan behrendt,00:01:32.039,Calgary 1988,Luge,Doubles mixed
2,FRG,wolfgang staudinger,00:01:32.274,Calgary 1988,Luge,Doubles mixed
3,FRG,stefan ilsanker,00:01:32.298,Calgary 1988,Luge,Doubles mixed
4,AUT,robert manzenreiter,00:01:32.364,Calgary 1988,Luge,Doubles mixed
5,URS,vitali melnik,00:01:32.459,Calgary 1988,Luge,Doubles mixed
6,ITA,wilfried huber,00:01:32.553,Calgary 1988,Luge,Doubles mixed
7,URS,yevgeny belousov,00:01:32.553,Calgary 1988,Luge,Doubles mixed
8,ITA,walter brunner,00:01:33.171,Calgary 1988,Luge,Doubles mixed
9,CAN,robert gasper,00:01:33.306,Calgary 1988,Luge,Doubles mixed
10,USA,timothy nardiello,00:01:33.320,Calgary 1988,Luge,Doubles mixed
11,AUT,gerhard sandbichler,00:01:33.462,Calgary 1988,Luge,Doubles mixed
12,TCH,lubos jira,00:01:33.621,Calgary 1988,Luge,Doubles mixed
13,JPN,kazuhiko takamatsu,00:01:34.453,Calgary 1988,Luge,Doubles mixed
14,GBR,nicholas ovett,00:01:34.676,Calgary 1988,Luge,Doubles mixed
15,USA,steven maher,00:01:34.963,Calgary 1988,Luge,Doubles mixed
16,CAN,daniel doll,00:01:37.358,Calgary 1988,Luge,Doubles mixed
17,BUL,krassimir kamenov,00:01:40.577,Calgary 1988,Luge,Doubles mixed
0,GDR,jens mueller,00:03:05.548,Calgary 1988,Luge,Singles men
1,FRG,georg hackl,00:03:05.916,Calgary 1988,Luge,Singles men
2,URS,yury kharchenko,00:03:06.274,Calgary 1988,Luge,Singles men
3,GDR,thomas jacob,00:03:06.358,Calgary 1988,Luge,Singles men
4,GDR,michael walter,00:03:06.933,Calgary 1988,Luge,Singles men
5,URS,sergey danilin,00:03:07.098,Calgary 1988,Luge,Singles men
6,FRG,johannes schettel,00:03:07.371,Calgary 1988,Luge,Singles men
7,ITA,hansjörg raffl,00:03:07.525,Calgary 1988,Luge,Singles men
8,AUT,otto mayregger,00:03:07.619,Calgary 1988,Luge,Singles men
9,ITA,paul hildgartner,00:03:07.696,Calgary 1988,Luge,Singles men
10,AUT,markus prock,00:03:07.735,Calgary 1988,Luge,Singles men
11,USA,francis masley,00:03:07.943,Calgary 1988,Luge,Singles men
12,FRG,max burghartswieser,00:03:08.186,Calgary 1988,Luge,Singles men
13,USA,duncan kennedy,00:03:08.472,Calgary 1988,Luge,Singles men
14,ITA,kurt brugger,00:03:08.621,Calgary 1988,Luge,Singles men
15,TCH,petr urban,00:03:08.624,Calgary 1988,Luge,Singles men
16,URS,valery dudin,00:03:08.880,Calgary 1988,Luge,Singles men
17,JPN,kazuhiko takamatsu,00:03:09.015,Calgary 1988,Luge,Singles men
18,CAN,harington telford,00:03:09.298,Calgary 1988,Luge,Singles men
19,SWE,mikael holm,00:03:09.658,Calgary 1988,Luge,Singles men
20,TCH,lubos jira,00:03:10.857,Calgary 1988,Luge,Singles men
21,GBR,macleod nicol,00:03:10.957,Calgary 1988,Luge,Singles men
22,USA,jonathan owen,00:03:11.464,Calgary 1988,Luge,Singles men
23,CAN,chris wightman,00:03:11.666,Calgary 1988,Luge,Singles men
24,SWE,anders näsström,00:03:11.722,Calgary 1988,Luge,Singles men
25,JPN,toru ito,00:03:12.673,Calgary 1988,Luge,Singles men
26,CAN,nil labrecque,00:03:12.727,Calgary 1988,Luge,Singles men
27,GBR,nicholas ovett,00:03:13.308,Calgary 1988,Luge,Singles men
28,ESP,pablo garcía,00:03:13.478,Calgary 1988,Luge,Singles men
29,GBR,stephen brialey,00:03:13.621,Calgary 1988,Luge,Singles men
30,PUR,raul muniz,00:03:20.962,Calgary 1988,Luge,Singles men
31,TPE,kuang-ming sun,00:03:21.600,Calgary 1988,Luge,Singles men
32,ARG,ruben oscar gonzalez,00:03:21.827,Calgary 1988,Luge,Singles men
33,PUR,georg tucker,00:03:27.125,Calgary 1988,Luge,Singles men
34,PHI,raymond ocampo,00:03:27.661,Calgary 1988,Luge,Singles men
35,AHO,bart carpentier alting,00:03:29.913,Calgary 1988,Luge,Singles men
36,AUT,gerhard sandbichler,Disqualified,Calgary 1988,Luge,Singles men
37,LIE,peter beck,Did not finish,Calgary 1988,Luge,Singles men
0,GDR,steffi walter,00:03:03.973,Calgary 1988,Luge,Singles women
1,GDR,ute oberhoffner,00:03:04.105,Calgary 1988,Luge,Singles women
2,GDR,cerstin schmidt,00:03:04.181,Calgary 1988,Luge,Singles women
3,FRG,veronika bilgeri,00:03:05.670,Calgary 1988,Luge,Singles women
4,URS,yulia antipova,00:03:05.787,Calgary 1988,Luge,Singles women
5,USA,bonny warner,00:03:06.056,Calgary 1988,Luge,Singles women
6,CAN,marie-claude doyon,00:03:06.211,Calgary 1988,Luge,Singles women
7,URS,nadejda danilina,00:03:06.364,Calgary 1988,Luge,Singles women
8,USA,cameron myler,00:03:06.835,Calgary 1988,Luge,Singles women
9,URS,irina kussakina,00:03:07.043,Calgary 1988,Luge,Singles women
10,USA,erica terwillegar,00:03:07.291,Calgary 1988,Luge,Singles women
11,AUT,andrea tagwerker,00:03:07.501,Calgary 1988,Luge,Singles women
12,ITA,veronika oberhuber,00:03:07.516,Calgary 1988,Luge,Singles women
13,ITA,gerda weissensteiner,00:03:07.665,Calgary 1988,Luge,Singles women
14,ITA,maria luisa rainer,00:03:08.145,Calgary 1988,Luge,Singles women
15,ISV,anne abernathy,00:03:09.237,Calgary 1988,Luge,Singles women
16,ROU,livia pelin,00:03:09.651,Calgary 1988,Luge,Singles women
17,JPN,mina tanaka,00:03:11.242,Calgary 1988,Luge,Singles women
18,CAN,katherine salmon,00:03:11.707,Calgary 1988,Luge,Singles women
19,GBR,alyson wreford,00:03:13.730,Calgary 1988,Luge,Singles women
20,JPN,hitomi koshimizu,00:03:14.126,Calgary 1988,Luge,Singles women
21,FRA,laurence bonici,00:03:14.406,Calgary 1988,Luge,Singles women
22,BUL,simoneta racheva,00:03:14.857,Calgary 1988,Luge,Singles women
23,TPE,pi-hui teng,00:03:17.127,Calgary 1988,Luge,Singles women
