,rank,country,participant,result,discipline,event,olympic_host,olympic_game_year,gender
0,0,FIN,paavo nurmi,00:30:18.800,Athletics,10000m,Amsterdam,1928,men
1,1,FIN,ville ritola,00:30:19.400,Athletics,10000m,Amsterdam,1928,men
2,2,SWE,edvin wide,00:31:00.800,Athletics,10000m,Amsterdam,1928,men
43,0,CAN,percy williams,10.800,Athletics,100m,Amsterdam,1928,men
44,1,GBR,jack london,10.900,Athletics,100m,Amsterdam,1928,men
45,2,GER,georg lammers,10.900,Athletics,100m,Amsterdam,1928,men
61,0,USA,elizabeth robinson,12.200,Athletics,100m,Amsterdam,1928,women
62,1,CAN,bobby rosenfeld,12.300,Athletics,100m,Amsterdam,1928,women
63,2,CAN,ethel m. smith,12.300,Athletics,100m,Amsterdam,1928,women
76,0,RSA,sidney atkinson,14.800,Athletics,110m hurdles,Amsterdam,1928,men
77,1,USA,stephen anderson,14.800,Athletics,110m hurdles,Amsterdam,1928,men
78,2,USA,john collier,14.900,Athletics,110m hurdles,Amsterdam,1928,men
92,0,FIN,harri edvin larva,00:03:53.200,Athletics,1500m,Amsterdam,1928,men
93,1,FRA,jules ladoumegue,00:03:53.800,Athletics,1500m,Amsterdam,1928,men
94,2,FIN,eino alfred purje,00:03:56.400,Athletics,1500m,Amsterdam,1928,men
123,0,CAN,percy williams,21.800,Athletics,200m,Amsterdam,1928,men
124,1,GBR,walter rangeley,21.900,Athletics,200m,Amsterdam,1928,men
125,2,GER,helmuth körnig,21.900,Athletics,200m,Amsterdam,1928,men
150,0,FIN,toivo aarne loukola,00:09:21.800,Athletics,3000m steeplechase,Amsterdam,1928,men
151,1,FIN,paavo nurmi,00:09:31.200,Athletics,3000m steeplechase,Amsterdam,1928,men
152,2,FIN,ove andersen,00:09:35.600,Athletics,3000m steeplechase,Amsterdam,1928,men
170,0,GBR,david george burghley,53.400,Athletics,400m hurdles,Amsterdam,1928,men
171,1,USA,frank josef cuhel,53.600,Athletics,400m hurdles,Amsterdam,1928,men
172,2,USA,frederick morgan taylor,53.600,Athletics,400m hurdles,Amsterdam,1928,men
185,0,USA,raymond james barbuti,47.800,Athletics,400m,Amsterdam,1928,men
186,1,CAN,james a. ball,48.000,Athletics,400m,Amsterdam,1928,men
187,2,GER,joachim büchner,48.200,Athletics,400m,Amsterdam,1928,men
216,0,,,41.000,Athletics,4x100m relay,Amsterdam,1928,men
217,1,,,41.200,Athletics,4x100m relay,Amsterdam,1928,men
218,2,,,41.800,Athletics,4x100m relay,Amsterdam,1928,men
228,0,,,48.400,Athletics,4x100m relay,Amsterdam,1928,women
229,1,,,48.800,Athletics,4x100m relay,Amsterdam,1928,women
230,2,,,49.000,Athletics,4x100m relay,Amsterdam,1928,women
234,0,,,00:03:14.200,Athletics,4x400m relay,Amsterdam,1928,men
235,1,,,00:03:14.800,Athletics,4x400m relay,Amsterdam,1928,men
236,2,,,00:03:15.400,Athletics,4x400m relay,Amsterdam,1928,men
243,0,FIN,ville ritola,00:14:38.000,Athletics,5000m,Amsterdam,1928,men
244,1,FIN,paavo nurmi,00:14:40.000,Athletics,5000m,Amsterdam,1928,men
245,2,SWE,edvin wide,00:14:41.200,Athletics,5000m,Amsterdam,1928,men
284,0,GBR,douglas gordon lowe,00:01:51.800,Athletics,800m,Amsterdam,1928,men
285,1,SWE,erik bylehn,1:52.8e,Athletics,800m,Amsterdam,1928,men
286,2,GER,hermann engelhard,1:53.2e,Athletics,800m,Amsterdam,1928,men
306,0,GER,karoline lina radke,00:02:16.800,Athletics,800m,Amsterdam,1928,women
307,1,JPN,kinue hitomi,00:02:17.600,Athletics,800m,Amsterdam,1928,women
308,2,SWE,inga k. gentzel,00:02:17.800,Athletics,800m,Amsterdam,1928,women
322,0,FIN,paavo ilmari yrjölä,716.8,Athletics,decathlon,Amsterdam,1928,men
323,1,FIN,akiles eero johannes järvinen,666.4,Athletics,decathlon,Amsterdam,1928,men
324,2,USA,john kenneth doherty,656.8,Athletics,decathlon,Amsterdam,1928,men
369,0,USA,lemuel clarence houser,47.32,Athletics,discus throw,Amsterdam,1928,men
370,1,FIN,antero lauro kivi,47.23,Athletics,discus throw,Amsterdam,1928,men
371,2,USA,james hunt corson,47.1,Athletics,discus throw,Amsterdam,1928,men
385,0,POL,halina konopacka,39.62,Athletics,discus throw,Amsterdam,1928,women
386,1,USA,lillian copeland,37.08,Athletics,discus throw,Amsterdam,1928,women
387,2,SWE,ruth a. svedberg,35.92,Athletics,discus throw,Amsterdam,1928,women
414,0,IRL,pat o'callaghan,51.39,Athletics,hammer throw,Amsterdam,1928,men
415,1,SWE,ossian e. skiöld,51.29,Athletics,hammer throw,Amsterdam,1928,men
416,2,USA,ed black,49.03,Athletics,hammer throw,Amsterdam,1928,men
428,0,USA,robert wade king,1.94,Athletics,high jump,Amsterdam,1928,men
429,1,USA,benjamen van doren hedges,1.91,Athletics,high jump,Amsterdam,1928,men
430,2,FRA,claude charles menard,1.91,Athletics,high jump,Amsterdam,1928,men
461,0,CAN,ethel catherwood,1.595,Athletics,high jump,Amsterdam,1928,women
462,1,NED,carolina anna gisolf,1.56,Athletics,high jump,Amsterdam,1928,women
463,2,USA,mildred olive wiley,1.56,Athletics,high jump,Amsterdam,1928,women
483,0,SWE,erik h. lundqvist,66.6,Athletics,javelin throw,Amsterdam,1928,men
484,1,HUN,bela szepes-strauch,65.26,Athletics,javelin throw,Amsterdam,1928,men
485,2,NOR,olav sunde,63.97,Athletics,javelin throw,Amsterdam,1928,men
499,0,USA,edward barton hamm,7.73,Athletics,long jump,Amsterdam,1928,men
500,1,HAI,silvio m. cator,7.58,Athletics,long jump,Amsterdam,1928,men
501,2,USA,alfred hilborn bates,7.4,Athletics,long jump,Amsterdam,1928,men
514,0,FRA,el ouafi bougueira,02:32:57.000,Athletics,marathon,Amsterdam,1928,men
515,1,CHI,manuel plaza reyes,02:33:23.000,Athletics,marathon,Amsterdam,1928,men
516,2,FIN,martti b. marttelin,02:35:02.000,Athletics,marathon,Amsterdam,1928,men
593,0,USA,sabin william carr,4.2,Athletics,pole vault,Amsterdam,1928,men
594,1,USA,william herbert droegemueller,4.1,Athletics,pole vault,Amsterdam,1928,men
595,2,USA,charles english mcginnis,3.95,Athletics,pole vault,Amsterdam,1928,men
621,0,USA,john h. kuck,15.87,Athletics,shot put,Amsterdam,1928,men
