,country,participant,result,olympic_game,discipline,event
0,NOR,birger ruud,232.0,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
1,SWE,sven eriksson,230.5,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
2,NOR,reidar andersen,228.9,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
3,NOR,kåre walberg,227.0,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
4,POL,stanislaw marusarz,221.6,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
5,FIN,lauri valonen,219.4,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
6,JPN,masaji iguro,218.2,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
7,NOR,arnholdt kongsgård,217.7,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
8,FIN,väinö tiihonen,215.3,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
9,GER,hans marr,214.2,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
10,USA,sverre fredheim,214.1,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
11,GER,kurt körner,209.3,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
12,USA,caspar oimen,207.6,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
13,CAN,tormod mobraaten,206.9,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
14,SWE,sixten johansson,206.1,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
15,SWE,nils e. hjelmström,204.8,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
16,GER,franz haslberger,204.6,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
17,GER,paul kraus,204.4,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
18,SUI,richard bühler,204.0,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
19,AUT,josef bradl,204.0,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
20,POL,andrzej marusarz,203.7,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
21,SWE,axel östrand,203.4,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
22,USA,roy john mikkelsen,202.6,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
23,FIN,timo murama,202.2,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
24,AUT,hans mariacher,201.5,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
25,AUT,rudolf rieger,200.4,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
26,TCH,jaroslav lukes,199.1,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
27,SUI,marcel reymond,197.3,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
28,TCH,josef kahl,196.1,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
29,USA,walter isaac bietila,195.2,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
30,JPN,iwao miyajima,194.6,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
31,TCH,johann lahr,193.8,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
32,POL,bronislaw czech,193.0,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
33,SUI,reto badrutt,191.2,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
34,CAN,karl johan baadsvik,187.1,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
35,AUT,franz aschenwald,185.6,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
36,ITA,bruno da col,179.6,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
37,CAN,norman currie gagne,177.3,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
38,YUG,franc pribošek,175.9,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
39,TCH,oldrich budarek,174.2,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
40,YUG,albin novsak,174.0,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
41,ROU,sandor clompe,174.0,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
42,YUG,franc palme,168.9,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
43,YUG,albin jakopic,156.1,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
44,JPN,goro adachi,150.8,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
45,JPN,shinji tatsuta,101.2,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
46,FIN,sauli pälli,80.3,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
47,ITA,mario bonomo,Did not finish,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
48,HUN,levente balatoni,Did not start,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
49,HUN,sandor darabos,Did not start,Garmisch-Partenkirchen 1936,Ski Jumping,Normal Hill Individual men
