,country,participant,result,olympic_game,discipline,event
0,NOR,ivar ballangrud,00:17:24.300,Garmisch-Partenkirchen 1936,Speed skating,10000m men
1,FIN,birger wasenius,00:17:28.200,Garmisch-Partenkirchen 1936,Speed skating,10000m men
2,AUT,max stiepl,00:17:30.000,Garmisch-Partenkirchen 1936,Speed skating,10000m men
3,NOR,charles mathisen,00:17:41.200,Garmisch-Partenkirchen 1936,Speed skating,10000m men
4,FIN,ossian blomqvist,00:17:42.400,Garmisch-Partenkirchen 1936,Speed skating,10000m men
5,NED,jan langedijk,00:17:43.700,Garmisch-Partenkirchen 1936,Speed skating,10000m men
6,FIN,antero ojala,00:17:46.600,Garmisch-Partenkirchen 1936,Speed skating,10000m men
7,USA,edward julius schroeder,00:17:52.000,Garmisch-Partenkirchen 1936,Speed skating,10000m men
8,POL,janusz kalbarczyk,00:17:54.000,Garmisch-Partenkirchen 1936,Speed skating,10000m men
9,NOR,michael staksrud,00:17:56.700,Garmisch-Partenkirchen 1936,Speed skating,10000m men
10,AUT,karl wazulek,00:17:57.100,Garmisch-Partenkirchen 1936,Speed skating,10000m men
11,GER,willi sandner,00:18:02.000,Garmisch-Partenkirchen 1936,Speed skating,10000m men
12,JPN,seien kin,00:18:02.700,Garmisch-Partenkirchen 1936,Speed skating,10000m men
13,HUN,laszlo hidveghy,00:18:04.000,Garmisch-Partenkirchen 1936,Speed skating,10000m men
14,GER,heinz sames,00:18:04.300,Garmisch-Partenkirchen 1936,Speed skating,10000m men
15,NED,adolf fredrik van der scheer,00:18:04.900,Garmisch-Partenkirchen 1936,Speed skating,10000m men
16,NED,roelof koops,00:18:11.500,Garmisch-Partenkirchen 1936,Speed skating,10000m men
17,NOR,edward wangberg,00:18:15.800,Garmisch-Partenkirchen 1936,Speed skating,10000m men
18,LAT,alfons bērziņš,00:18:22.500,Garmisch-Partenkirchen 1936,Speed skating,10000m men
19,NED,luitzen dijkstra,00:18:23.600,Garmisch-Partenkirchen 1936,Speed skating,10000m men
20,CAN,thomas white,00:18:25.300,Garmisch-Partenkirchen 1936,Speed skating,10000m men
21,SWE,axel johansson,00:18:38.200,Garmisch-Partenkirchen 1936,Speed skating,10000m men
22,LAT,arvids lejnieks,00:18:41.200,Garmisch-Partenkirchen 1936,Speed skating,10000m men
23,AUT,wilhelm löwinger,00:18:46.500,Garmisch-Partenkirchen 1936,Speed skating,10000m men
24,JPN,seitoku ri,00:18:50.300,Garmisch-Partenkirchen 1936,Speed skating,10000m men
25,JPN,yushoku cho,00:19:00.100,Garmisch-Partenkirchen 1936,Speed skating,10000m men
26,AUT,franz ortner,00:19:19.100,Garmisch-Partenkirchen 1936,Speed skating,10000m men
27,BEL,charles de ligne,00:23:32.900,Garmisch-Partenkirchen 1936,Speed skating,10000m men
28,EST,alexander mitt,Did not finish,Garmisch-Partenkirchen 1936,Speed skating,10000m men
29,USA,robert grover petersen,Did not finish,Garmisch-Partenkirchen 1936,Speed skating,10000m men
30,AUS,george kenneth kennedy,Did not start,Garmisch-Partenkirchen 1936,Speed skating,10000m men
31,USA,leo freisinger,Did not start,Garmisch-Partenkirchen 1936,Speed skating,10000m men
32,USA,delbert thomas lamb,Did not start,Garmisch-Partenkirchen 1936,Speed skating,10000m men
0,NOR,ivar ballangrud,43.400,Garmisch-Partenkirchen 1936,Speed skating,1500m men
1,NOR,georg krog,43.500,Garmisch-Partenkirchen 1936,Speed skating,1500m men
2,USA,leo freisinger,44.000,Garmisch-Partenkirchen 1936,Speed skating,1500m men
3,JPN,shozo ishihara,44.100,Garmisch-Partenkirchen 1936,Speed skating,1500m men
4,USA,delbert thomas lamb,44.200,Garmisch-Partenkirchen 1936,Speed skating,1500m men
5,AUT,karl leban,44.800,Garmisch-Partenkirchen 1936,Speed skating,1500m men
6,USA,allan w. potts,44.800,Garmisch-Partenkirchen 1936,Speed skating,1500m men
7,FIN,antero ojala,44.900,Garmisch-Partenkirchen 1936,Speed skating,1500m men
8,FIN,jorma ruissalo,44.900,Garmisch-Partenkirchen 1936,Speed skating,1500m men
9,FIN,birger wasenius,44.900,Garmisch-Partenkirchen 1936,Speed skating,1500m men
10,JPN,reikichi nakamura,45.000,Garmisch-Partenkirchen 1936,Speed skating,1500m men
11,USA,robert grover petersen,45.000,Garmisch-Partenkirchen 1936,Speed skating,1500m men
12,AUT,karl wazulek,45.100,Garmisch-Partenkirchen 1936,Speed skating,1500m men
13,LAT,alfons bērziņš,45.700,Garmisch-Partenkirchen 1936,Speed skating,1500m men
14,NED,adolf fredrik van der scheer,45.700,Garmisch-Partenkirchen 1936,Speed skating,1500m men
15,LAT,janis andriksons,45.900,Garmisch-Partenkirchen 1936,Speed skating,1500m men
16,JPN,seitoku ri,45.900,Garmisch-Partenkirchen 1936,Speed skating,1500m men
17,SWE,axel johansson,46.100,Garmisch-Partenkirchen 1936,Speed skating,1500m men
18,FIN,ossian blomqvist,46.200,Garmisch-Partenkirchen 1936,Speed skating,1500m men
19,GER,willi sandner,46.200,Garmisch-Partenkirchen 1936,Speed skating,1500m men
20,AUT,ferdinand preindl,46.400,Garmisch-Partenkirchen 1936,Speed skating,1500m men
21,EST,alexander mitt,46.600,Garmisch-Partenkirchen 1936,Speed skating,1500m men
22,JPN,kunio nando,46.600,Garmisch-Partenkirchen 1936,Speed skating,1500m men
23,NED,luitzen dijkstra,46.700,Garmisch-Partenkirchen 1936,Speed skating,1500m men
