,country,participant,result,olympic_game,discipline,event
0,FRA,jean-claude killy,00:01:59.850,Grenoble 1968,Alpine Skiing,downhill men
1,FRA,guy périllat,00:01:59.930,Grenoble 1968,Alpine Skiing,downhill men
2,SUI,jean-daniel dätwyler,00:02:00.320,Grenoble 1968,Alpine Skiing,downhill men
3,AUT,heinrich messner,00:02:01.030,Grenoble 1968,Alpine Skiing,downhill men
4,AUT,karl schranz,00:02:01.890,Grenoble 1968,Alpine Skiing,downhill men
5,ITA,ivo mahlknecht,00:02:02.000,Grenoble 1968,Alpine Skiing,downhill men
6,FRG,gerhard prinzing,00:02:02.100,Grenoble 1968,Alpine Skiing,downhill men
7,FRA,bernard orcel,00:02:02.220,Grenoble 1968,Alpine Skiing,downhill men
8,AUT,gerhard nenning,00:02:02.310,Grenoble 1968,Alpine Skiing,downhill men
9,SUI,edmund bruggmann,00:02:02.360,Grenoble 1968,Alpine Skiing,downhill men
10,ITA,gerardo mussner,00:02:02.500,Grenoble 1968,Alpine Skiing,downhill men
11,FRG,ludwig leitner,00:02:02.540,Grenoble 1968,Alpine Skiing,downhill men
12,AUT,egon zimmermann,00:02:02.550,Grenoble 1968,Alpine Skiing,downhill men
13,SUI,joos minsch,00:02:02.760,Grenoble 1968,Alpine Skiing,downhill men
14,FRG,franz vogler,00:02:02.940,Grenoble 1968,Alpine Skiing,downhill men
15,SUI,dumeng giovanoli,00:02:02.980,Grenoble 1968,Alpine Skiing,downhill men
16,NOR,bjarne strand,00:02:03.200,Grenoble 1968,Alpine Skiing,downhill men
17,USA,william kidd,00:02:03.400,Grenoble 1968,Alpine Skiing,downhill men
18,FRG,dieter fersch,00:02:03.410,Grenoble 1968,Alpine Skiing,downhill men
19,FRA,léo lacroix,00:02:03.860,Grenoble 1968,Alpine Skiing,downhill men
20,USA,dennis mccoy,00:02:04.820,Grenoble 1968,Alpine Skiing,downhill men
21,ITA,teresio vachet,00:02:04.900,Grenoble 1968,Alpine Skiing,downhill men
22,NOR,jon terje överland,00:02:05.340,Grenoble 1968,Alpine Skiing,downhill men
23,AUS,malcolm milne,00:02:05.360,Grenoble 1968,Alpine Skiing,downhill men
24,GBR,jeremy james palmer-tomkinson,00:02:05.430,Grenoble 1968,Alpine Skiing,downhill men
25,POL,andrzej bachleda-curus,00:02:05.480,Grenoble 1968,Alpine Skiing,downhill men
26,CAN,wayne henderson,00:02:05.560,Grenoble 1968,Alpine Skiing,downhill men
27,ITA,renato valentini,00:02:05.610,Grenoble 1968,Alpine Skiing,downhill men
28,SWE,rune lindström,00:02:05.690,Grenoble 1968,Alpine Skiing,downhill men
29,FIN,ulf ekstam,00:02:06.140,Grenoble 1968,Alpine Skiing,downhill men
30,CAN,gerry rinaldi,00:02:06.300,Grenoble 1968,Alpine Skiing,downhill men
31,ESP,aurelio garcia-olivier,00:02:06.840,Grenoble 1968,Alpine Skiing,downhill men
32,LIE,josef gassner,00:02:06.910,Grenoble 1968,Alpine Skiing,downhill men
33,NOR,lars hamre,00:02:06.930,Grenoble 1968,Alpine Skiing,downhill men
34,TCH,miloslav pazout,00:02:07.450,Grenoble 1968,Alpine Skiing,downhill men
35,TCH,jaroslav janda,00:02:07.710,Grenoble 1968,Alpine Skiing,downhill men
36,LIE,wolfgang ender,00:02:08.080,Grenoble 1968,Alpine Skiing,downhill men
37,ESP,francisco fernandez ochoa,00:02:08.670,Grenoble 1968,Alpine Skiing,downhill men
38,ESP,luciano del cacho,00:02:08.850,Grenoble 1968,Alpine Skiing,downhill men
39,URS,viktor beliakov,00:02:09.320,Grenoble 1968,Alpine Skiing,downhill men
40,YUG,andrej klinar,00:02:09.610,Grenoble 1968,Alpine Skiing,downhill men
41,NZL,robert palmer,00:02:09.790,Grenoble 1968,Alpine Skiing,downhill men
42,SWE,per-olov richardsson,00:02:09.830,Grenoble 1968,Alpine Skiing,downhill men
43,GBR,ian todd,00:02:10.000,Grenoble 1968,Alpine Skiing,downhill men
44,JPN,tsuneo noto,00:02:10.320,Grenoble 1968,Alpine Skiing,downhill men
45,CHI,mario vera,00:02:10.440,Grenoble 1968,Alpine Skiing,downhill men
