,country,participant,result,olympic_game,discipline,event
0,,,00:02:17.390,Grenoble 1968,Bobsleigh,four-man men
1,,,00:02:17.480,Grenoble 1968,Bobsleigh,four-man men
2,,,00:02:18.040,Grenoble 1968,Bobsleigh,four-man men
3,,,00:02:18.140,Grenoble 1968,Bobsleigh,four-man men
4,,,00:02:18.330,Grenoble 1968,Bobsleigh,four-man men
5,,,00:02:18.360,Grenoble 1968,Bobsleigh,four-man men
6,,,00:02:18.840,Grenoble 1968,Bobsleigh,four-man men
7,,,00:02:18.840,Grenoble 1968,Bobsleigh,four-man men
8,,,00:02:19.470,Grenoble 1968,Bobsleigh,four-man men
9,,,00:02:19.560,Grenoble 1968,Bobsleigh,four-man men
10,,,00:02:19.720,Grenoble 1968,Bobsleigh,four-man men
11,,,00:02:19.830,Grenoble 1968,Bobsleigh,four-man men
12,,,00:02:20.020,Grenoble 1968,Bobsleigh,four-man men
13,,,00:02:20.190,Grenoble 1968,Bobsleigh,four-man men
14,,,00:02:20.370,Grenoble 1968,Bobsleigh,four-man men
15,,,00:02:22.100,Grenoble 1968,Bobsleigh,four-man men
16,,,00:02:22.820,Grenoble 1968,Bobsleigh,four-man men
17,,,00:02:23.180,Grenoble 1968,Bobsleigh,four-man men
18,,,00:02:24.320,Grenoble 1968,Bobsleigh,four-man men
0,ITA,luciano de paolis,00:04:41.540,Grenoble 1968,Bobsleigh,two-man men
1,FRG,horst floth,00:04:41.540,Grenoble 1968,Bobsleigh,two-man men
2,ROU,nicolae neagoe,00:04:44.460,Grenoble 1968,Bobsleigh,two-man men
3,AUT,erwin thaler,00:04:45.130,Grenoble 1968,Bobsleigh,two-man men
4,GBR,robin thomas dixon,00:04:45.160,Grenoble 1968,Bobsleigh,two-man men
5,USA,robert huscher,00:04:46.030,Grenoble 1968,Bobsleigh,two-man men
6,FRG,wolfgang zimmerer,00:04:46.400,Grenoble 1968,Bobsleigh,two-man men
7,AUT,fritz dinkhauser,00:04:46.630,Grenoble 1968,Bobsleigh,two-man men
8,SUI,hans candrian,00:04:46.980,Grenoble 1968,Bobsleigh,two-man men
9,SUI,rené stadler,00:04:49.160,Grenoble 1968,Bobsleigh,two-man men
10,USA,michael luce,00:04:49.310,Grenoble 1968,Bobsleigh,two-man men
11,ITA,sergio mocellini,00:04:50.310,Grenoble 1968,Bobsleigh,two-man men
12,ESP,josé maria palomo,00:04:51.160,Grenoble 1968,Bobsleigh,two-man men
13,SWE,börje g. hedblom,00:04:51.190,Grenoble 1968,Bobsleigh,two-man men
14,GBR,john blockey,00:04:51.270,Grenoble 1968,Bobsleigh,two-man men
15,FRA,bertrand croset,00:04:51.280,Grenoble 1968,Bobsleigh,two-man men
16,ESP,maximiliano jones,00:04:51.540,Grenoble 1968,Bobsleigh,two-man men
17,SWE,eric v. wennerberg,00:04:51.690,Grenoble 1968,Bobsleigh,two-man men
18,CAN,purvis mcdougall,00:04:54.100,Grenoble 1968,Bobsleigh,two-man men
19,FRA,gérard christaud-pipola,00:05:11.670,Grenoble 1968,Bobsleigh,two-man men
20,ROU,gheorghe maftei,Did not finish,Grenoble 1968,Bobsleigh,two-man men
21,CAN,hans gehrig,Disqualified,Grenoble 1968,Bobsleigh,two-man men
