,country,participant,result,olympic_game,discipline,event
0,SWE,toini gustafsson,00:36:46.500,Grenoble 1968,Cross Country Skiing,10km women
1,NOR,berit mördre,00:37:54.600,Grenoble 1968,Cross Country Skiing,10km women
2,NOR,inger aufles,00:37:59.900,Grenoble 1968,Cross Country Skiing,10km women
3,SWE,barbro martinsson,00:38:07.100,Grenoble 1968,Cross Country Skiing,10km women
4,FIN,marjatta kajosmaa,00:38:09.000,Grenoble 1968,Cross Country Skiing,10km women
5,URS,galina kulakova,00:38:26.700,Grenoble 1968,Cross Country Skiing,10km women
6,URS,alevtina kolchina,00:38:52.900,Grenoble 1968,Cross Country Skiing,10km women
7,NOR,babben enger,00:38:54.400,Grenoble 1968,Cross Country Skiing,10km women
8,GDR,christine nestler,00:39:07.900,Grenoble 1968,Cross Country Skiing,10km women
9,SWE,barbro tano,00:39:09.600,Grenoble 1968,Cross Country Skiing,10km women
10,URS,alevtina olyunina,00:39:10.300,Grenoble 1968,Cross Country Skiing,10km women
11,FIN,senja pusula,00:39:12.500,Grenoble 1968,Cross Country Skiing,10km women
12,URS,faadiya salimzhanova,00:39:17.900,Grenoble 1968,Cross Country Skiing,10km women
13,GDR,gudrun schmidt,00:39:22.800,Grenoble 1968,Cross Country Skiing,10km women
14,SWE,britt strandberg,00:39:25.700,Grenoble 1968,Cross Country Skiing,10km women
15,GDR,renate fischer,00:39:27.400,Grenoble 1968,Cross Country Skiing,10km women
16,NOR,katharina mo,00:39:35.400,Grenoble 1968,Cross Country Skiing,10km women
17,FIN,liisa suikhonen,00:39:55.300,Grenoble 1968,Cross Country Skiing,10km women
18,POL,stefania biegun,00:39:55.400,Grenoble 1968,Cross Country Skiing,10km women
19,FRG,monika mrklas,00:39:58.200,Grenoble 1968,Cross Country Skiing,10km women
20,POL,weronika budny,00:40:09.400,Grenoble 1968,Cross Country Skiing,10km women
21,GDR,anna unger,00:40:36.800,Grenoble 1968,Cross Country Skiing,10km women
22,JPN,fujiko kato,00:40:40.000,Grenoble 1968,Cross Country Skiing,10km women
23,HUN,eva balasz,00:40:58.300,Grenoble 1968,Cross Country Skiing,10km women
24,POL,jozefa czerniawska,00:40:59.900,Grenoble 1968,Cross Country Skiing,10km women
25,FRG,michaela endler,00:41:01.100,Grenoble 1968,Cross Country Skiing,10km women
26,BUL,nadezhda vasileva,00:41:25.800,Grenoble 1968,Cross Country Skiing,10km women
27,BUL,tzvetana sotirova,00:42:16.500,Grenoble 1968,Cross Country Skiing,10km women
28,BUL,roza dimova,00:43:18.400,Grenoble 1968,Cross Country Skiing,10km women
29,POL,anna duraj,00:43:23.800,Grenoble 1968,Cross Country Skiing,10km women
30,BUL,velichka pandeva,00:43:26.300,Grenoble 1968,Cross Country Skiing,10km women
31,DEN,kirsten carlsen,00:46:56.200,Grenoble 1968,Cross Country Skiing,10km women
32,FIN,helena takalo,Did not finish,Grenoble 1968,Cross Country Skiing,10km women
33,FRG,barbara barthel,Did not finish,Grenoble 1968,Cross Country Skiing,10km women
0,NOR,harald grönningen,00:47:54.200,Grenoble 1968,Cross Country Skiing,15km men
1,FIN,eero mäntyranta,00:47:56.100,Grenoble 1968,Cross Country Skiing,15km men
2,SWE,gunnar larsson,00:48:33.700,Grenoble 1968,Cross Country Skiing,15km men
3,FIN,kalevi laurila,00:48:37.600,Grenoble 1968,Cross Country Skiing,15km men
4,SWE,jan halvarsson,00:48:39.100,Grenoble 1968,Cross Country Skiing,15km men
5,SWE,bjarne andersson,00:48:41.100,Grenoble 1968,Cross Country Skiing,15km men
6,NOR,paal tyldum,00:48:42.000,Grenoble 1968,Cross Country Skiing,15km men
7,NOR,odd martinsen,00:48:59.300,Grenoble 1968,Cross Country Skiing,15km men
8,URS,valery tarakanov,00:49:04.400,Grenoble 1968,Cross Country Skiing,15km men
9,FIN,kalevi oikarainen,00:49:11.100,Grenoble 1968,Cross Country Skiing,15km men
10,SWE,assar rönnlund,00:49:25.300,Grenoble 1968,Cross Country Skiing,15km men
11,FRG,walter demel,00:49:38.400,Grenoble 1968,Cross Country Skiing,15km men
12,ITA,gianfranco stella,00:49:59.800,Grenoble 1968,Cross Country Skiing,15km men
13,TCH,karel stefl,00:50:15.400,Grenoble 1968,Cross Country Skiing,15km men
14,ITA,giulio de florian,00:50:19.400,Grenoble 1968,Cross Country Skiing,15km men
15,URS,anatoly akentyev,00:50:19.900,Grenoble 1968,Cross Country Skiing,15km men
16,NOR,reidar hjermstad,00:50:25.700,Grenoble 1968,Cross Country Skiing,15km men
17,SUI,joseph haas,00:50:34.800,Grenoble 1968,Cross Country Skiing,15km men
18,SUI,florian koch,00:50:37.200,Grenoble 1968,Cross Country Skiing,15km men
19,FRG,karl buhl,00:50:38.100,Grenoble 1968,Cross Country Skiing,15km men
20,POL,jozef rysula,00:50:38.500,Grenoble 1968,Cross Country Skiing,15km men
21,URS,vladimir voronkov,00:50:40.700,Grenoble 1968,Cross Country Skiing,15km men
22,TCH,jan fajstavr,00:50:46.500,Grenoble 1968,Cross Country Skiing,15km men
23,FRA,roger pires,00:50:52.600,Grenoble 1968,Cross Country Skiing,15km men
24,BUL,petar pankov,00:50:54.100,Grenoble 1968,Cross Country Skiing,15km men
25,URS,fyodor simashev,00:51:05.300,Grenoble 1968,Cross Country Skiing,15km men
26,TCH,vaclav perina,00:51:06.600,Grenoble 1968,Cross Country Skiing,15km men
27,FRA,victor arbez,00:51:20.500,Grenoble 1968,Cross Country Skiing,15km men
28,GDR,gerhard grimmer,00:51:22.100,Grenoble 1968,Cross Country Skiing,15km men
29,SUI,albert giger,00:51:26.600,Grenoble 1968,Cross Country Skiing,15km men
30,AUT,andreas janc,00:51:29.800,Grenoble 1968,Cross Country Skiing,15km men
31,ITA,franco manfroi,00:51:47.700,Grenoble 1968,Cross Country Skiing,15km men
