,country,participant,result,olympic_game,discipline,event
0,USA,samuel lee,156.28,Helsinki 1952,Diving,10m platform men
1,MEX,joaquin capilla perez,145.21,Helsinki 1952,Diving,10m platform men
2,GER,günther haase,141.31,Helsinki 1952,Diving,10m platform men
3,USA,john william mccormack,138.74,Helsinki 1952,Diving,10m platform men
4,MEX,alberto capilla perez,136.44,Helsinki 1952,Diving,10m platform men
5,MEX,rodolfo perea castro,128.28,Helsinki 1952,Diving,10m platform men
6,URS,aleksandr bakatin,126.86,Helsinki 1952,Diving,10m platform men
7,URS,roman brener,126.31,Helsinki 1952,Diving,10m platform men
8,USA,john collier calhoun,70.22,Helsinki 1952,Diving,10m platform men
9,GER,fritz geyer,69.64,Helsinki 1952,Diving,10m platform men
10,DEN,thomas knud christiansen,69.10,Helsinki 1952,Diving,10m platform men
11,GBR,peter heatly,67.78,Helsinki 1952,Diving,10m platform men
12,FIN,jarl birger kivela,67.31,Helsinki 1952,Diving,10m platform men
13,EGY,ahmed kamel aly,66.19,Helsinki 1952,Diving,10m platform men
14,DEN,jacob christian lunoe gjerding,65.88,Helsinki 1952,Diving,10m platform men
15,SWE,toivo ohman,65.37,Helsinki 1952,Diving,10m platform men
16,FRA,raymond mulinghausen,65.02,Helsinki 1952,Diving,10m platform men
17,URS,mikhail chachba,65.02,Helsinki 1952,Diving,10m platform men
18,GBR,anthony abraham turner,64.34,Helsinki 1952,Diving,10m platform men
19,GER,werner sobeck,64.27,Helsinki 1952,Diving,10m platform men
20,AUS,francis thomas murphy,64.10,Helsinki 1952,Diving,10m platform men
21,AUT,franz worisch,63.02,Helsinki 1952,Diving,10m platform men
22,EGY,mohamed fahkry abbas,62.92,Helsinki 1952,Diving,10m platform men
23,AUT,julius janowsky,62.65,Helsinki 1952,Diving,10m platform men
24,EGY,kamal ali hassan,61.03,Helsinki 1952,Diving,10m platform men
25,ITA,lamberto mari,60.44,Helsinki 1952,Diving,10m platform men
26,AUT,kurt liederer,60.21,Helsinki 1952,Diving,10m platform men
27,BRA,arie richard hanitzsch,59.40,Helsinki 1952,Diving,10m platform men
28,JPN,katsuichi mori,58.65,Helsinki 1952,Diving,10m platform men
29,ISR,yoav raanan,58.15,Helsinki 1952,Diving,10m platform men
30,SUI,heinz schaub,54.40,Helsinki 1952,Diving,10m platform men
0,USA,pat mccormick,79.37,Helsinki 1952,Diving,10m platform women
1,USA,paula jean myers-pope,71.63,Helsinki 1952,Diving,10m platform women
2,USA,juno roslays stover-irwin,70.49,Helsinki 1952,Diving,10m platform women
3,FRA,nicolle pellissard-darrigrand,69.08,Helsinki 1952,Diving,10m platform women
4,GBR,phyllis ann long,63.19,Helsinki 1952,Diving,10m platform women
5,URS,tatyana vereina-karakashyants,61.09,Helsinki 1952,Diving,10m platform women
6,GBR,diane mary spencer,60.76,Helsinki 1952,Diving,10m platform women
7,URS,yevgeniya bogdanovskaya,57.50,Helsinki 1952,Diving,10m platform women
8,AUT,eva pfarrhofer,40.26,Helsinki 1952,Diving,10m platform women
9,MEX,carlota rios laurenzana,39.76,Helsinki 1952,Diving,10m platform women
10,JPN,misami miyamoto,36.24,Helsinki 1952,Diving,10m platform women
11,GBR,valerie pauline lloyd-chandos,35.39,Helsinki 1952,Diving,10m platform women
12,MEX,irma lozano gallo,33.33,Helsinki 1952,Diving,10m platform women
13,URS,ninel krutova,32.35,Helsinki 1952,Diving,10m platform women
14,SUI,fernanda martini-pautasso,30.04,Helsinki 1952,Diving,10m platform women
0,USA,david grieg jr. browning,205.29,Helsinki 1952,Diving,3m springboard men
1,USA,miller altman anderson,199.84,Helsinki 1952,Diving,3m springboard men
2,USA,robert lynn clotworthy,184.92,Helsinki 1952,Diving,3m springboard men
3,MEX,joaquin capilla perez,178.33,Helsinki 1952,Diving,3m springboard men
4,URS,roman brener,165.63,Helsinki 1952,Diving,3m springboard men
5,BRA,milton busin,155.91,Helsinki 1952,Diving,3m springboard men
6,GBR,anthony abraham turner,151.90,Helsinki 1952,Diving,3m springboard men
7,URS,aleksey zhigalov,151.31,Helsinki 1952,Diving,3m springboard men
8,ISR,yoav raanan,67.70,Helsinki 1952,Diving,3m springboard men
9,AUT,franz worisch,67.18,Helsinki 1952,Diving,3m springboard men
10,GER,hanus aderhold,67.09,Helsinki 1952,Diving,3m springboard men
11,GER,werner sobeck,66.75,Helsinki 1952,Diving,3m springboard men
12,URS,gennady udalov,65.99,Helsinki 1952,Diving,3m springboard men
13,FIN,helge allan arthur vasenius,65.41,Helsinki 1952,Diving,3m springboard men
14,JPN,katsuichi mori,65.23,Helsinki 1952,Diving,3m springboard men
15,GBR,peter heatly,63.37,Helsinki 1952,Diving,3m springboard men
16,EGY,ahmed kamel aly,62.95,Helsinki 1952,Diving,3m springboard men
17,EGY,kamal ali hassan,62.68,Helsinki 1952,Diving,3m springboard men
18,MEX,rodolfo perea castro,62.36,Helsinki 1952,Diving,3m springboard men
19,MEX,alberto capilla perez,61.85,Helsinki 1952,Diving,3m springboard men
20,GBR,peter john henry elliott,61.85,Helsinki 1952,Diving,3m springboard men
21,RSA,willem jacobus welgemoed,61.64,Helsinki 1952,Diving,3m springboard men
22,SWE,frank landqvist,60.11,Helsinki 1952,Diving,3m springboard men
23,AUS,ron faulds,59.90,Helsinki 1952,Diving,3m springboard men
24,BER,frank jones gosling,59.57,Helsinki 1952,Diving,3m springboard men
25,FRA,raymond mulinghausen,59.52,Helsinki 1952,Diving,3m springboard men
26,SWE,gunnar johansson,59.11,Helsinki 1952,Diving,3m springboard men
27,BER,charles ambrose johnson,58.70,Helsinki 1952,Diving,3m springboard men
28,FIN,olavi mikael heinonen,58.06,Helsinki 1952,Diving,3m springboard men
29,FRA,henri goosen,57.79,Helsinki 1952,Diving,3m springboard men
30,SRI,norman allan smith,55.00,Helsinki 1952,Diving,3m springboard men
31,ITA,lamberto mari,54.42,Helsinki 1952,Diving,3m springboard men
32,EGY,ahmed fathi mohamed hashad,50.04,Helsinki 1952,Diving,3m springboard men
33,AUS,francis thomas murphy,48.42,Helsinki 1952,Diving,3m springboard men
34,SUI,heinz schaub,47.15,Helsinki 1952,Diving,3m springboard men
35,VEN,eduardo jorge fereda,41.98,Helsinki 1952,Diving,3m springboard men
0,USA,pat mccormick,147.30,Helsinki 1952,Diving,3m springboard women
1,FRA,madeleine moreau,139.34,Helsinki 1952,Diving,3m springboard women
2,USA,zoe-ann olsen-jensen,127.57,Helsinki 1952,Diving,3m springboard women
3,URS,ninel krutova,116.86,Helsinki 1952,Diving,3m springboard women
4,GBR,charmian isobel welsh,116.38,Helsinki 1952,Diving,3m springboard women
5,URS,lyubov zhigalova,113.83,Helsinki 1952,Diving,3m springboard women
6,FRA,nicolle pellissard-darrigrand,111.98,Helsinki 1952,Diving,3m springboard women
7,GBR,phyllis ann long,108.82,Helsinki 1952,Diving,3m springboard women
