,country,participant,result,olympic_game,discipline,event
0,,,20,Helsinki 1952,Football,football men
1,,,26,Helsinki 1952,Football,football men
2,,,9,Helsinki 1952,Football,football men
3,,,8,Helsinki 1952,Football,football men
4,,,7,Helsinki 1952,Football,football men
5,,,9,Helsinki 1952,Football,football men
6,,,3,Helsinki 1952,Football,football men
7,,,5,Helsinki 1952,Football,football men
8,,,8,Helsinki 1952,Football,football men
9,,,2,Helsinki 1952,Football,football men
10,,,6,Helsinki 1952,Football,football men
11,,,6,Helsinki 1952,Football,football men
12,,,8,Helsinki 1952,Football,football men
13,,,1,Helsinki 1952,Football,football men
14,,,1,Helsinki 1952,Football,football men
15,,,3,Helsinki 1952,Football,football men
16,,,1,Helsinki 1952,Football,football men
17,,,1,Helsinki 1952,Football,football men
18,,,1,Helsinki 1952,Football,football men
19,,,1,Helsinki 1952,Football,football men
20,,,4,Helsinki 1952,Football,football men
21,,,1,Helsinki 1952,Football,football men
22,,,3,Helsinki 1952,Football,football men
23,,,1,Helsinki 1952,Football,football men
24,,,0,Helsinki 1952,Football,football men
25,,,Did not start,Helsinki 1952,Football,football men
26,,,Did not start,Helsinki 1952,Football,football men
