,country,participant,result,olympic_game,discipline,event
0,SWE,lars hall,32,Helsinki 1952,Modern Pentathlon,Individual competition men
1,HUN,gabor benedek,39,Helsinki 1952,Modern Pentathlon,Individual competition men
2,HUN,istvan szondi,41,Helsinki 1952,Modern Pentathlon,Individual competition men
3,URS,igor novikov,55,Helsinki 1952,Modern Pentathlon,Individual competition men
4,FIN,olavi aleksanteri mannonen,62,Helsinki 1952,Modern Pentathlon,Individual competition men
5,USA,frederick lockwood denman,62,Helsinki 1952,Modern Pentathlon,Individual competition men
6,FIN,lauri johannes vilkko,63,Helsinki 1952,Modern Pentathlon,Individual competition men
7,USA,william thad mcarthur,68,Helsinki 1952,Modern Pentathlon,Individual competition men
8,SWE,thorsten lindqvist,75,Helsinki 1952,Modern Pentathlon,Individual competition men
9,BRA,eduardo leal medeiros,80,Helsinki 1952,Modern Pentathlon,Individual competition men
10,SWE,claes egnell,82,Helsinki 1952,Modern Pentathlon,Individual competition men
11,HUN,aladar kovacsi,93,Helsinki 1952,Modern Pentathlon,Individual competition men
12,FIN,olavi antero rokka,95,Helsinki 1952,Modern Pentathlon,Individual competition men
13,USA,guy kent troy,95,Helsinki 1952,Modern Pentathlon,Individual competition men
14,GBR,john leon sydney lumsdaine,96,Helsinki 1952,Modern Pentathlon,Individual competition men
15,ARG,luis fernando riera,100,Helsinki 1952,Modern Pentathlon,Individual competition men
16,CHI,nilo floody buxton,106,Helsinki 1952,Modern Pentathlon,Individual competition men
17,SUI,werner vetterli,107,Helsinki 1952,Modern Pentathlon,Individual competition men
18,FRA,andre jean maurice lacroix,110,Helsinki 1952,Modern Pentathlon,Individual competition men
19,SUI,werner schmid,110,Helsinki 1952,Modern Pentathlon,Individual competition men
20,BRA,aloysio alves borges,113,Helsinki 1952,Modern Pentathlon,Individual competition men
21,CHI,hernan fuentes besoain,120,Helsinki 1952,Modern Pentathlon,Individual competition men
22,URS,pavel rakityansky,123,Helsinki 1952,Modern Pentathlon,Individual competition men
23,ARG,carlos alberto velasquez,123,Helsinki 1952,Modern Pentathlon,Individual competition men
24,AUS,forbes carlile,123,Helsinki 1952,Modern Pentathlon,Individual competition men
25,URU,alberto ortiz,126,Helsinki 1952,Modern Pentathlon,Individual competition men
26,CHI,luis carmona barrales,128,Helsinki 1952,Modern Pentathlon,Individual competition men
27,URS,aleksandr dekhayev,129,Helsinki 1952,Modern Pentathlon,Individual competition men
28,BRA,eric tinoco marques,135,Helsinki 1952,Modern Pentathlon,Individual competition men
29,GBR,john alfred hewitt,136,Helsinki 1952,Modern Pentathlon,Individual competition men
30,ITA,alfonso marotta,137,Helsinki 1952,Modern Pentathlon,Individual competition men
31,GER,berthold slupik,148,Helsinki 1952,Modern Pentathlon,Individual competition men
32,ITA,duilio brignetti,151,Helsinki 1952,Modern Pentathlon,Individual competition men
33,ARG,jorge esteban caseres monie,152,Helsinki 1952,Modern Pentathlon,Individual competition men
34,SUI,erhard minder,158,Helsinki 1952,Modern Pentathlon,Individual competition men
35,GER,dietloff kapp,158,Helsinki 1952,Modern Pentathlon,Individual competition men
36,GBR,jervis joscelyn percy,161,Helsinki 1952,Modern Pentathlon,Individual competition men
37,MEX,jose perez mier,163,Helsinki 1952,Modern Pentathlon,Individual competition men
38,ITA,giulio palmonella,164,Helsinki 1952,Modern Pentathlon,Individual competition men
39,FRA,bertrand de montaudoin,176,Helsinki 1952,Modern Pentathlon,Individual competition men
40,POR,ricardo fernando durao,179,Helsinki 1952,Modern Pentathlon,Individual competition men
41,FRA,christian palant,181,Helsinki 1952,Modern Pentathlon,Individual competition men
42,URU,lem p. martinez,187,Helsinki 1952,Modern Pentathlon,Individual competition men
43,MEX,antonio almada felix,193,Helsinki 1952,Modern Pentathlon,Individual competition men
44,BEL,francis desire plumerel,195,Helsinki 1952,Modern Pentathlon,Individual competition men
45,POR,jose serra pereira,197,Helsinki 1952,Modern Pentathlon,Individual competition men
46,MEX,david romero vargas,202,Helsinki 1952,Modern Pentathlon,Individual competition men
47,POR,antonio lopes jonet,210,Helsinki 1952,Modern Pentathlon,Individual competition men
48,URU,americo gonzalez,212,Helsinki 1952,Modern Pentathlon,Individual competition men
49,RSA,harry cecil schmidt,226,Helsinki 1952,Modern Pentathlon,Individual competition men
50,GER,adolf harder,Did not finish,Helsinki 1952,Modern Pentathlon,Individual competition men
0,,,166,Helsinki 1952,Modern Pentathlon,team competition men
1,,,182,Helsinki 1952,Modern Pentathlon,team competition men
2,,,213,Helsinki 1952,Modern Pentathlon,team competition men
3,,,215,Helsinki 1952,Modern Pentathlon,team competition men
4,,,293,Helsinki 1952,Modern Pentathlon,team competition men
5,,,313,Helsinki 1952,Modern Pentathlon,team competition men
6,,,336,Helsinki 1952,Modern Pentathlon,team competition men
7,,,355,Helsinki 1952,Modern Pentathlon,team competition men
8,,,356,Helsinki 1952,Modern Pentathlon,team competition men
9,,,373,Helsinki 1952,Modern Pentathlon,team competition men
10,,,427,Helsinki 1952,Modern Pentathlon,team competition men
11,,,441,Helsinki 1952,Modern Pentathlon,team competition men
12,,,495,Helsinki 1952,Modern Pentathlon,team competition men
13,,,524,Helsinki 1952,Modern Pentathlon,team competition men
14,,,546,Helsinki 1952,Modern Pentathlon,team competition men
15,,,Did not finish,Helsinki 1952,Modern Pentathlon,team competition men
