,country,participant,result,olympic_game,discipline,event
0,URS,vladimir melanin,01:20:26.800,Innsbruck 1964,Biathlon,20km men
1,URS,aleksandr privalov,01:23:42.500,Innsbruck 1964,Biathlon,20km men
2,NOR,olav jordet,01:24:38.800,Innsbruck 1964,Biathlon,20km men
3,NOR,ragnar tveiten,01:25:52.500,Innsbruck 1964,Biathlon,20km men
4,ROU,vilmoș gheorghe,01:26:18.000,Innsbruck 1964,Biathlon,20km men
5,POL,jozef rubis,01:26:31.600,Innsbruck 1964,Biathlon,20km men
6,URS,valentin pchenitzin,01:26:59.000,Innsbruck 1964,Biathlon,20km men
7,FIN,hannu kalevi posti,01:27:16.500,Innsbruck 1964,Biathlon,20km men
8,SWE,john guttke,01:28:02.400,Innsbruck 1964,Biathlon,20km men
9,URS,nikolay puzanov,01:29:21.500,Innsbruck 1964,Biathlon,20km men
10,NOR,jon istad,01:29:24.800,Innsbruck 1964,Biathlon,20km men
11,SWE,sture ohlin,01:29:46.000,Innsbruck 1964,Biathlon,20km men
12,FIN,antti tyrväinen,01:30:09.000,Innsbruck 1964,Biathlon,20km men
13,ROU,constantin carabela,01:30:59.000,Innsbruck 1964,Biathlon,20km men
14,FIN,veikko hakulinen,01:31:37.900,Innsbruck 1964,Biathlon,20km men
15,USA,charles arthur akers,01:32:24.900,Innsbruck 1964,Biathlon,20km men
16,SWE,sven-olov axelsson,01:33:13.600,Innsbruck 1964,Biathlon,20km men
17,POL,stanislaw szczepaniak,01:33:43.500,Innsbruck 1964,Biathlon,20km men
18,JPN,yuji yamanaka,01:33:51.800,Innsbruck 1964,Biathlon,20km men
19,POL,jozef gasienica-sobczak,01:34:00.600,Innsbruck 1964,Biathlon,20km men
20,GER,hans-dieter riechel,01:34:30.900,Innsbruck 1964,Biathlon,20km men
21,NOR,ola waerhaug,01:34:38.000,Innsbruck 1964,Biathlon,20km men
22,FIN,esko marttinen,01:34:50.200,Innsbruck 1964,Biathlon,20km men
23,GER,egon schnabel,01:34:53.000,Innsbruck 1964,Biathlon,20km men
24,SWE,sten eriksson,01:35:27.800,Innsbruck 1964,Biathlon,20km men
25,JPN,yoshio ninomine,01:35:38.600,Innsbruck 1964,Biathlon,20km men
26,ROU,gheorghe cimpoia,01:35:44.600,Innsbruck 1964,Biathlon,20km men
27,AUT,hansjörg farbmacher,01:36:11.300,Innsbruck 1964,Biathlon,20km men
28,GBR,john robin dent,01:36:27.200,Innsbruck 1964,Biathlon,20km men
29,USA,william allen spencer,01:36:49.800,Innsbruck 1964,Biathlon,20km men
30,GER,helmut klöpsch,01:38:08.500,Innsbruck 1964,Biathlon,20km men
31,FRA,paul romand,01:38:51.200,Innsbruck 1964,Biathlon,20km men
32,GER,dieter ritter,01:38:51.400,Innsbruck 1964,Biathlon,20km men
33,AUT,walter müller,01:39:12.300,Innsbruck 1964,Biathlon,20km men
34,POL,stanislaw styrczula,01:40:52.100,Innsbruck 1964,Biathlon,20km men
35,USA,peter juhani lahdenperä,01:43:04.700,Innsbruck 1964,Biathlon,20km men
36,GBR,alan graham notley,01:46:10.300,Innsbruck 1964,Biathlon,20km men
37,MGL,damdinjav bayanjavyn,01:46:19.700,Innsbruck 1964,Biathlon,20km men
38,USA,paul wisner renne,01:46:45.900,Innsbruck 1964,Biathlon,20km men
39,GBR,john arthur g. moore,01:47:49.400,Innsbruck 1964,Biathlon,20km men
40,AUT,adolf scherwitzl,01:48:12.700,Innsbruck 1964,Biathlon,20km men
41,MGL,dashgai bizyaagiin,01:51:26.000,Innsbruck 1964,Biathlon,20km men
42,GBR,roderick tuck,01:51:55.500,Innsbruck 1964,Biathlon,20km men
43,MGL,lkhamsüren tudeviin,01:53:10.100,Innsbruck 1964,Biathlon,20km men
44,SUI,marcel vogel,01:53:14.100,Innsbruck 1964,Biathlon,20km men
45,SUI,erich schönbächler,01:53:59.500,Innsbruck 1964,Biathlon,20km men
46,SUI,willy junod,01:54:00.700,Innsbruck 1964,Biathlon,20km men
47,SUI,peter gerig,02:02:32.500,Innsbruck 1964,Biathlon,20km men
48,MGL,danzan tsambyn,02:06:45.600,Innsbruck 1964,Biathlon,20km men
49,AUT,paul ernst,Did not finish,Innsbruck 1964,Biathlon,20km men
50,ROU,nicolae barbarescu,Did not finish,Innsbruck 1964,Biathlon,20km men
