,country,participant,result,olympic_game,discipline,event
0,GDR,ulrich wehling,432.200,Lake Placid 1980,Nordic Combined,Individual men
1,FIN,jouko karjalainen,429.500,Lake Placid 1980,Nordic Combined,Individual men
2,GDR,konrad winkler,425.320,Lake Placid 1980,Nordic Combined,Individual men
3,NOR,tom sandberg,418.465,Lake Placid 1980,Nordic Combined,Individual men
4,GDR,uwe dotzauer,418.415,Lake Placid 1980,Nordic Combined,Individual men
5,SUI,karl lustenberger,412.210,Lake Placid 1980,Nordic Combined,Individual men
6,URS,aleksandr mayorov,409.135,Lake Placid 1980,Nordic Combined,Individual men
7,GDR,günter schmieder,404.075,Lake Placid 1980,Nordic Combined,Individual men
8,FRG,hubert schwarz,402.145,Lake Placid 1980,Nordic Combined,Individual men
9,POL,jan legierski,400.930,Lake Placid 1980,Nordic Combined,Individual men
10,NOR,hallstein bögseth,398.990,Lake Placid 1980,Nordic Combined,Individual men
11,USA,walter malmquist,395.300,Lake Placid 1980,Nordic Combined,Individual men
12,FIN,jorma etelälahti,391.915,Lake Placid 1980,Nordic Combined,Individual men
13,FRG,urban hettich,390.525,Lake Placid 1980,Nordic Combined,Individual men
14,URS,fjodor koltšin,387.355,Lake Placid 1980,Nordic Combined,Individual men
15,FRG,hermann weinbuch,385.240,Lake Placid 1980,Nordic Combined,Individual men
16,POL,jozef pawlusiak,384.600,Lake Placid 1980,Nordic Combined,Individual men
17,USA,kerry-joel lynch,382.330,Lake Placid 1980,Nordic Combined,Individual men
18,URS,sergei omelchenko,379.935,Lake Placid 1980,Nordic Combined,Individual men
19,FRG,günther abel,376.520,Lake Placid 1980,Nordic Combined,Individual men
20,SUI,ernst beetschen,368.595,Lake Placid 1980,Nordic Combined,Individual men
21,FIN,jukka kuvaja,367.845,Lake Placid 1980,Nordic Combined,Individual men
22,FIN,rauno miettinen,367.540,Lake Placid 1980,Nordic Combined,Individual men
23,POL,kazimierz dlugopolski,364.895,Lake Placid 1980,Nordic Combined,Individual men
24,JPN,michio kubota,364.415,Lake Placid 1980,Nordic Combined,Individual men
25,POL,stanislaw kawulok,364.140,Lake Placid 1980,Nordic Combined,Individual men
26,JPN,toshihiro hanada,349.145,Lake Placid 1980,Nordic Combined,Individual men
27,USA,e. gary crawford,340.180,Lake Placid 1980,Nordic Combined,Individual men
28,NOR,odd arne engh,328.145,Lake Placid 1980,Nordic Combined,Individual men
29,USA,michael devecka,Did not finish,Lake Placid 1980,Nordic Combined,Individual men
30,NOR,arne morten granlien,Did not finish,Lake Placid 1980,Nordic Combined,Individual men
