,country,participant,result,olympic_game,discipline,event
0,,,68,Lillehammer 1994,Ice Hockey,ice hockey men
1,,,52,Lillehammer 1994,Ice Hockey,ice hockey men
2,,,79,Lillehammer 1994,Ice Hockey,ice hockey men
3,,,46,Lillehammer 1994,Ice Hockey,ice hockey men
4,,,61,Lillehammer 1994,Ice Hockey,ice hockey men
5,,,74,Lillehammer 1994,Ice Hockey,ice hockey men
6,,,40,Lillehammer 1994,Ice Hockey,ice hockey men
7,,,65,Lillehammer 1994,Ice Hockey,ice hockey men
8,,,42,Lillehammer 1994,Ice Hockey,ice hockey men
9,,,27,Lillehammer 1994,Ice Hockey,ice hockey men
10,,,23,Lillehammer 1994,Ice Hockey,ice hockey men
11,,,34,Lillehammer 1994,Ice Hockey,ice hockey men
