,country,participant,result,olympic_game,discipline,event
0,ITA,wilfried huber,00:01:36.720,Lillehammer 1994,Luge,Doubles mixed
1,ITA,norbert huber,00:01:36.769,Lillehammer 1994,Luge,Doubles mixed
2,GER,stefan krausse,00:01:36.945,Lillehammer 1994,Luge,Doubles mixed
3,USA,jonathan edwards,00:01:37.289,Lillehammer 1994,Luge,Doubles mixed
4,USA,chris thorpe,00:01:37.296,Lillehammer 1994,Luge,Doubles mixed
5,ROU,constantin-liviu cepoi,00:01:37.323,Lillehammer 1994,Luge,Doubles mixed
6,RUS,aleksey zelensky,00:01:37.477,Lillehammer 1994,Luge,Doubles mixed
7,CAN,robert gasper,00:01:37.691,Lillehammer 1994,Luge,Doubles mixed
8,UKR,andrej mukhin,00:01:37.691,Lillehammer 1994,Luge,Doubles mixed
9,AUT,tobias schiegl,00:01:37.695,Lillehammer 1994,Luge,Doubles mixed
10,LAT,roberts suharevs,00:01:37.867,Lillehammer 1994,Luge,Doubles mixed
11,LAT,dairis leksis,00:01:38.215,Lillehammer 1994,Luge,Doubles mixed
12,SWE,carl lindqvist,00:01:38.238,Lillehammer 1994,Luge,Doubles mixed
13,GER,steffen woeller,00:01:38.308,Lillehammer 1994,Luge,Doubles mixed
14,RUS,gennady belyakov,00:01:38.680,Lillehammer 1994,Luge,Doubles mixed
15,POL,leszek szarejko,00:01:38.904,Lillehammer 1994,Luge,Doubles mixed
16,GEO,kakha vakhtangishvili,00:01:39.384,Lillehammer 1994,Luge,Doubles mixed
17,JPN,yuji sasaki,00:01:40.124,Lillehammer 1994,Luge,Doubles mixed
18,BUL,ilko karacholov,00:01:41.763,Lillehammer 1994,Luge,Doubles mixed
19,NOR,lars - marius waldal,Did not finish,Lillehammer 1994,Luge,Doubles mixed
0,GER,georg hackl,00:03:21.571,Lillehammer 1994,Luge,Singles men
1,AUT,markus prock,00:03:21.584,Lillehammer 1994,Luge,Singles men
2,ITA,armin zoeggeler,00:03:21.833,Lillehammer 1994,Luge,Singles men
3,ITA,arnold huber,00:03:22.418,Lillehammer 1994,Luge,Singles men
4,USA,wendel suckow,00:03:22.424,Lillehammer 1994,Luge,Singles men
5,ITA,norbert huber,00:03:22.474,Lillehammer 1994,Luge,Singles men
6,AUT,gerhard gleirscher,00:03:22.569,Lillehammer 1994,Luge,Singles men
7,GER,jens mueller,00:03:22.580,Lillehammer 1994,Luge,Singles men
8,RUS,albert demchenko,00:03:22.627,Lillehammer 1994,Luge,Singles men
9,AUT,markus schmidt,00:03:23.114,Lillehammer 1994,Luge,Singles men
10,RUS,sergey danilin,00:03:23.261,Lillehammer 1994,Luge,Singles men
11,SWE,mikael holm,00:03:24.049,Lillehammer 1994,Luge,Singles men
12,SWE,anders soederberg,00:03:24.099,Lillehammer 1994,Luge,Singles men
13,RUS,eduard burmistrov,00:03:24.393,Lillehammer 1994,Luge,Singles men
14,GER,alexander bau,00:03:24.413,Lillehammer 1994,Luge,Singles men
15,USA,robert pipkins,00:03:24.580,Lillehammer 1994,Luge,Singles men
16,SWE,bengt walden,00:03:24.852,Lillehammer 1994,Luge,Singles men
17,LAT,agris elerts,00:03:25.993,Lillehammer 1994,Luge,Singles men
18,SVK,jozef skvarek,00:03:26.522,Lillehammer 1994,Luge,Singles men
19,CAN,clay ives,00:03:26.686,Lillehammer 1994,Luge,Singles men
20,LAT,juris vovcoks,00:03:26.948,Lillehammer 1994,Luge,Singles men
21,JPN,kazuhiko takamatsu,00:03:27.103,Lillehammer 1994,Luge,Singles men
22,ISV,kyle heikkila,00:03:27.236,Lillehammer 1994,Luge,Singles men
23,GRE,spyros - pol pinas,00:03:27.812,Lillehammer 1994,Luge,Singles men
24,JPN,yuji sasaki,00:03:28.478,Lillehammer 1994,Luge,Singles men
25,GBR,paul hix,00:03:29.115,Lillehammer 1994,Luge,Singles men
26,LIE,marco felder,00:03:29.409,Lillehammer 1994,Luge,Singles men
27,JPN,atsushi sasaki,00:03:29.796,Lillehammer 1994,Luge,Singles men
28,SUI,reto gilly,00:03:30.427,Lillehammer 1994,Luge,Singles men
29,BER,simon payne,00:03:30.637,Lillehammer 1994,Luge,Singles men
30,BIH,nedzad lomigora,00:03:34.128,Lillehammer 1994,Luge,Singles men
31,AUS,roger white,00:03:43.062,Lillehammer 1994,Luge,Singles men
32,USA,duncan kennedy,Did not finish,Lillehammer 1994,Luge,Singles men
0,ITA,gerda weissensteiner,00:03:15.517,Lillehammer 1994,Luge,Singles women
1,GER,susi-lisa erdmann,00:03:16.276,Lillehammer 1994,Luge,Singles women
2,AUT,andrea tagwerker,00:03:16.652,Lillehammer 1994,Luge,Singles women
3,AUT,angelika neuner,00:03:16.901,Lillehammer 1994,Luge,Singles women
4,ITA,natalie obkircher,00:03:16.937,Lillehammer 1994,Luge,Singles women
5,GER,gabriele kohlisch,00:03:17.197,Lillehammer 1994,Luge,Singles women
6,RUS,irina goubkina,00:03:17.198,Lillehammer 1994,Luge,Singles women
7,UKR,natalia yakushenko,00:03:17.378,Lillehammer 1994,Luge,Singles women
8,LAT,anna orlova,00:03:17.487,Lillehammer 1994,Luge,Singles women
9,AUT,doris neuner,00:03:17.826,Lillehammer 1994,Luge,Singles women
10,USA,cameron myler,00:03:17.834,Lillehammer 1994,Luge,Singles women
11,USA,bethany calcaterra-mcmahon,00:03:18.005,Lillehammer 1994,Luge,Singles women
12,NOR,pia wedege,00:03:18.047,Lillehammer 1994,Luge,Singles women
13,GER,jana bode,00:03:18.101,Lillehammer 1994,Luge,Singles women
14,SVK,maria jasencakova,00:03:18.456,Lillehammer 1994,Luge,Singles women
15,LAT,evija sulce,00:03:18.957,Lillehammer 1994,Luge,Singles women
16,LAT,iluta gaile,00:03:19.049,Lillehammer 1994,Luge,Singles women
17,RUS,olga novikova,00:03:19.977,Lillehammer 1994,Luge,Singles women
18,EST,helen novikov,00:03:20.333,Lillehammer 1994,Luge,Singles women
