,country,participant,result,olympic_game,discipline,event
0,,,,London 1948,Hockey,hockey men
1,,,,London 1948,Hockey,hockey men
2,,,,London 1948,Hockey,hockey men
3,,,,London 1948,Hockey,hockey men
4,,,,London 1948,Hockey,hockey men
5,,,,London 1948,Hockey,hockey men
6,,,,London 1948,Hockey,hockey men
7,,,,London 1948,Hockey,hockey men
8,,,,London 1948,Hockey,hockey men
9,,,,London 1948,Hockey,hockey men
10,,,,London 1948,Hockey,hockey men
11,,,,London 1948,Hockey,hockey men
12,,,,London 1948,Hockey,hockey men
