,country,participant,result,olympic_game,discipline,event
0,SWE,william grut,16,London 1948,Modern Pentathlon,Individual competition men
1,USA,george bissland moore,47,London 1948,Modern Pentathlon,Individual competition men
2,SWE,gösta gärdin,49,London 1948,Modern Pentathlon,Individual competition men
3,FIN,lauri johannes vilkko,64,London 1948,Modern Pentathlon,Individual competition men
4,FIN,helge nestor olavi larkas,71,London 1948,Modern Pentathlon,Individual competition men
5,SUI,bruno riem,74,London 1948,Modern Pentathlon,Individual competition men
6,SUI,franz hegner,79,London 1948,Modern Pentathlon,Individual competition men
7,USA,richard louis gruenther,81,London 1948,Modern Pentathlon,Individual competition men
8,CHI,nilo floody buxton,85,London 1948,Modern Pentathlon,Individual competition men
9,FIN,viktor platan,86,London 1948,Modern Pentathlon,Individual competition men
10,ARG,enrique wirth,93,London 1948,Modern Pentathlon,Individual competition men
11,HUN,frigyes hegedüs,95,London 1948,Modern Pentathlon,Individual competition men
12,USA,hale baugh,96,London 1948,Modern Pentathlon,Individual competition men
13,FRA,andre jean maurice lacroix,97,London 1948,Modern Pentathlon,Individual competition men
14,ITA,giulio palmonella,98,London 1948,Modern Pentathlon,Individual competition men
15,FRA,louis pichon,100,London 1948,Modern Pentathlon,Individual competition men
16,SWE,sune wehlin,102,London 1948,Modern Pentathlon,Individual competition men
17,HUN,istvan szondi,105,London 1948,Modern Pentathlon,Individual competition men
18,ITA,roberto curcio,105,London 1948,Modern Pentathlon,Individual competition men
19,GBR,albert c. martin,108,London 1948,Modern Pentathlon,Individual competition men
20,ARG,luis premoli,109,London 1948,Modern Pentathlon,Individual competition men
21,ESP,alberto moreiras lopez,112,London 1948,Modern Pentathlon,Individual competition men
22,ESP,jose luis riera caballer,114,London 1948,Modern Pentathlon,Individual competition men
23,CHI,hernan fuentes besoain,117,London 1948,Modern Pentathlon,Individual competition men
24,ITA,duilio brignetti,118,London 1948,Modern Pentathlon,Individual competition men
25,URU,alberto ortiz,119,London 1948,Modern Pentathlon,Individual competition men
26,SUI,werner schmid,119,London 1948,Modern Pentathlon,Individual competition men
27,FRA,christian palant,119,London 1948,Modern Pentathlon,Individual competition men
28,TCH,karel bartu,124,London 1948,Modern Pentathlon,Individual competition men
29,BRA,aëcio coelho,125,London 1948,Modern Pentathlon,Individual competition men
30,URU,carlos mercader,125,London 1948,Modern Pentathlon,Individual competition men
31,ARG,horacio siburu,127,London 1948,Modern Pentathlon,Individual competition men
32,MEX,alejandro quiroz,130,London 1948,Modern Pentathlon,Individual competition men
33,GBR,jack michael g. lumsden,132,London 1948,Modern Pentathlon,Individual competition men
34,MEX,ricardo garcía,134,London 1948,Modern Pentathlon,Individual competition men
35,ESP,manuel bernabeu prada,141,London 1948,Modern Pentathlon,Individual competition men
36,GBR,geoffrey brooke,145,London 1948,Modern Pentathlon,Individual competition men
37,BRA,aloysio alves borges,146,London 1948,Modern Pentathlon,Individual competition men
38,TCH,otto jemelka,150,London 1948,Modern Pentathlon,Individual competition men
39,BEL,louis fauconnier,155,London 1948,Modern Pentathlon,Individual competition men
40,BEL,charles vyt,156,London 1948,Modern Pentathlon,Individual competition men
41,URU,rubén orozco,164,London 1948,Modern Pentathlon,Individual competition men
42,BRA,humberto bedford,205,London 1948,Modern Pentathlon,Individual competition men
43,HUN,laszlo karacson,Did not finish,London 1948,Modern Pentathlon,Individual competition men
44,BEL,raoul mollet,Did not finish,London 1948,Modern Pentathlon,Individual competition men
